"","Gene","DIS","HC","DIS.1","HC.1","DIS.2","HC.2","DIS.3","HC.3","DIS.4","HC.4","DIS.5","HC.5","DIS.6","HC.6","DIS.7","HC.7","DIS.8","HC.8","DIS.9","HC.9"
"1","ATAD3B","2.6059041","2.3801610","2.8858485","2.3820176","2.5398295","2.1568344","2.8923952","0.7525579","4.1397553","2.3133702","2.3467337","2.3884445","2.8507220","2.7654660","2.5546474","3.2199794","3.5201175","3.3965276","3.1272190","2.8533594"
"2","RPL7P7","0.7525579","1.9323123","2.1703469","2.9597660","2.2401953","2.1568344","0.7525579","2.7312468","0.7525579","3.2614393","1.9069947","2.9678552","0.7525579","0.7525579","0.7525579","2.5909209","2.5922210","0.7525579","1.9074628","2.8533594"
"3","PRDM16","2.6059041","1.9323123","0.7525579","1.7255874","0.7525579","1.7643355","0.7525579","0.7525579","1.9373531","1.8817882","0.7525579","2.3884445","2.4289389","2.7654660","0.7525579","2.3687058","0.7525579","1.8005672","1.9074628","2.6600353"
"4","MTND2P28","0.7525579","1.9323123","0.7525579","0.7525579","0.7525579","2.6728982","2.0592681","2.7312468","0.7525579","1.8817882","0.7525579","0.7525579","0.7525579","0.7525579","1.8363052","0.7525579","0.7525579","0.7525579","0.7525579","2.4311608"
"5","PEX10","7.110163","5.241389","5.644291","4.064349","4.792603","3.555790","4.391307","2.989709","5.683065","5.207812","6.138465","5.358724","5.803855","5.757688","5.909526","5.580795","6.215486","5.971997","6.954592","6.030701"
"6","SKI","5.447602","4.224839","5.301065","4.064349","5.191451","3.756755","3.165127","2.405829","3.365070","3.691945","5.911735","5.112610","5.689931","5.154185","4.100291","5.265581","5.353220","4.175832","4.764200","4.712123"
"7","PEX14","4.175780","4.129045","4.500163","3.839308","4.311155","4.634260","5.163251","3.555481","4.770680","4.704103","4.169966","4.439878","4.394534","5.302492","4.470579","4.606221","3.873592","4.175832","3.863959","4.563748"
"8","PLCH2","2.2971911","5.2413887","0.7525579","3.7555070","0.7525579","3.7567554","0.7525579","2.9897092","1.9373531","5.2903556","2.9152593","0.7525579","0.7525579","4.9887817","1.8363052","4.2365700","0.7525579","3.2592645","4.1709867","4.5106556"
"9","SPSB1","4.897788","3.663582","3.465072","3.106192","3.991322","1.764335","5.038621","2.731247","6.582881","4.365089","4.342946","5.519088","6.567890","3.534718","3.820445","3.449664","5.197470","4.248719","3.973893","3.994723"
"10","SLC2A5","4.411515","4.398982","2.458561","2.794923","5.999013","2.867170","2.059268","3.205634","4.036856","4.577985","4.342946","4.592484","4.506997","3.433214","3.820445","3.088668","2.285373","3.741413","3.614268","3.829851"
"11","ENO1","10.147004"," 8.941335"," 9.548513"," 9.074115","11.069400"," 9.378098","11.665711"," 9.149636","10.173029"," 9.578624","10.605896","10.366329","10.923676"," 8.832374"," 8.754082"," 9.366127","10.536801"," 8.966622"," 8.609077"," 9.105301"
"12","PLEKHM2","1.8695870","0.7525579","0.7525579","2.6056667","1.8267192","2.1568344","2.0592681","0.7525579","1.9373531","1.8817882","1.9069947","0.7525579","0.7525579","3.3236083","2.2529610","2.0934393","1.8606836","1.8005672","2.3473526","2.8533594"
"13","NMNAT1","3.666683","3.663582","3.465072","4.064349","4.311155","3.932428","3.908286","4.170302","3.365070","3.919113","3.743726","3.849219","3.911311","3.954067","3.597105","3.735222","3.765415","3.396528","3.309557","3.829851"
"14","MTATP6P1","0.7525579","2.9574281","2.1703469","2.6056667","0.7525579","2.4428016","4.3913073","2.7312468","0.7525579","0.7525579","0.7525579","2.1103054","0.7525579","0.7525579","0.7525579","2.5909209","1.8606836","0.7525579","2.6638765","2.8533594"
"15","CHD5","0.7525579","0.7525579","0.7525579","4.3744844","0.7525579","4.1606431","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","4.8795374","0.7525579","4.6062205","0.7525579","0.7525579","1.9074628","4.3383780"
"16","DISP3","1.8695870","2.7017030","3.0557587","2.3820176","0.7525579","2.6728982","2.0592681","0.7525579","0.7525579","3.2614393","2.9152593","3.1146417","2.1449566","3.8010655","2.2529610","2.7790566","2.8374695","2.9340089","3.1272190","2.8533594"
"17","MMEL1","2.2971911","0.7525579","0.7525579","0.7525579","1.8267192","0.7525579","0.7525579","0.7525579","1.9373531","0.7525579","1.9069947","2.1103054","3.0187002","1.7099105","0.7525579","0.7525579","0.7525579","2.2053092","0.7525579","0.7525579"
"18","TMEM51","5.219583","3.518223","3.578171","3.238138","5.835557","2.442802","2.546511","3.555481","3.925866","4.020262","4.701116","5.467595","5.078776","3.073648","5.176641","3.646404","4.926718","2.934009","3.744682","3.914701"
"19","WASH9P","2.297191","4.129045","4.555563","3.666362","3.898622","3.847338","4.490154","1.951796","2.386807","3.081351","3.862982","3.114642","3.423937","2.083712","2.252961","2.942994","3.873592","5.765621","4.637386","3.170624"
"20","FBXO42","3.238430","3.795188","4.113060","4.532557","4.380999","4.634260","4.391307","3.834426","4.705468","3.810127","3.972900","4.328237","4.611240","4.156325","4.403835","4.110536","3.974032","4.384152","3.744682","3.994723"
"21","ALDH4A1","4.258780","4.129045","3.341843","3.468840","3.156853","3.659896","3.391679","2.989709","2.965794","4.763222","4.987310","4.268950","4.506997","5.384646","3.920034","4.236570","4.238500","3.259265","3.973893","4.614937"
"22","RERE","3.538171","4.224839","3.465072","4.762418","3.799378","4.582975","4.045346","3.955492","3.673527","4.439643","3.613334","3.849219","3.423937","3.717812","3.597105","4.110536","3.520118","3.635700","3.470325","3.829851"
"23","CLCN6","2.852491","4.129045","3.578171","4.481789","3.692563","4.012667","4.045346","3.205634","4.410052","4.439643","3.308684","3.675976","3.423937","4.276711","4.182476","4.459364","3.765415","3.259265","3.309557","4.664355"
"24","RER1","4.997320","5.147367","5.766212","4.762418","5.678980","5.102688","5.332004","5.575568","4.950192","5.290356","5.467885","5.752082","5.803855","4.916885","4.816372","4.781148","5.197470","4.384152","4.823628","4.614937"
"25","PANK4","3.538171","3.663582","4.319743","3.839308","3.311666","3.847338","4.582592","2.731247","3.365070","3.081351","3.613334","3.675976","3.736245","4.539458","3.175195","3.972171","3.221581","3.106516","3.127219","3.914701"
"26","VPS13D","3.238430","3.915483","3.465072","4.317640","3.450657","4.357148","3.908286","3.555481","4.705468","4.203129","3.469418","3.114642","3.301852","4.217794","3.330748","3.818730","3.520118","2.934009","3.309557","3.914701"
"27","RBP7","3.666683","7.992204","2.170347","6.832531","4.160243","5.714675","3.908286","8.266063","3.180197","8.248757","5.737964","3.580556","3.639745","6.327067","4.710135","7.216536","4.067789","4.871842","5.992511","6.718954"
"28","GPR157","1.8695870","0.7525579","2.1703469","0.7525579","1.8267192","0.7525579","0.7525579","0.7525579","2.9657941","0.7525579","1.9069947","2.3884445","3.1677194","0.7525579","0.7525579","1.7171348","2.5922210","0.7525579","0.7525579","0.7525579"
"29","ZBTB40","4.258780","4.398982","4.113060","3.993254","3.576881","3.756755","4.045346","3.555481","4.705468","4.114646","3.613334","3.580556","3.826508","3.717812","4.333809","3.646404","4.155714","4.565845","4.170987","4.275986"
"30","NPHP4","2.2971911","2.7017030","1.7744229","2.9597660","2.7798779","2.4428016","2.5465114","0.7525579","3.5278874","2.8730246","2.3467337","2.1103054","2.4289389","3.4332142","2.7961790","3.2199794","2.8374695","2.9340089","2.9160413","3.4270295"
"31","HES5","7.6722492","0.7525579","1.7744229","3.5711173","0.7525579","3.1858263","3.7564120","0.7525579","0.7525579","2.6246208","3.7437255","3.4780802","2.4289389","4.4400951","6.0022011","4.2365700","3.6481656","5.4030467","7.3363884","5.7857713"
"32","MT1XP1","4.1757801","4.4786668","3.2063711","5.0673053","0.7525579","4.6342598","7.6121875","4.2666079","9.4787685","4.3650894","5.7684208","5.8152124","5.7593613","4.4400951","5.7041062","4.2365700","6.2750633","6.2787235","4.6373863","5.0458719"
"33","CLIC4"," 9.392525"," 9.170293"," 9.843775"," 8.916709"," 8.662803"," 7.853194","10.934766"," 9.752517"," 9.087663"," 9.093684","10.051649"," 9.533651","10.150366"," 7.519008"," 8.967233"," 8.080374","10.059349"," 8.861069"," 8.444373"," 8.183197"
"34","SZRD1","8.092624","6.515051","6.975335","5.674309","7.141966","4.683768","7.282756","4.669436","7.472347","6.349167","7.404636","7.603093","7.843244","6.681014","8.253753","6.389578","7.914954","8.144346","8.279710","7.256935"
"35","PDIK1L","3.396482","2.957428","3.055759","3.106192","2.779878","2.867170","3.391679","3.391700","2.965794","3.420380","3.308684","3.246892","3.301852","2.578295","3.175195","3.551527","2.837470","3.931529","3.470325","3.304857"
"36","NECAP2","5.644372","4.314575","4.254136","4.064349","5.884182","3.847338","5.575541","3.955492","4.833050","5.074358","5.609250","5.043877","5.183658","4.276711","5.291411","3.088668","5.197470","5.814106","5.708003","4.275986"
"37","LAPTM5","7.164554","7.554058","6.486924","6.531025","9.878345","6.340187","4.971998","9.445831","6.891144","7.579150","7.693376","9.191337","8.571767","5.185097","7.823504","6.776650","6.983177","6.588317","7.637984","6.190440"
"38","PHACTR4","3.892851","4.224839","4.500163","4.064349","3.991322","3.443213","4.170278","3.834426","4.410052","4.203129","3.743726","4.592484","4.506997","3.534718","4.595372","3.735222","4.528499","5.161866","4.343989","3.642979"
"39","CNKSR1","0.7525579","1.9323123","0.7525579","1.7255874","0.7525579","0.7525579","0.7525579","0.7525579","2.9657941","0.7525579","0.7525579","0.7525579","0.7525579","1.7099105","2.7961790","2.3687058","0.7525579","2.4992798","2.3473526","0.7525579"
"40","ICMT","4.087618","4.314575","3.956349","4.317640","4.311155","4.417046","3.391679","4.356798","3.365070","3.691945","3.972900","4.971686","4.925832","4.156325","3.713238","4.558927","3.873592","2.934009","3.309557","3.829851"
"41","MED18","5.922260","5.371806","5.482890","4.719307","5.191451","4.357148","5.384122","5.240735","5.464636","4.927213","5.675045","6.224645","6.389723","5.185097","6.322773","5.457734","5.559160","5.993204","6.273128","5.717428"
"42","SLC9A1","5.090393","3.518223","4.113060","3.571117","3.898622","3.847338","3.908286","2.989709","3.805370","4.020262","3.743726","5.078654","5.042041","5.185097","3.820445","4.510014","4.067789","4.318047","3.744682","4.338378"
"43","LDLRAP1","2.852491","5.670910","3.341843","5.067305","3.898622","2.867170","2.546511","3.555481","4.235683","5.579998","3.972900","3.478080","3.639745","4.761274","4.470579","4.558927","3.520118","4.098995","4.935565","4.929630"
"44","ATP5IF1","6.908195","7.634077","6.721905","7.748594","6.793313","8.398334","6.477908","7.823251","5.341578","7.777849","6.724181","6.505361","6.890044","8.119332","7.398603","8.177050","7.714447","6.545908","7.481330","7.629404"
"45","SDC3","8.439957","5.452610","6.660379","5.318635","6.020920","4.822776","4.902128","3.701915","4.489832","6.720061","8.213628","6.543123","6.099850","6.556765","7.020968","6.058245","7.075403","6.642989","7.434616","6.776030"
"46","DNAJC8","7.427339","7.283326","7.630047","8.343832","8.109564","8.302979","8.923623","8.242766","6.976228","7.131156","7.740186","8.230773","8.300325","7.100600","7.552011","7.780443","7.403589","7.452758","7.444080","7.319697"
"47","SESN2","3.784329","3.518223","4.709932","3.106192","4.630476","3.320589","5.530021","2.731247","4.637142","2.873025","4.879591","5.043877","5.281400","3.629278","5.215925","3.972171","5.710784","3.931529","4.075871","4.210728"
"48","SERINC2","4.675224","1.932312","4.113060","1.725587","3.799378","2.442802","3.391679","1.951796","4.139755","3.081351","4.497156","3.675976","3.736245","2.357313","4.100291","1.717135","3.520118","4.248719","1.907463","2.431161"
"49","AJAP1","0.7525579","3.1712939","0.7525579","3.2381381","0.7525579","3.8473384","0.7525579","2.4058289","0.7525579","3.0813505","1.9069947","2.8025771","1.7554762","3.7178125","1.8363052","3.7352223","0.7525579","2.2053092","3.1272190","3.4270295"
"50","PTAFR","1.8695870","1.9323123","0.7525579","1.7255874","4.2377032","2.1568344","0.7525579","3.5554806","1.9373531","1.8817882","2.3467337","2.6127831","0.7525579","0.7525579","1.8363052","2.0934393","1.8606836","1.8005672","1.9074628","2.1468598"
"51","NKAIN1","4.7341913","4.8215210","1.7744229","4.6289799","0.7525579","2.8671704","0.7525579","2.4058289","0.7525579","4.2864147","4.0748629","2.3884445","0.7525579","4.0247528","4.5343389","4.7811483","2.2853728","5.1618663","4.7642003","4.8465466"
"52","SNRNP40","6.895386","6.397655","5.921224","5.134379","6.020920","4.529781","6.404202","5.287108","6.347620","5.579998","5.884190","5.616856","5.909424","5.357779","6.672035","5.265581","6.195066","6.629514","6.786184","5.434768"
"53","SLC25A33","3.538171","4.314575","4.382457","4.628980","2.539829","3.932428","4.391307","3.205634","3.365070","3.919113","4.422136","4.207082","3.826508","4.490642","3.597105","4.174953","3.520118","3.106516","3.863959","4.275986"
"54","DNAJC16","2.852491","3.795188","3.341843","4.258428","4.511182","4.229210","3.391679","3.955492","3.527887","4.020262","3.308684","3.928423","3.911311","4.217794","3.175195","4.110536","3.378975","3.931529","3.127219","3.914701"
"55","EYA3","4.948417","4.881233","4.849256","5.375154","4.891310","5.538118","5.384122","5.458947","5.253269","5.074358","4.763112","5.240930","5.430844","4.953284","5.704106","5.110675","5.459872","6.243768","5.708003","4.888690"
"56","RPL7P11","0.7525579","0.7525579","2.6903021","2.1048121","0.7525579","3.1858263","0.7525579","3.5554806","2.7093562","2.8730246","1.9069947","2.8025771","3.4239369","0.7525579","0.7525579","2.5909209","2.2853728","3.1065165","1.9074628","0.7525579"
"57","FABP3","5.516226","7.709891","4.113060","7.453377","4.686584","8.890717","5.163251","6.912358","6.066325","6.207881","5.938762","4.895668","4.754603","7.808688","4.764239","8.393705","4.067789","5.370972","4.569496","8.416432"
"58","EPHA2","3.784329","2.380161","4.113060","2.605667","4.792603","2.672898","2.892395","2.731247","2.386807","3.261439","2.915259","2.967855","4.506997","2.578295","2.999263","2.590921","3.520118","2.205309","3.309557","2.853359"
"59","ARHGEF19","3.5381714","1.9323123","2.1703469","0.7525579","2.7798779","0.7525579","2.5465114","1.9517962","4.0368555","1.8817882","1.9069947","3.4780802","5.1495415","2.0837121","2.7961790","2.3687058","3.0433937","4.9608566","3.6142679","2.4311608"
"60","GPR153","5.1777972","0.7525579","1.7744229","2.7949227","3.4506570","3.4432134","0.7525579","0.7525579","1.9373531","2.3133702","2.3467337","2.6127831","3.0187002","4.4906417","4.6539047","3.8975421","3.6481656","4.0177438","4.0758708","4.1423243"
"61","CHCHD2P6","3.8928512","4.8812327","3.0557587","4.3744844","4.2377032","3.1858263","3.9082855","3.9554918","3.1801967","5.2903556","3.1263856","4.4398778","4.4518745","3.4332142","0.7525579","3.7352223","4.1557139","5.4651259","5.3530611","4.4555115"
"62","TNFRSF1B","3.892851","4.554134","3.956349","3.106192","6.466244","2.867170","2.059268","3.391700","3.673527","3.081351","3.972900","4.773502","5.713448","3.629278","4.013038","4.043046","3.043394","4.098995","4.637386","4.142324"
"63","UBE4B","3.993593","4.759212","3.578171","4.762418","4.237703","4.417046","3.391679","4.356798","3.527887","4.874608","3.613334","4.003407","4.207194","4.841191","3.820445","4.696357","3.043394","3.259265","3.309557","4.563748"
"64","TMEM51-AS1","1.8695870","0.7525579","0.7525579","1.7255874","0.7525579","0.7525579","2.0592681","0.7525579","1.9373531","0.7525579","1.9069947","1.7296725","0.7525579","0.7525579","1.8363052","1.7171348","1.8606836","0.7525579","1.9074628","1.7568953"
"65","PLA2G5","3.5381714","2.3801610","3.2063711","3.1061922","2.9818250","2.4428016","4.2850853","1.9517962","4.7706797","3.0813505","3.9728996","5.0438767","4.4518745","3.8796478","0.7525579","3.4496636","5.2380184","1.8005672","3.8639585","3.8298511"
"66","PTPRU","1.8695870","2.7017030","1.7744229","2.7949227","2.9818250","2.1568344","0.7525579","0.7525579","2.9657941","2.6246208","1.9069947","2.8025771","3.7362450","3.8796478","0.7525579","3.6464042","1.8606836","3.2592645","3.3095575","3.4270295"
"67","GJB5","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","1.7643355","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","2.0837121","0.7525579","3.0886685","0.7525579","0.7525579","1.9074628","3.1706237"
"68","AGO4","3.059435","4.026297","4.254136","4.196641","4.380999","4.582975","3.908286","4.597458","3.673527","3.562809","3.126386","4.685855","4.560070","3.717812","3.920034","4.174953","3.378975","3.839689","3.470325","3.427029"
"69","CDCA8","3.9935932","0.7525579","3.2063711","2.3820176","4.5111824","1.7643355","0.7525579","1.9517962","2.3868065","2.3133702","2.9152593","3.1146417","3.6397452","2.0837121","4.7642387","1.7171348","3.0433937","3.8396888","3.4703246","2.4311608"
"70","RPL22","2.2971911","0.7525579","0.7525579","1.7255874","0.7525579","1.7643355","2.0592681","0.7525579","1.9373531","1.8817882","1.9069947","1.7296725","1.7554762","1.7099105","2.2529610","0.7525579","1.8606836","1.8005672","1.9074628","2.1468598"
"71","RNF207","1.8695870","2.3801610","0.7525579","2.7949227","3.3116663","2.8671704","2.0592681","1.9517962","1.9373531","1.8817882","1.9069947","2.6127831","3.1677194","3.5347182","1.8363052","3.2199794","0.7525579","3.6357002","3.1272190","3.0214838"
"72","EXTL1","1.8695870","0.7525579","0.7525579","2.6056667","0.7525579","2.4428016","0.7525579","0.7525579","1.9373531","1.8817882","0.7525579","0.7525579","0.7525579","3.2044100","1.8363052","3.4496636","0.7525579","2.2053092","1.9074628","3.5392145"
"73","AGMAT","1.8695870","1.9323123","1.7744229","1.7255874","2.9818250","2.6728982","0.7525579","1.9517962","1.9373531","0.7525579","1.9069947","2.8025771","3.0187002","3.0736477","2.2529610","3.2199794","1.8606836","2.4992798","1.9074628","3.9947229"
"74","DNALI1","4.948417","3.795188","4.757896","3.571117","4.686584","2.867170","5.038621","3.391700","6.091981","4.020262","4.074863","5.568802","4.884904","3.534718","4.866674","3.339649","4.823782","5.837749","4.988418","3.829851"
"75","SPCS2P4"," 9.922397","10.644083"," 9.783025","10.929910","10.404962","10.536649","10.952105","11.054018"," 9.830609","10.918352","10.743404"," 9.720976"," 9.929939"," 9.919363","10.846654","10.087768","10.506065"," 9.256802"," 9.870129"," 9.959021"
"76","GRIK3","7.267546","2.701703","5.424799","3.468840","3.311666","3.847338","4.751259","1.951796","2.965794","3.420380","4.822535","4.385151","3.826508","4.024753","7.236480","5.205608","7.283059","6.656339","6.629063","4.803126"
"77","YRDC","2.6059041","0.7525579","0.7525579","0.7525579","2.9818250","0.7525579","2.0592681","0.7525579","1.9373531","2.3133702","2.3467337","1.7296725","1.7554762","2.7654660","2.2529610","0.7525579","1.8606836","2.7352200","2.3473526","0.7525579"
"78","RCC2","7.731098","5.412776","6.135421","4.762418","6.528721","4.529781","4.751259","4.865900","6.753293","6.027386","6.066781","6.932687","6.703155","6.367983","8.007909","5.077583","6.664756","7.973594","7.152324","6.559033"
"79","PSMB2","7.993951","7.805149","8.196068","6.728070","8.134882","7.626192","7.686592","8.074834","6.905678","7.386591","7.577857","8.147443","8.747052","7.171634","9.157949","7.662946","8.090963","8.499415","8.562044","7.930202"
"80","CASP9","4.897788","5.286189","5.394849","4.317640","3.692563","3.659896","4.170278","3.955492","4.892817","4.365089","4.169966","5.043877","4.611240","4.440095","4.470579","4.739380","5.022757","5.235002","4.988418","4.398149"
"81","UQCRH","6.908195","6.788128","7.015199","7.961649","8.083794","9.259169","7.579086","8.495273","6.304387","7.468496","7.442872","6.834598","6.848199","7.668381","6.699961","7.728218","6.153339","6.721297","6.525856","7.232676"
"82","THRAP3","4.948417","5.286189","5.364263","5.455973","5.622761","4.989342","6.157353","5.458947","5.383778","4.577985","4.879591","5.815212","5.825597","5.023423","5.496654","5.323151","5.559160","5.993204","5.088618","5.434768"
"83","PADI4","0.7525579","2.9574281","0.7525579","0.7525579","1.8267192","2.1568344","0.7525579","2.4058289","1.9373531","0.7525579","0.7525579","1.7296725","2.4289389","1.7099105","2.5546474","1.7171348","1.8606836","2.2053092","1.9074628","0.7525579"
"84","C1orf122","6.547895","5.799980","4.709932","5.032555","4.511182","4.160643","4.170278","3.955492","5.577991","5.901897","5.351927","5.209908","5.042041","6.367983","6.046395","5.819367","5.389657","6.295889","6.273128","6.742056"
"85","EPHA10","0.7525579","0.7525579","0.7525579","2.3820176","0.7525579","2.4428016","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","2.7654660","0.7525579","2.3687058","0.7525579","3.1065165","2.9160413","2.6600353"
"86","FHL3","5.134760","4.026297","6.240092","3.918385","5.785233","3.555790","5.332004","4.266608","5.872676","4.510489","5.087503","5.544160","6.219599","4.586661","4.534339","3.972171","5.459872","5.883903","5.039392","4.510656"
"87","RHBDL2","2.2971911","5.3718060","1.7744229","4.9229509","2.9818250","3.7567554","2.0592681","4.5974580","0.7525579","5.3684157","3.6133341","2.6127831","3.0187002","3.6292778","1.8363052","4.5100136","1.8606836","2.9340089","2.9160413","4.4555115"
"88","INPP5B","4.175780","5.195147","4.442524","4.804269","4.078303","4.294618","6.186963","4.170302","5.058485","4.642434","3.972900","4.003407","3.911311","4.632353","5.215925","4.606221","5.425193","4.621609","4.988418","4.398149"
"89","FAM183A","0.7525579","0.7525579","1.7744229","0.7525579","2.5398295","0.7525579","0.7525579","1.9517962","0.7525579","0.7525579","0.7525579","3.2468917","2.4289389","0.7525579","2.2529610","0.7525579","1.8606836","0.7525579","1.9074628","0.7525579"
"90","ZMYM4","5.260187","4.554134","5.694305","5.674309","5.372950","5.828721","4.971998","5.877604","5.298102","4.927213","4.879591","5.493572","5.566210","5.122594","5.215925","5.110675","4.712872","5.270219","4.702198","4.614937"
"91","UTP11","4.175780","3.795188","4.608893","3.666362","4.511182","4.294618","4.285085","4.597458","3.925866","3.919113","3.743726","4.543406","4.506997","4.092068","3.713238","4.043046","3.043394","4.017744","3.470325","3.914701"
"92","RLF","3.666683","3.518223","3.206371","4.317640","4.511182","4.731620","5.332004","4.266608","3.673527","3.562809","4.342946","4.439878","4.660642","4.092068","3.713238","3.735222","3.974032","4.384152","3.127219","3.914701"
"93","CLSPN","2.8524908","0.7525579","2.1703469","0.7525579","3.1568528","1.7643355","0.7525579","1.9517962","0.7525579","1.8817882","1.9069947","2.3884445","3.0187002","1.7099105","3.7132378","0.7525579","2.2853728","2.4992798","2.3473526","0.7525579"
"94","GNL2","6.066432","5.412776","5.592476","5.259803","6.332530","5.367365","6.477908","5.847007","5.812205","5.120234","6.016930","6.060707","6.252062","5.057247","6.130913","4.861198","5.681710","6.189691","5.643675","5.220859"
"95","GJA4","3.666683","2.957428","3.341843","2.605667","1.826719","2.867170","2.546511","4.066973","3.365070","4.510489","2.663162","3.246892","3.639745","3.204410","4.100291","3.339649","4.238500","2.499280","3.470325","3.304857"
"96","MORN1","2.2971911","1.9323123","2.4585607","1.7255874","2.2401953","1.7643355","2.0592681","0.7525579","3.1801967","1.8817882","1.9069947","2.6127831","2.4289389","2.0837121","1.8363052","2.3687058","2.2853728","1.8005672","1.9074628","1.7568953"
"97","TIE1","2.297191","3.355746","2.690302","3.571117","2.240195","3.185826","2.059268","2.731247","2.709356","4.203129","2.663162","2.802577","2.657580","4.024753","3.470357","3.551527","3.520118","2.205309","3.470325","3.021484"
"98","DLGAP3","3.7843292","2.3801610","2.1703469","6.0999295","0.7525579","6.7749494","2.0592681","1.9517962","1.9373531","2.8730246","2.6631623","1.7296725","2.6575796","7.9228897","4.7101350","7.6629457","2.5922210","6.1712050","6.3557123","7.7652556"
"99","RIMS3","1.8695870","2.3801610","2.1703469","4.0643493","1.8267192","4.5829752","0.7525579","0.7525579","1.9373531","1.8817882","1.9069947","1.7296725","2.1449566","6.0198539","2.5546474","5.1106750","1.8606836","4.6752789","3.3095575","5.4628854"
"100","ECHDC2","1.869587","3.663582","2.170347","3.238138","3.311666","3.036057","3.908286","1.951796","5.159176","3.562809","2.915259","4.074606","3.536047","3.717812","1.836305","3.339649","4.592637","4.776931","3.973893","3.829851"
"101","RAB3B","0.7525579","0.7525579","0.7525579","2.7949227","0.7525579","3.5557896","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","1.7296725","0.7525579","2.7654660","1.8363052","3.8187300","0.7525579","1.8005672","0.7525579","2.4311608"
"102","TMEM61","2.2971911","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","1.9517962","1.9373531","0.7525579","1.9069947","2.6127831","2.1449566","2.5782952","1.8363052","2.0934393","0.7525579","0.7525579","0.7525579","2.4311608"
"103","ERI3","5.844375","5.241389","6.672896","5.581334","6.145799","5.714675","4.828679","3.701915","4.139755","5.120234","5.768421","6.543123","6.528685","6.299130","5.051897","6.493388","4.712872","5.553494","4.880689","6.379135"
"104","CZIB","5.299676","5.670910","6.697609","5.347172","5.303076","6.013685","6.614896","6.295175","5.958874","5.405912","5.225789","6.095020","6.360248","5.559847","5.784611","5.110675","5.068468","3.521283","3.744682","5.346959"
"105","PODN","3.396482","2.380161","2.885848","2.794923","2.779878","3.036057","2.059268","1.951796","4.036856","2.624621","1.906995","4.592484","3.301852","2.765466","2.554647","3.088668","1.860684","4.175832","3.309557","2.431161"
"106","OSBPL9","5.177797","6.001280","4.976225","5.166777","5.229631","5.207736","6.127122","6.249133","5.206993","6.120458","4.934462","4.856092","4.842774","4.217794","5.051897","4.899606","5.112769","4.825173","4.880689","4.614937"
"107","ZYG11B","3.892851","4.129045","4.608893","4.960424","3.898622","5.397269","4.582592","4.597458","4.637142","4.577985","4.169966","4.207082","4.138821","5.057247","4.013038","4.861198","3.873592","4.384152","3.863959","5.008161"
"108","SF3A3","6.580274","5.830518","6.206039","6.317200","6.949894","6.309101","7.362738","6.563186","6.259817","5.927885","6.354530","6.371826","6.618558","5.215357","6.523667","5.858795","6.649833","7.156587","6.471342","5.763349"
"109","LAMTOR5P1","0.7525579","0.7525579","0.7525579","2.7949227","0.7525579","0.7525579","2.5465114","2.7312468","0.7525579","3.0813505","2.6631623","0.7525579","2.1449566","3.2044100","0.7525579","0.7525579","0.7525579","2.4992798","0.7525579","0.7525579"
"110","PIGQP1","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","2.1568344","0.7525579","0.7525579","0.7525579","0.7525579","1.9069947","1.7296725","0.7525579","0.7525579","0.7525579","2.0934393","0.7525579","0.7525579","1.9074628","3.9947229"
"111","KLF17","1.8695870","0.7525579","0.7525579","0.7525579","2.2401953","1.7643355","2.0592681","0.7525579","2.3868065","0.7525579","2.3467337","2.1103054","3.0187002","0.7525579","0.7525579","0.7525579","2.8374695","0.7525579","0.7525579","0.7525579"
"112","PLPP3","6.531429","6.177871","6.171163","6.197081","3.991322","5.761383","5.931064","5.332031","3.673527","6.164832","7.207737","7.782149","6.580725","6.150696","5.528185","6.713568","6.474592","3.931529","5.966459","5.595777"
"113","SNIP1","4.337196","3.518223","3.465072","3.106192","3.799378","2.867170","3.391679","3.391700","4.036856","3.261439","4.169966","3.928423","4.506997","3.879648","4.100291","4.043046","4.461344","5.403047","3.973893","4.614937"
"114","RPS13P2","3.892851","5.329635","4.804304","5.429535","6.367139","5.426564","5.704052","6.249133","4.235683","6.329812","5.351927","4.207082","4.842774","4.916885","5.327718","3.449664","4.390869","4.507814","5.610400","4.758348"
"115","FOXJ3","3.396482","4.478667","4.935139","5.429535","4.380999","5.138565","5.704052","4.803360","4.489832","4.577985","4.169966","5.271296","4.842774","4.276711","4.595372","4.781148","4.461344","3.931529","3.309557","3.994723"
"116","TUT4","1.8695870","2.7017030","3.2063711","3.2381381","2.7798779","3.3205892","2.5465114","3.5554806","3.3650697","2.6246208","2.3467337","3.2468917","3.0187002","2.7654660","1.8363052","2.7790566","2.2853728","1.8005672","0.7525579","2.4311608"
"117","MAGOH","5.674701","6.291948","6.135421","6.273320","6.367139","6.752020","6.272310","6.984367","5.683065","5.644134","6.138465","6.579922","6.771915","5.302492","7.031995","5.627216","6.043405","5.495189","5.610400","5.851018"
