"","Gene","DIS","HC","DIS.1","HC.1","DIS.2","HC.2","DIS.3","HC.3","DIS.4","HC.4","DIS.5","HC.5","DIS.6","HC.6","DIS.7","HC.7","DIS.8","HC.8","DIS.9","HC.9"
"2515","IGFBP5","10.619573"," 7.409959"," 9.132238"," 4.996943"," 9.813972"," 5.738218","10.211022"," 6.272337","11.948719"," 8.441346","11.680314"," 9.714097","10.407836"," 5.837585"," 9.733340"," 7.304773","12.756041","10.957984","10.055966"," 6.993766"
"2516","TNP1","0.7525579","1.9323123","2.1703469","0.7525579","0.7525579","2.1568344","2.0592681","0.7525579","0.7525579","0.7525579","0.7525579","2.8025771","2.8507220","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579"
"2517","NYAP2","0.7525579","0.7525579","0.7525579","2.3820176","0.7525579","2.8671704","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","2.7654660","0.7525579","2.3687058","0.7525579","2.2053092","1.9074628","2.6600353"
"2518","AFTPH","3.993593","4.694066","4.500163","5.289520","5.191451","5.397269","4.828679","4.266608","5.058485","4.365089","4.074863","5.386724","5.312557","4.761274","4.470579","5.265581","4.461344","4.175832","4.260120","4.803126"
"2519","CD28","0.7525579","0.7525579","1.7744229","1.7255874","2.9818250","0.7525579","0.7525579","1.9517962","1.9373531","0.7525579","0.7525579","1.7296725","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","1.8005672","0.7525579","0.7525579"
"2520","DUSP11","4.175780","4.398982","4.660305","5.166777","5.111904","5.564706","5.965649","5.287108","5.958874","5.329915","4.497156","5.568802","5.430844","4.761274","4.470579","4.781148","4.712872","4.917040","4.702198","4.664355"
"2521","CASP8","1.8695870","0.7525579","2.6903021","1.7255874","2.2401953","0.7525579","2.0592681","2.4058289","1.9373531","1.8817882","1.9069947","2.6127831","2.1449566","0.7525579","1.8363052","0.7525579","1.8606836","0.7525579","0.7525579","0.7525579"
"2522","MARS2","3.892851","3.355746","3.206371","3.755507","3.450657","3.555790","3.165127","3.555481","3.527887","4.286415","3.743726","3.478080","3.167719","3.801066","3.597105","3.551527","3.648166","4.017744","4.075871","3.642979"
"2523","HNRNPKP2","3.3964819","3.1712939","2.8858485","4.1966411","3.7993780","3.3205892","3.9082855","2.9897092","2.7093562","3.4203804","3.3086836","2.9678552","3.1677194","2.7654660","3.3307484","2.7790566","2.5922210","3.3965276","3.3095575","0.7525579"
"2524","CASP10","0.7525579","2.7017030","2.4585607","2.6056667","3.1568528","2.4428016","0.7525579","3.3917001","1.9373531","2.6246208","1.9069947","2.6127831","2.1449566","2.0837121","2.2529610","2.0934393","1.8606836","0.7525579","1.9074628","0.7525579"
"2525","CXCR4","4.175780","4.881233","5.301065","4.960424","6.260714","3.847338","5.895627","7.241066","3.365070","4.020262","5.269077","7.135792","6.950619","2.928622","4.100291","3.551527","4.823782","3.259265","3.744682","3.170624"
"2526","UBBP1","5.2195825","2.7017030","2.6903021","2.9597660","2.5398295","3.1858263","4.0453464","1.9517962","2.3868065","3.6919449","3.4694180","1.7296725","2.4289389","3.4332142","0.7525579","2.3687058","2.2853728","3.9315293","3.4703246","3.9147005"
"2527","EIF3FP3","6.410579","5.147367","4.185352","5.347172","6.417543","5.241112","5.822027","3.955492","5.058485","5.329915","6.577194","5.043877","5.004341","5.694715","5.136252","5.043710","4.975541","6.034703","6.507913","5.933655"
"2528","METAP2P1","0.7525579","0.7525579","1.7744229","2.3820176","0.7525579","1.7643355","2.0592681","0.7525579","0.7525579","0.7525579","2.3467337","1.7296725","0.7525579","1.7099105","2.5546474","0.7525579","0.7525579","0.7525579","1.9074628","0.7525579"
"2529","GRB14","5.790008","1.932312","2.458561","2.794923","2.981825","4.582975","3.165127","3.555481","1.937353","2.624621","2.663162","2.802577","2.850722","2.928622","3.175195","3.219979","4.769401","2.735220","3.973893","4.070449"
"2530","FANCL","1.8695870","2.3801610","2.1703469","2.3820176","1.8267192","2.6728982","2.0592681","3.2056343","1.9373531","2.3133702","1.9069947","2.3884445","2.1449566","1.7099105","0.7525579","2.0934393","1.8606836","1.8005672","1.9074628","1.7568953"
"2531","HTRA2","6.238644","5.918428","5.878610","5.067305","5.229631","5.102688","6.157353","4.669436","6.410131","5.953412","5.798247","6.718387","6.783063","6.119083","7.226915","5.819367","6.524536","6.378775","6.815653","6.318940"
"2532","DOK1","4.337196","4.026297","3.682735","2.959766","4.380999","2.672898","2.892395","2.731247","3.925866","3.562809","4.342946","4.207082","4.451875","3.073648","3.820445","3.088668","3.974032","4.248719","4.764200","3.914701"
"2533","FAM161A","2.6059041","2.3801610","1.7744229","2.1048121","2.2401953","1.7643355","2.0592681","1.9517962","2.3868065","2.6246208","1.9069947","3.1146417","2.8507220","1.7099105","1.8363052","2.0934393","0.7525579","2.7352200","2.3473526","2.8533594"
"2534","IL1RN","0.7525579","2.7017030","2.1703469","1.7255874","3.5768811","1.7643355","0.7525579","1.9517962","1.9373531","0.7525579","1.9069947","3.7652778","3.3018516","0.7525579","2.2529610","0.7525579","1.8606836","3.3965276","0.7525579","0.7525579"
"2535","CDCA7","2.2971911","0.7525579","2.4585607","0.7525579","2.2401953","1.7643355","2.5465114","1.9517962","0.7525579","0.7525579","2.3467337","2.3884445","2.4289389","0.7525579","2.5546474","0.7525579","0.7525579","2.7352200","1.9074628","0.7525579"
"2536","FAM171B","4.845304","4.993676","4.757896","7.195822","3.311666","7.663526","4.170278","5.965677","2.965794","5.329915","4.763112","5.043877","4.708393","6.446486","4.866674","6.895093","3.221581","4.507814","4.880689","6.436917"
"2537","ITGAV","5.447602","4.821521","5.482890","5.166777","5.229631","4.777923","4.285085","6.225548","4.637142","5.164690","5.575190","5.519088","5.641711","5.122594","5.007785","4.459364","5.590789","3.931529","4.170987","4.664355"
"2538","RTKN","5.375540","6.356297","3.956349","4.429146","3.156853","3.320589","2.546511","2.989709","3.527887","5.612423","4.636311","4.328237","4.272423","4.916885","5.704106","4.937012","4.067789","4.384152","5.541449","5.376828"
"2539","PHF5GP","5.581724","5.529116","5.394849","6.212655","4.740575","5.666401","2.892395","6.404229","6.962392","6.460140","4.822535","5.209908","4.925832","4.719578","5.051897","5.077583","5.652036","5.161866","5.576337","4.929630"
"2540","STK39","7.053639","8.677475","7.452714","8.792737","6.417543","8.989572","6.995534","8.277571","7.779004","8.582905","7.899891","6.603943","6.771915","7.768519","6.857030","8.076202","6.604113","6.378775","6.830165","8.100720"
"2541","IFIH1","2.852491","2.701703","4.036877","2.959766","3.450657","2.672898","3.165127","3.555481","2.965794","3.081351","2.346734","5.414189","3.826508","2.083712","2.252961","2.368706","2.592221","2.499280","2.347353","2.146860"
"2542","CXCR2","1.8695870","3.3557457","1.7744229","4.1966411","2.9818250","3.9324282","2.8923952","3.8344256","0.7525579","1.8817882","1.9069947","3.5805563","3.3018516","1.7099105","1.8363052","3.0886685","2.2853728","2.4992798","2.6638765","1.7568953"
"2543","RUFY4","0.7525579","0.7525579","0.7525579","1.7255874","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","3.2468917","2.1449566","0.7525579","1.8363052","0.7525579","2.2853728","0.7525579","2.6638765","0.7525579"
"2544","LINC01124","0.7525579","0.7525579","2.1703469","1.7255874","1.8267192","1.7643355","0.7525579","0.7525579","1.9373531","1.8817882","0.7525579","2.1103054","1.7554762","0.7525579","1.8363052","1.7171348","0.7525579","2.2053092","0.7525579","2.1468598"
"2545","EIF2S2P4","2.6059041","1.9323123","2.4585607","1.7255874","2.7798779","2.4428016","2.5465114","2.4058289","1.9373531","0.7525579","1.9069947","2.1103054","2.6575796","2.0837121","2.5546474","2.0934393","1.8606836","1.8005672","0.7525579","2.4311608"
"2546","GAD1","4.5494493","2.3801610","2.4585607","4.9604240","1.8267192","6.8738437","2.8923952","2.7312468","2.3868065","4.0202623","2.3467337","2.1103054","0.7525579","6.4591644","4.1824756","5.9709922","3.7654150","4.0989947","3.4703246","5.6939060"
"2547","GORASP2","4.734191","4.821521","5.482890","4.064349","4.511182","4.294618","4.045346","4.597458","4.325538","4.203129","4.074863","5.441140","5.616982","4.916885","4.403835","5.205608","4.528499","4.248719","3.973893","5.462885"
"2548","GRASLND","0.7525579","1.9323123","0.7525579","2.1048121","0.7525579","2.1568344","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","3.0736477","0.7525579","2.0934393","0.7525579","0.7525579","0.7525579","2.1468598"
"2549","RANBP2","1.869587","2.701703","2.690302","3.666362","3.576881","3.555790","2.546511","4.266608","2.386807","2.873025","2.663162","3.114642","2.657580","2.357313","2.796179","2.942994","2.837470","1.800567","2.663877","2.146860"
"2550","RN7SL674P","0.7525579","1.9323123","0.7525579","0.7525579","0.7525579","2.1568344","3.1651273","1.9517962","1.9373531","0.7525579","0.7525579","1.7296725","0.7525579","0.7525579","0.7525579","0.7525579","1.8606836","0.7525579","1.9074628","0.7525579"
"2551","ROCK2","4.549449","4.224839","4.319743","5.101234","4.447576","5.641643","5.483013","5.143243","4.565386","4.365089","5.087503","5.209908","5.430844","4.676631","5.363130","4.899606","5.526819","3.521283","4.569496","4.398149"
"2552","ARHGAP25","4.337196","4.759212","3.465072","3.918385","5.471781","3.036057","3.165127","4.983344","3.673527","4.439643","3.469418","4.934181","4.207194","2.765466","4.100291","4.043046","3.873592","3.521283","4.343989","3.539215"
"2553","COPS7B","4.675224","4.993676","5.982869","5.067305","4.938227","4.866267","5.102288","4.669436","4.565386","4.577985","4.879591","5.145780","5.183658","5.511928","4.260156","5.077583","4.592637","4.776931","4.702198","5.045872"
"2554","DARS1","5.674701","6.201420","6.672896","6.331534","7.210258","6.324728","8.239211","6.867362","7.030285","6.228933","6.432636","6.988489","6.703155","5.536087","5.647821","5.694157","6.110366","6.189691","5.312230","5.807850"
"2555","M1AP","0.7525579","2.3801610","0.7525579","3.9932543","0.7525579","3.9324282","0.7525579","1.9517962","0.7525579","2.3133702","0.7525579","0.7525579","0.7525579","2.5782952","0.7525579","3.3396486","0.7525579","0.7525579","0.7525579","2.6600353"
