"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"ARSA","16","18","18"," 2"," 7","16","15"," 7","14","17"
"RAB36","1","2","0","0","1","1","1","0","1","1"
"H1-0","147","148","105","165","310"," 63"," 45","344","138"," 70"
"CLDN5","0","1","0","0","0","0","0","1","1","1"
"FAM227A","1","1","0","0","0","0","1","1","1","0"
"PPM1F","11"," 7"," 7"," 1"," 2"," 4"," 7"," 8"," 5","10"
"ABHD17AP5","3","0","0","1","0","1","1","0","2","0"
"ODF3B"," 5","13","15"," 1"," 6"," 2"," 7"," 3"," 3"," 2"
"JOSD1","14","21","19","14"," 9","17","16","14","18","13"
"SULT4A1"," 0"," 0"," 2"," 2"," 0"," 7"," 2"," 1"," 1","17"
"PNPLA5","0","0","1","0","0","0","0","0","0","0"
"MYH9"," 70"," 56"," 79"," 51"," 75"," 90"," 99","124","311","143"
"RASD2"," 4"," 2"," 0"," 1"," 1"," 4"," 8","11","10","13"
"MB","0","0","1","0","0","1","0","0","1","0"
"APOL6","10","14","11"," 8"," 5"," 5"," 6"," 2"," 8"," 2"
"NDUFA9P1"," 18"," 65"," 16"," 29"," 31"," 24"," 14"," 68","105"," 39"
"APOL2","0","1","0","1","2","0","1","0","1","0"
"KIAA1671","1","8","1","2","3","2","2","2","3","2"
"CRYBB2","0","3","0","0","0","0","0","3","2","6"
"ATF4","516","216","248","761","769","265","196","658","651","302"
"CSF2RB"," 5"," 3","18"," 1"," 3"," 2","10"," 2"," 3"," 9"
"SELENOM","1","0","0","0","1","1","1","0","0","2"
"GRK3","1","1","3","0","1","1","1","1","1","1"
"DMC1","0","1","4","0","1","1","1","0","2","0"
"ST13","240","145","132","397","211","191"," 72","184","238","255"
"SELENOO","37","42","14"," 6","42","24","19","36","51","31"
"RNF185","25","13","19","34","28","32","12","19","33","17"
"TTC28"," 4","10"," 2"," 4"," 2"," 4"," 5"," 5"," 6"," 4"
"SEPTIN3"," 63"," 21","  7"," 24","  5"," 16"," 25"," 18"," 21","102"
"KCTD17","63","57","18","20","13","53","25","76","47","51"
"SBF1","22"," 9"," 5"," 4"," 7","14"," 5"," 8","14","23"
"RABL2B","3","7","2","1","2","2","2","2","3","2"
"CYP2D7"," 1"," 3"," 3"," 4"," 5"," 1"," 1"," 2"," 6","12"
"XBP1"," 77"," 92","204","197"," 99","119","124","159","154"," 39"
"PPARA"," 7","13"," 4"," 6"," 3"," 6"," 5"," 4"," 5"," 6"
"CDPF1","11","13"," 6"," 4"," 7"," 8"," 6"," 3"," 7"," 5"
"SERHL2"," 0"," 6"," 5","16"," 5"," 3"," 1"," 3","10"," 4"
"RN7SKP80","0","2","0","2","2","0","0","0","0","0"
"ATP5MGL","10","15","23"," 5","12"," 8","12"," 9","23","22"
"SMDT1","44","75","44","27","10","41","22","25","26","30"
"A4GALT","1","4","0","0","2","1","2","1","3","4"
"TXN2","701","214","255","201","185","348","175","461","493","399"
"FOXRED2"," 8","18"," 3"," 4"," 2"," 7"," 8"," 9"," 8"," 3"
"EIF3D","167"," 90","174","224"," 81","126"," 73","115","126"," 89"
"BRD1","40","17","11"," 3","20","15"," 9","16","31","24"
"PISD","3","0","0","0","1","0","1","2","1","1"
"P2RX6"," 2"," 5"," 4"," 1"," 1"," 3"," 3","48"," 7","15"
"SLC16A8","1","0","1","0","0","1","0","0","2","1"
"CECR7"," 0"," 1"," 1"," 0"," 0"," 2"," 0"," 1"," 0","12"
"TMEM121B","21","11","24"," 0"," 3","11","11","23","10","47"
"IL17RA","16"," 9","49"," 0"," 3","11","32","13"," 3","13"
"HDHD5","16","12","16","14","21","28","27","37","46","47"
"APOL3"," 6","13"," 9"," 7","15"," 4"," 6"," 9"," 8","10"
"RBFOX2","69","89","18","71","23","47","32","59","95","53"
"GGT5","13"," 5"," 1"," 7"," 5","37","14","16","39","12"
"UBE2L3"," 58","148"," 95"," 68"," 20"," 41","143"," 56"," 62"," 65"
"FAM32BP","0","6","4","0","1","3","2","5","1","2"
"ADA2","12"," 7","26"," 1"," 1","11"," 4","19"," 2","11"
"USP41","4","0","0","0","0","0","0","3","0","5"
