"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"ATAD3B"," 3"," 5"," 3"," 3","12"," 2"," 5"," 3"," 8"," 5"
"RPL7P7","0","2","2","0","0","1","0","0","3","1"
"PRDM16","3","0","0","0","1","0","3","0","0","1"
"MTND2P28","0","0","0","1","0","0","0","1","0","0"
"PEX10","127"," 53"," 25"," 12"," 40"," 59"," 62"," 57"," 68","106"
"SKI","38","41","34"," 4"," 6","50","57","14","36","21"
"PEX14","14","22","17","22","20","13","21","19","11","10"
"PLCH2"," 2"," 0"," 0"," 0"," 1"," 4"," 0"," 1"," 0","13"
"SPSB1"," 25","  9"," 13"," 20"," 77"," 15","108"," 11"," 32"," 11"
"SLC2A5","17"," 3","62"," 1","11","15","23","11"," 2"," 8"
"ENO1","1065"," 846","2194","2194"," 958","1367","2288"," 430","1420"," 340"
"PLEKHM2","1","0","1","1","1","1","0","2","1","2"
"NMNAT1"," 9"," 9","17"," 8"," 6"," 9","14"," 9","10"," 6"
"MTATP6P1"," 0"," 2"," 0","12"," 0"," 0"," 0"," 0"," 1"," 3"
"CHD5","0","0","0","0","0","0","0","0","0","1"
"DISP3","1","6","0","1","0","4","2","2","4","5"
"MMEL1","2","0","1","0","1","1","6","0","0","0"
"TMEM51","32","10","55"," 2","10","20","36","33","26"," 9"
"WASH9P"," 2","23","12","13"," 2","10"," 9"," 2","11","19"
"FBXO42"," 6","16","18","12","19","11","25","18","12"," 9"
"ALDH4A1","15"," 8"," 6"," 5"," 4","25","23","12","15","11"
"RERE"," 8"," 9","11"," 9"," 8"," 8"," 9"," 9"," 8"," 7"
"CLCN6"," 4","10","10"," 9","15"," 6"," 9","15","10"," 6"
"RER1","27","58","49","25","23","36","62","25","32","22"
"PANK4"," 8","19"," 7","14"," 6"," 8","12"," 6"," 6"," 5"
"VPS13D"," 6"," 9"," 8"," 8","19"," 7"," 8"," 7"," 8"," 6"
"RBP7"," 9"," 2","15"," 8"," 5","44","11","23","13","53"
"GPR157","1","2","1","0","4","1","7","0","3","0"
"ZBTB40","15","16"," 9"," 9","19"," 8","13","17","14","13"
"NPHP4","2","1","4","2","7","2","3","4","4","4"
"HES5","189","  1","  0","  7","  0","  9","  3"," 61","  9","139"
"MT1XP1"," 14","  7","  0","130","591"," 45"," 60"," 49"," 71"," 19"
"CLIC4"," 630","1039"," 411","1321"," 450"," 930","1337"," 499","1019"," 303"
"SZRD1","254","139","141","103","145","146","267","303","228","270"
"PDIK1L","7","6","4","5","4","6","8","6","4","7"
"NECAP2","44","18","57","30","21","40","39","36","32","43"
"LAPTM5","132"," 98","959"," 19"," 96","179","445","224","118","172"
"PHACTR4","11","22","13","10","15"," 9","23","21","19","15"
"CNKSR1","0","0","0","0","4","0","0","4","0","2"
"ICMT","13","14","17"," 5"," 6","11","32","10","11"," 6"
"MED18","54","47","34","26","34","42","95","77","42","65"
"SLC9A1","29","16","12"," 8"," 9"," 9","35","11","13"," 9"
"LDLRAP1"," 4"," 8","12"," 2","13","11","11","19"," 8","24"
"ATP5IF1","110","116","110"," 58"," 31"," 90","136","166","198","154"
"SDC3","324","111"," 63"," 18"," 16","258"," 77","127","126","149"
"DNAJC8","159","221","279","326","102","185","368","185","159","150"
"SESN2","10","26","22","29","18","23","42","34","47","12"
"SERINC2","21","16","11"," 5","12","17","12","14"," 8"," 1"
"AJAP1","0","0","0","0","0","1","1","1","0","5"
"PTAFR"," 1"," 0","16"," 0"," 1"," 2"," 0"," 1"," 1"," 1"
"NKAIN1","22"," 1"," 0"," 0"," 0","12"," 0","20"," 2","21"
"SNRNP40","109"," 65"," 63"," 55"," 65"," 49"," 67"," 99"," 67"," 94"
"SLC25A33"," 8","20"," 3","12"," 6","16","13"," 9"," 8","10"
"DNAJC16"," 4"," 8","20"," 5"," 7"," 6","14"," 6"," 7"," 5"
"EYA3","26","29","27","26","29","21","47","49","39","43"
"RPL7P11","0","4","0","0","3","1","9","0","2","1"
"FABP3","40","16","23","22","53","51","28","24","13","18"
"EPHA2","10","16","25"," 3"," 2"," 4","23"," 5"," 8"," 6"
"ARHGEF19"," 8"," 2"," 4"," 2","11"," 1","38"," 4"," 5"," 8"
"GPR153","31"," 1"," 8"," 0"," 1"," 2"," 6","22"," 9","12"
"CHCHD2P6","11"," 6","16"," 8"," 5"," 5","22"," 0","14","33"
"TNFRSF1B","11","14","87"," 1"," 8","11","58","13"," 5","19"
"UBE4B","12","10","16"," 5"," 7"," 8","18","11"," 5"," 6"
"TMEM51-AS1","1","0","0","1","1","1","0","1","1","1"
"PLA2G5"," 8"," 7"," 5","11","20","11","22"," 0","33","10"
"PTPRU"," 1"," 1"," 5"," 0"," 4"," 1","12"," 0"," 1"," 6"
"GJB5","0","0","0","0","0","0","0","0","0","1"
"AGO4"," 5","18","18"," 8"," 8"," 5","24","12"," 7"," 7"
"CDCA8","12"," 7","20"," 0"," 2"," 4","11","24"," 5"," 7"
"RPL22","2","0","0","1","1","1","1","2","1","1"
"RNF207","1","0","7","1","1","1","7","1","0","5"
"EXTL1","1","0","0","0","1","0","0","1","0","1"
"AGMAT","1","1","5","0","1","1","6","2","1","1"
"DNALI1","26","27","23","20","54","12","31","26","24","25"
"SPCS2P4"," 911"," 996","1383","1337"," 755","1504","1147","1845","1390"," 819"
"GRIK3","142"," 45","  7"," 16","  4"," 22"," 13","148","146"," 84"
"YRDC","3","0","5","1","1","2","1","2","1","2"
"RCC2","197"," 76"," 91"," 16"," 87"," 56","119","255"," 94","122"
"PSMB2","237","329","284","137"," 97","165","503","570","258","329"
"CASP9","25","44","10","10","22","13","25","19","28","25"
"UQCRH","110","143","274","127"," 63","150","132","101"," 65"," 78"
"THRAP3","26","43","47","46","32","23","63","42","42","27"
"PADI4","0","0","1","0","1","0","3","3","1","1"
"C1orf122","85","26","20","10","37","33","35","63","37","65"
"EPHA10","0","0","0","0","0","0","0","0","0","4"
"FHL3","30","82","53","25","46","27","84","20","39","26"
"RHBDL2","2","1","5","1","0","8","6","1","1","4"
"INPP5B","14","21","14","47","25","11","14","34","38","25"
"FAM183A","0","1","3","0","0","0","3","2","1","1"
"ZMYM4","33","55","39","19","30","23","52","34","22","20"
"UTP11","14","24","20","11","10"," 9","23","10"," 5"," 7"
"RLF"," 9"," 7","20","25"," 8","15","26","10","12"," 5"
"CLSPN"," 4"," 2"," 6"," 0"," 0"," 1"," 6","10"," 2"," 2"
"GNL2","60","51","79","58","44","54","86","67","46","41"
"GJA4"," 9"," 8"," 1"," 2"," 6"," 3","11","14","15"," 7"
"MORN1","2","3","2","1","5","1","3","1","2","1"
"TIE1","2","4","2","1","3","3","4","8","8","7"
"DLGAP3","10"," 2"," 0"," 1"," 1"," 3"," 4","23"," 3","69"
"RIMS3","1","2","1","0","1","1","2","3","1","6"
"ECHDC2"," 1"," 2"," 7"," 8","27"," 4","10"," 1","20","11"
"RAB3B","0","0","0","0","0","0","0","1","0","0"
"TMEM61","2","0","0","0","1","1","2","1","0","0"
"ERI3"," 51","112"," 69"," 17"," 12"," 45","105"," 30"," 22"," 23"
"CZIB"," 34","114"," 37"," 64"," 49"," 30"," 93"," 52"," 29","  9"
"PODN"," 7"," 5"," 4"," 1","11"," 1"," 8"," 3"," 1"," 6"
"OSBPL9","31","32","35","45","28","24","30","30","30","23"
"ZYG11B","11","24","12","14","18","13","17","13","11","10"
"SF3A3"," 87"," 80","123","109"," 61"," 69","112"," 89"," 93"," 75"
"LAMTOR5P1","0","0","0","2","0","3","2","0","0","0"
"PIGQP1","0","0","0","0","0","1","0","0","0","1"
"KLF17","1","0","2","1","2","2","6","0","4","0"
"PLPP3"," 84"," 78"," 13"," 39","  8","127","109"," 43"," 82"," 52"
"SNIP1","16"," 9","11"," 5","11","13","23","14","18","11"
"RPS13P2","11","28","81","33","13","33","30","37","17","40"
"FOXJ3"," 7","31","18","33","16","13","30","21","18"," 6"
"TUT4","1","7","4","2","6","2","6","1","2","0"
"MAGOH"," 45"," 76"," 81"," 50"," 40"," 59","125","128"," 60"," 40"
"SKINT1L","5","8","4","0","8","1","1","0","1","4"
"CDKN2C"," 93","287"," 91"," 44"," 30","106"," 70","220"," 74","  7"
"CAPZB","35","39","45","28","28","28","72","45","38","39"
"ZSWIM5","3","8","3","3","6","3","6","5","7","9"
"OMA1"," 1","17","10"," 5","11"," 7","10"," 4"," 6"," 2"
"SLC35D1","11","28","17","10","13","13","27","14","17"," 5"
"LRP8","7","5","4","1","1","3","8","6","5","5"
"TCEANC2","3","2","3","2","2","2","5","5","5","3"
"KTI12","16","45","31","23","33","23","78","52","46","22"
"LRRC42","21","23","23","32","24","20","36","23","19","15"
"GDI2P2","46"," 7","58","15"," 2","20","16","27"," 0","19"
"KANK4","0","0","0","0","0","1","0","0","0","1"
"DNAJB4","12","15","14","42","18","24","70","44","14","22"
"USP1","15","55","24","22","18","18","34","19","12"," 8"
"AK5"," 1"," 1"," 1"," 3"," 1","24"," 0"," 2"," 1","41"
"SPATA6","14","35","31","12","17","15","26","12","19","15"
"RPE65","36","13"," 7"," 8"," 8","31"," 6","33","31","14"
"DNAJC6"," 1"," 7"," 5","10"," 4","14"," 3"," 6"," 5"," 5"
"AK4"," 2"," 8","11","13"," 8","13"," 9"," 2"," 9"," 1"
"LEPROT"," 3"," 6","10"," 1"," 4"," 4"," 9"," 1"," 1"," 1"
"CACHD1","3","8","4","2","6","4","6","3","2","1"
"EFCAB7"," 8","16"," 7"," 6"," 6"," 6","14"," 8"," 5"," 3"
"MCOLN2"," 0","17"," 2"," 0"," 3"," 1"," 1"," 1"," 0"," 0"
"ST6GALNAC5"," 0"," 1"," 0"," 0"," 0"," 0","10"," 0"," 1"," 0"
"ATG4C"," 9","33","37","10","20","20","20"," 9"," 8"," 5"
"TXN2P1","51","23","12","21"," 7","20","10","22","48","31"
"ADGRL4"," 1","12"," 0"," 3"," 1"," 2"," 8"," 2"," 1"," 1"
"MTF1"," 4","10"," 9"," 6"," 7"," 6","13"," 3"," 4"," 3"
"TTLL7"," 6","15"," 5"," 6"," 6","18","17","10"," 8"," 9"
"ZNHIT6"," 5","24"," 8","12","10"," 9","15"," 3"," 5"," 2"
"LMO4","23","71","37","23","22","34","71","14","21"," 6"
"PRPF38A","13","52","23","44","25","21","44","29","18"," 9"
"PIGK","15","33","32","14"," 5","22","26","20","14","11"
"HNRNPA3P12","2","1","0","0","1","1","1","1","2","2"
"ST6GALNAC3"," 5"," 2"," 1"," 2"," 0","10","14"," 5"," 1","10"
"USP24","32","25","26","22","24","21","25","40","22","20"
"PSAT1P3","2","0","0","0","0","2","0","0","0","1"
"DOCK7"," 8","19","10","10","12","12","13"," 4"," 7"," 1"
"NEGR1","0","0","1","0","0","1","1","0","0","1"
"FAAH","3","3","2","2","9","5","1","3","3","8"
"SHISAL2A","1","1","3","0","2","3","4","1","1","0"
"DNTTIP2","48","19","63","96","60","34","53","52","36","42"
"PTPRF","17","14","12","21","19","24","42","22","26","13"
"DHCR24"," 2","34","10"," 2"," 3"," 8","16"," 8","10","13"
"COL24A1","0","0","0","0","0","0","0","0","0","0"
"GPX7","48","68","41","18","35","46","61","71","27","12"
"SLC44A3","3","1","0","2","2","2","7","1","2","1"
"NSRP1P1","0","2","5","4","1","2","2","2","1","1"
"PKN2"," 7","47","23","21","19","20","36","17","11"," 5"
"GBP1P1"," 2","21"," 1"," 2"," 1"," 1"," 2"," 0"," 3"," 0"
"ABCD3","75","22","42","27","24","59","46","34","31","31"
"ALG14","5","2","5","2","4","5","3","5","2","3"
"ZZZ3"," 6"," 8"," 8"," 4","10"," 4"," 9","11"," 8"," 5"
"YIPF1"," 65"," 59","107"," 57"," 64"," 59","105"," 87"," 80"," 43"
"TMEM125","0","0","0","0","0","2","0","0","0","2"
"DMRTA2","1","3","1","0","3","5","0","0","5","0"
"HIVEP3","2","2","3","0","1","3","4","2","5","1"
"TM2D1","13","70","39","22","33","26","48","19","18","12"
"SCP2","16","29","29","16","13","16","41","12","24","12"
"BCAR3"," 2"," 2"," 2"," 2"," 5"," 3","10"," 1"," 2"," 2"
"TBCAP2","0","0","0","0","0","0","8","0","1","1"
"DMAP1","48","41","15","38","36","25","37","38","47","51"
"AHCYL1","527","885","129","564","424","424","535","237","522","592"
"CNN3"," 779"," 348","1238","1883"," 452","1180","2377"," 479","1689"," 263"
"VAV3"," 6"," 8"," 5"," 2"," 7"," 7"," 3"," 1","12"," 2"
"DPYD","10"," 3","32"," 5","10","15","22"," 5","19"," 5"
"TLCD4","0","0","0","0","0","0","0","0","0","0"
"POU3F1","2","0","0","0","0","0","0","1","1","0"
"S1PR1"," 4"," 2"," 4"," 2"," 5"," 4","24"," 3"," 7","10"
"ELAPOR1","0","2","1","0","1","1","1","1","1","2"
"ARHGAP29"," 2"," 3","13"," 3"," 5"," 2","18"," 2"," 2"," 2"
"PGM1","28","64","51","54","30","63","98","48","63","31"
"IGSF21","1","0","2","0","0","1","0","0","0","1"
"COA7","40","27","38","35","34","33","35","20","46","28"
"OLFML3","80","56","30"," 4","11","39","64","86","30","24"
"GCLM","17","10","32","11","24","13","41"," 8","16","10"
"TGFBR3"," 1"," 2"," 1"," 2","11"," 3","17"," 8"," 2"," 2"
"SZT2"," 3","12"," 5"," 8"," 9"," 3"," 9"," 8"," 8"," 4"
"PHTF1","14"," 7","18"," 3"," 9"," 5","11","16"," 8"," 7"
"GSTM5","0","0","1","0","0","5","2","1","0","1"
"GSTM2"," 3"," 6","11"," 5"," 1"," 7","14"," 5"," 4"," 6"
"BCAS2P2","0","4","6","0","3","2","7","0","2","0"
"F3","186"," 65"," 22","357"," 89","301","228"," 10","250"," 33"
"VCAM1","46","16","50","39","26","21","90"," 1","43"," 6"
"SEC63P1","2","4","3","1","9","3","2","2","4","1"
"GPR88","2","3","0","0","1","1","5","0","1","1"
"RWDD3","1","0","0","0","0","1","1","1","2","1"
"MAN1A2"," 6","16","16"," 8"," 8","10","14","13"," 6","10"
"LPAR3","0","0","0","0","0","0","0","0","0","0"
"CTTNBP2NL","25","15","42","25","24","16","25","23","34","23"
"RBMX2P3","0","3","0","0","3","1","5","2","2","1"
"STRIP1","25","37","14","30","24","30","37","38","57","47"
"TPI1P1"," 0"," 6","25","29","17","31"," 5","14","16"," 3"
"SLC25A24"," 4","11","25"," 2"," 4"," 7","22"," 3"," 3"," 3"
"PIFO"," 4"," 6"," 4"," 7"," 8"," 6","24"," 2"," 3"," 2"
"TSPAN2"," 0"," 2"," 2"," 0"," 0"," 1","41"," 0"," 0"," 0"
"LRIG2"," 5"," 8"," 8"," 5","11"," 7"," 7"," 7"," 6"," 5"
"AGL"," 4","10"," 6"," 3"," 7"," 8","14"," 4"," 6"," 3"
"SLC6A17","1","0","0","0","0","0","0","0","0","1"
"COL11A1"," 1"," 0"," 0"," 0"," 0"," 0"," 1","10"," 0"," 2"
"GAPDHP64"," 5"," 2","10"," 3"," 2","19"," 2"," 9"," 4"," 4"
"RNPC3","14","42","23","16","47","17","22","16","21","10"
"SNX7"," 47"," 20"," 51"," 46"," 57"," 63"," 77","114"," 71"," 63"
"SLC30A7"," 6"," 8","14"," 5"," 9"," 6","22"," 5"," 5"," 2"
"GSTM1","101"," 60"," 65","  0","  0","  0","151","  5"," 24","  0"
"SEC22B","14","33","41","13","21","17","37","12","16","12"
"PTGFRN","48","21","19","12","46","49","30","20","45","16"
"BCAS2","255","313","331","558","287","338","384","188","465","338"
"ZNF326"," 9","10","12"," 8"," 3","12"," 7","13","11"," 8"
"TRIM45"," 5"," 5"," 3"," 3"," 5"," 2","11"," 2"," 2"," 4"
"RPS26P15","0","2","0","1","5","1","1","4","3","3"
"VANGL1","0","1","1","0","0","0","1","1","1","0"
"TENT5C"," 2"," 1"," 5"," 8"," 3"," 2","24"," 8"," 4"," 9"
"PIP5K1A"," 2","10"," 6"," 3"," 3"," 1"," 3","22","28","15"
"GDAP2"," 3","14","13","10","10"," 7","11"," 8"," 5"," 3"
"NEFHP1","0","0","0","0","0","0","0","0","0","0"
"HYDIN2"," 0","10"," 4"," 6"," 6"," 6","13"," 7"," 7","13"
"WDR3","1","1","6","1","1","2","3","4","3","3"
"SLC22A15","1","2","2","0","1","3","5","0","0","3"
"SCNM1","55","42","35","27","38","19","63","62","51","47"
"TRIM33","4","8","5","2","9","4","7","2","3","2"
"CDC14A","2","5","7","1","2","1","9","3","1","1"
"CD53","5","0","3","0","0","1","1","1","0","1"
"SPAG17","0","0","0","0","1","0","4","0","0","1"
"TTF2"," 6","10","16"," 7"," 7"," 4"," 8","11"," 4"," 6"
"GATAD2B","47","31","14","38","45","26","32","56","52","67"
"NPR1","3","1","1","0","3","1","1","6","2","1"
"MAGI3","1","3","2","3","1","2","4","3","2","2"
"PGBP","0","0","0","0","6","0","1","0","0","1"
"UBL4B","0","1","2","0","8","0","5","1","2","2"
"SLC27A3","12","20"," 9"," 4"," 6","18","12"," 6","15","10"
"GABPB2","2","5","2","2","5","1","6","2","2","3"
"FMO5","1","3","3","2","2","2","3","5","1","2"
"PDE4DIPP6","2","4","3","4","2","1","2","1","1","1"
"ELL2P1"," 1"," 5"," 7","12","16","11","13"," 6"," 4"," 2"
"LYSMD1","31","70","15","36","25","30","90","86","70","50"
"ELOCP19","0","2","0","0","1","1","2","0","1","1"
"PNRC2P1","42","17","78","32","18","31","23","18","13","27"
"DENND2C","0","0","1","0","1","0","2","0","1","1"
"CD2","6","4","0","0","2","1","8","9","4","2"
"DEPDC1","1","4","3","0","0","1","4","1","1","0"
"GPR89A","0","2","2","1","1","1","2","1","1","1"
"GTF2B"," 9","18"," 6","24"," 9","13","15","21","14","10"
"TNFSF4","0","0","4","0","0","1","1","0","0","0"
"KCNJ9"," 1"," 1"," 0"," 1"," 1"," 5"," 0"," 2"," 2","15"
"CSF1"," 61"," 53"," 48"," 20"," 55"," 48","339"," 33"," 92"," 31"
"TNFAIP8L2"," 4"," 0","23"," 0"," 0"," 2"," 2"," 1"," 0"," 1"
"NAP1L4P1"," 9","10","16","10"," 2"," 9"," 6","12"," 4"," 9"
"IGSF8","34","55","12"," 3","18","33","22","16","26","38"
"MPC2"," 37","102","119"," 39"," 42"," 48","117"," 24"," 25"," 23"
"C1orf112"," 3","11"," 8"," 1"," 9"," 3","13"," 5"," 3"," 4"
"LAMC1","54","66","42","38","20","24","60","38","45","10"
"CD1D","0","0","3","0","2","0","2","1","0","1"
"MGST3"," 28","119"," 58"," 35"," 25"," 69","163"," 62"," 33"," 63"
"CASQ1","6","4","2","2","3","1","0","1","1","2"
"ILF2","141","179","257","105"," 74"," 92","188","164","103"," 87"
"TIPRL","24","39","41","38","23","32","59","14","16","15"
"NME7"," 3","17"," 5","12","11"," 5","15"," 6"," 7"," 6"
"RCSD1"," 3"," 4","28"," 1"," 1"," 6"," 7"," 7"," 4"," 8"
"TNR"," 13","  7","  0","  0","  2"," 16","  0"," 18"," 10","126"
"SFT2D2"," 9","23","27"," 5"," 8","13","66","17","11","11"
"UCK2","11","23","13","11","10","10","25","19","10","12"
"PIGM","4","3","5","2","4","4","5","5","3","6"
"FAM20B","10","18","18","10"," 5","10","25","19","14","13"
"QSOX1","23","31","35"," 3","17","25","27","28","34","24"
"POU2F1","3","6","3","3","4","3","7","5","6","6"
"KIFAP3"," 7","17","12"," 9"," 7"," 8","21"," 6"," 4"," 5"
"CD48"," 2"," 3","17"," 2"," 2"," 1"," 5"," 1"," 1"," 1"
"RXRG","4","5","1","0","1","1","2","1","0","8"
"TPR","39","65","37","70","35","41","66","56","58","31"
"ATP1A2"," 42"," 58"," 11"," 23","  7","291"," 17"," 44","115","282"
"METTL18","2","0","1","1","0","1","4","2","0","0"
"EXTL2","17","19","24"," 7"," 9","23","39","22","24","12"
"KIRREL1"," 9"," 9","11"," 6","20"," 8","21"," 4","18"," 6"
"DDX59","15","27","18","31","20","20","21","30","21","20"
"NIBAN1"," 35"," 60"," 45"," 82"," 86"," 38"," 44"," 11","119"," 31"
"WDR82P2","3","5","5","2","1","2","3","5","3","1"
"DDX59-AS1","0","0","0","0","0","0","0","0","0","0"
"CD58","10","55","51","23","28","19","66","19","12"," 6"
"KCNJ10","28","24"," 1"," 3"," 1","26","11","24"," 5","21"
"NUF2","17","20","17"," 1"," 2"," 9","15","24"," 6","10"
"MFSD4A","0","5","1","0","1","2","2","2","2","4"
"TBX19","2","1","7","4","6","3","5","6","3","6"
"GCSHP5","10"," 9"," 3"," 3"," 0"," 8"," 1","15"," 8"," 6"
"NR5A2","1","2","0","1","1","1","4","6","1","1"
"SCYL3","5","5","9","1","6","4","7","5","6","4"
"DUSP10","26","61","34","45","36","44","31","48","29","37"
"NMNAT2"," 5"," 1"," 0"," 1"," 1"," 2"," 5"," 3"," 3","27"
"CCT8P1","0","0","3","0","0","0","1","0","0","1"
"TARBP1"," 2","17"," 6"," 3"," 4"," 3","10"," 2"," 2"," 2"
"SCCPDH"," 99","240","105"," 88"," 85","120","142"," 71"," 93"," 53"
"CEP350","14","14","17","15","14","13","13","14"," 7","11"
"ELK4"," 3"," 6","11"," 7"," 8"," 4"," 9"," 2"," 5"," 3"
"FTH1P2"," 6"," 2","17","15"," 2","16"," 4"," 0"," 0"," 3"
"TFB2M","10","36","15","12","21","13","25","12","10","10"
"LYPLAL1","28","55","34","28","20","26","62","27","13","20"
"MPZL1"," 9","13","18"," 5"," 5"," 8","51","17","10"," 3"
"INTS7"," 9","16","15"," 6"," 5"," 9","24","20","12"," 9"
"CATSPERE","1","0","0","0","0","0","1","0","0","0"
"PRDX6","266","293","500","350","461","286","263","235","284","263"
"BRINP3","17"," 0"," 0"," 2"," 1"," 9"," 0","36"," 0","18"
"GPATCH2","13","19","18","21","13","13","19","16","11","10"
"SMYD2","11","59","23","13","12","48","23"," 5","13"," 7"
"SELL"," 2"," 4","24"," 7"," 2","12","23"," 5"," 6","18"
"RHOU"," 72","251"," 38"," 21"," 40","119","160"," 48"," 70","100"
"TOR3A","62","60","47","18","33","48","61","83","53","54"
"RNF2","10","25","27","13","10","12","24","10","12"," 6"
"KDM5B","1","3","4","3","4","2","3","2","3","2"
"SPATA17","1","2","1","1","1","0","3","0","0","1"
"PRRX1","0","3","0","0","1","1","3","0","1","0"
"IVNS1ABP","34","41","58","38","27","29","56","64","47","50"
"ASTN1","26","13","16"," 5"," 5","13"," 6","19","15","22"
"DTL"," 6","21","12"," 1"," 0"," 6"," 6","25"," 5"," 8"
"TRMT1L"," 5","10","15"," 5"," 6"," 5","10"," 9"," 5"," 6"
"LINC01347","1","3","1","0","0","0","0","0","0","0"
"SOAT1","55","53","43","21","23","37","83","57","49","27"
"BATF3","18","10"," 9","10","18","11","11","12","17"," 1"
"CNST","2","4","3","2","5","2","4","2","4","3"
"SOX13","13","10"," 6"," 4","10"," 6","15","27"," 8","16"
"NID1","41","54"," 7","12","16","15","24","33","26","12"
"BTG2","119","167","101"," 33"," 94"," 58"," 94","173"," 95","125"
"RPL21P28","26","44"," 3"," 9"," 2"," 6","16","38"," 9","23"
"ZNF678","17","15"," 7"," 4","10","10","10"," 9"," 8"," 7"
"MRPS14","56","64","86","38","41","60","50","41","21","35"
"UBBP2","0","6","0","2","0","2","9","0","0","2"
"LHX9","5","0","0","0","0","1","0","0","0","1"
"DESI2"," 5","14"," 7"," 4"," 3"," 6","14"," 4"," 6"," 2"
"SLC45A3","0","0","2","0","0","2","1","0","0","3"
"ILDR2"," 7","13"," 1"," 2"," 2"," 3"," 3","23"," 7"," 9"
"KIF26B"," 2"," 2"," 2"," 1"," 3"," 2","11"," 7"," 4"," 4"
"RRP15","5","5","2","2","2","2","5","3","4","3"
"TMEM59","38","53","68","31","10","51","80","42","30","24"
"DHX9-AS1","5","6","7","1","1","2","3","0","3","4"
"CACYBP","36","53","44","48","38","31","62","42","27","35"
"PPP1R12B","1","3","1","1","2","1","1","2","1","2"
"PTPN14","2","4","6","5","7","7","5","3","6","3"
"NEK2","10","18","11"," 0"," 1"," 8","21","47","11","16"
"C1orf53","12","52","14"," 5"," 3","22","37"," 7","11","12"
"PRELP","10","12"," 1"," 3"," 2"," 3"," 6"," 5"," 3"," 5"
"RAB4A"," 7","29"," 5"," 1"," 3"," 5","26"," 2"," 2"," 2"
"TOMM20","164","198","154","221","167","149","139","170","163","250"
"TADA1","10","22","15","17","14","18","14","14","13","10"
"DHX9","28","35","33","23","24","30","43","39","25","23"
"BTF3L4"," 2","16","12"," 6"," 4"," 7","12"," 2"," 2"," 2"
"SWT1","1","3","2","3","4","2","5","3","3","3"
"FBXO28"," 7"," 9","14"," 3"," 4"," 7","14"," 7"," 6"," 4"
"CEP170","12","21","15","19","10","12","29","21","13","11"
"COP1","26","48","56","43","53","39","66","74","41","45"
"FMOD","18","76","99","16","13","16","59"," 3","26"," 7"
"SLAMF7","0","1","1","0","1","1","2","3","2","1"
"RGS18"," 5"," 3","25"," 4"," 2"," 5","22"," 3"," 2"," 5"
"GNPAT","11","16","14"," 9"," 9"," 8","23","15"," 9"," 5"
"TGFB2"," 52"," 28"," 19"," 44"," 45"," 57","121","  6"," 29"," 17"
"ODR4"," 4","12"," 7"," 6"," 5"," 5","10"," 3"," 5"," 3"
"FMO4"," 1"," 8"," 8"," 2"," 7"," 3","19"," 2"," 1"," 3"
"NSL1","10","22","12"," 6"," 4","13","19","15","12","12"
"HFM1","6","5","0","5","3","3","5","5","2","4"
"OR2T32P","0","0","0","0","0","0","0","1","0","1"
"GALNT2","100"," 69"," 87"," 29"," 92"," 56","148","114","142"," 73"
"SPRTN"," 3","17","12"," 3"," 6"," 9","22","15"," 6"," 7"
"GNG4","37","19"," 2"," 3"," 1","10","19","64","12","44"
"PAPPA2","0","0","0","1","7","0","4","0","1","1"
"PPP2R5A"," 9","19"," 7"," 6"," 7","15","12"," 6","10","13"
"SUCO"," 9","36","22","21","16","24","31","16","30","11"
"ATF3"," 15","  9","  7","159"," 92"," 25"," 16"," 26"," 57","  5"
"RNASEL"," 6"," 7","12"," 3"," 8"," 5","17"," 6"," 6"," 6"
"OR2L1P","0","0","4","0","0","3","0","0","1","2"
"PLXNA2","14","11"," 4"," 3"," 4"," 9","14","12","12","13"
"PLA2G4A","11"," 8","20"," 6"," 7"," 5","11","12"," 1"," 4"
"EIF1P3","8","2","0","3","0","2","0","5","1","2"
"ETNK2","13","10","13"," 1"," 4"," 9","23"," 3"," 2","21"
"LPGAT1"," 3","11"," 8"," 3"," 7"," 6","11"," 6"," 2"," 2"
"PROX1","16","37","12","26"," 3","24","18","24","23","10"
"RPL23AP18","0","0","0","0","0","0","0","0","0","1"
"PFKFB2"," 8","27","13","14"," 4","16","20","10","25","45"
"NENF","228","142","128","176","203","185","220","167","124","182"
"TATDN3","25","30","26","18"," 9","22","48","44","37","29"
"HMGN1P4"," 96"," 98","166"," 77"," 32"," 68","120","110","107","125"
"CAMK1G","0","1","0","0","0","0","0","0","0","1"
"ZNF672","58","23","19","14","48","30","24","38","49","46"
"LAMB3","2","2","2","0","1","1","2","0","2","1"
"DSTYK"," 3"," 6"," 8"," 4"," 7"," 6","10"," 6"," 6"," 6"
"ARHGEF10L","39","37","25","23","28","23","23","41","34","44"
"TSNAX"," 6","11","19"," 6"," 2"," 6","11"," 2"," 2"," 2"
"NOS1AP","26"," 9"," 8","12","10","47","48","26","41","21"
"GARIN4","0","0","1","1","1","0","2","1","0","0"
"RNPEP","15","24","41"," 3","14","15","42","29","17","10"
"ANGEL2","3","9","5","7","5","4","5","1","4","1"
"KIAA0040"," 9"," 4"," 9","22","11","18"," 9"," 5","12"," 4"
"RPS26P13","0","4","0","0","0","0","3","0","1","0"
"EXOC8","11","14","17","12","16","11","20","13","12","13"
