"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"NECTIN3","10","25","41","24","12"," 9","11","10"," 8","12"
"PRICKLE2","10","24","28"," 4","12"," 1","38","45","20","30"
"PSMC1P1"," 7","20","29","12","30","12","31","11","14","20"
"RPL21P39"," 64","111"," 96","264"," 42"," 26"," 47"," 53"," 29"," 33"
"ZIC1"," 22"," 22","  9"," 14"," 35","105"," 28"," 12"," 59"," 55"
"RUVBL1"," 9"," 8"," 7"," 9"," 9","31","12","15","43","15"
"PBX2P1","1","1","3","0","2","2","5","3","3","5"
"SUCNR1","0","1","2","6","0","1","0","2","0","0"
"NDUFB4","160","415","617","447","175","237","336","372","137","164"
"CEP70","18","31","37","20"," 7","12","14","17","18","15"
"PPM1L"," 6","13","22"," 3"," 8"," 8","25","22","10","15"
"ARHGAP31","14","17","15","15","24","29","20","18","34","18"
"CP","22","10"," 1","82","42","67"," 1"," 4","15"," 6"
"PARP14"," 7","22","14","31","23","63","10","11"," 9"," 9"
"CHCHD6","11","16","25"," 6","17"," 9","51","47","34","46"
"MRE11P1","1","1","1","1","1","1","0","2","1","0"
"TM4SF18"," 4","25","33","71","15"," 7"," 2"," 5"," 1"," 1"
"SYNPR","  1"," 99","457","  0","  1","  0"," 99","318","  4","161"
"B3GALNT1"," 6","22","47","14","11","35","37","50","49","38"
"NCK1","25","33","31","52","23","32","24","28","28","30"
"BCHE"," 4","10","10","25","13","14"," 4"," 6","10"," 3"
"ARHGEF26","19","53","33","31","40","61","43","35","42","32"
"TM4SF1"," 90","120","103","315","162","191"," 28"," 37"," 41"," 19"
"TMEM183BP","15","41","76","27","17","30","36","35","27","20"
"EGFEM1P"," 2","16"," 7"," 8"," 4"," 9"," 3","12","57","15"
"TMEM14EP"," 43"," 95"," 66","156"," 71"," 34"," 42"," 49"," 33"," 22"
"SLC9A9"," 27"," 47"," 39","112"," 28"," 30"," 16"," 18","  2"," 12"
"PSAT1P4","1","8","1","1","3","2","4","3","0","0"
"SIAH2","2","4","2","0","3","3","8","1","8","5"
"NEK11","18","48","51","21","16","31","14","19","13","19"
"RBP1"," 99"," 77"," 60"," 75","111","157"," 82"," 80","852","111"
"TNFSF10"," 8","50","23","28","16","42","11","15"," 5"," 8"
"PHC3"," 8","23","20","16"," 6","14"," 9","13"," 3"," 6"
"PXYLP1","13","18","28"," 7","19","28","24","30","42","29"
"SLC35G2","2","3","2","2","3","4","3","7","0","3"
"FNDC3B","11","29","16","37","14","42","15","11","30","11"
"RPL22L1"," 47"," 27"," 31","126"," 53"," 53"," 32"," 24"," 47"," 32"
"ATP1B3","49","47","60","69","46","85","53","68","49","40"
"ERICH6","0","3","2","2","1","0","1","1","0","2"
