"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"ATAD3B","2","3","2","0","2","3","5","8","8","5"
"RPL7P7","1","6","2","3","6","6","0","4","0","5"
"PRDM16","1","1","1","0","1","3","5","3","1","4"
"MTND2P28","1","0","4","3","1","0","0","0","0","3"
"PEX10","29","17","10"," 4","31","47","66","57","64","73"
"SKI","13","17","12"," 2"," 9","39","42","45","16","27"
"PEX14","12","14","25"," 7","21","23","47","27","16","24"
"PLCH2","29","13","12"," 4","33"," 0","37","20"," 7","23"
"SPSB1"," 8"," 7"," 1"," 3","16","53","11","10","17","15"
"SLC2A5","15"," 5"," 5"," 5","19","26","10"," 7","11","13"
"ENO1"," 410"," 673"," 767"," 458"," 701","1640"," 588"," 840"," 535"," 644"
"PLEKHM2","0","4","2","0","1","0","9","2","1","5"
"NMNAT1"," 8","17","14","12","11","14","16","13"," 8","13"
"MTATP6P1","4","4","3","3","0","2","0","4","0","5"
"CHD5"," 0","22","17"," 0"," 0"," 0","34","27"," 0","20"
"DISP3"," 3"," 3"," 4"," 0"," 6"," 7","14"," 5"," 5"," 5"
"MMEL1","0","0","0","0","0","2","1","0","2","0"
"TMEM51"," 7"," 8"," 3"," 7","12","51"," 7","12"," 5","14"
"WASH9P","12","12","13"," 1"," 5"," 7"," 2"," 6","55"," 7"
"FBXO42"," 9","25","25"," 9","10","21","19","18","19","15"
"ALDH4A1","12","10","11"," 4","22","20","50","20"," 7","25"
"RERE","13","30","24","10","17","14","13","18","10","13"
"CLCN6","12","24","15"," 5","17","12","21","24"," 7","26"
"RER1","27","30","36","36","33","63","35","31","19","25"
"PANK4"," 8","14","13"," 3"," 5","12","26","16"," 6","14"
"VPS13D","10","21","20"," 7","14"," 7","20","14"," 5","14"
"RBP7","211","139"," 57","247","277"," 11","100","186"," 28","120"
"GPR157","0","0","0","0","0","3","0","1","0","0"
"ZBTB40","15","16","12"," 7","13","11","13","12","22","19"
"NPHP4"," 3"," 6"," 3"," 0"," 4"," 2","10"," 8"," 5"," 9"
"HES5"," 0","11"," 7"," 0"," 3","10","24","20","42","61"
"MT1XP1","16","38","25","13","16","66","24","20","80","35"
"CLIC4","481","603","264","697","500","919","234","342","497","338"
"SZRD1"," 74"," 60"," 26"," 18"," 72","238","129","103","301","176"
"PDIK1L"," 4"," 7"," 5"," 6"," 7"," 8"," 4","11","13"," 8"
"NECAP2","14","17","13","10","28","37","21"," 7","57","19"
"LAPTM5","155","112"," 90","563","173","724"," 43","136","100"," 82"
"PHACTR4","13","17"," 9"," 9","14","26","11","13","35","11"
"CNKSR1","1","1","0","0","0","0","1","3","3","0"
"ICMT","14","21","21","14"," 9","35","19","26"," 5","13"
"MED18","32","29","20","28","25","89","43","52","65","58"
"SLC9A1"," 7","11","13"," 4","12","38","43","25","18","20"
"LDLRAP1","40","38"," 5"," 7","41","10","31","26","15","32"
"ATP5IF1","164","266","387","181","199","109","357","366"," 97","229"
"SDC3"," 34"," 46"," 29","  8"," 94","112","118"," 81","104","125"
"DNAJC8","128","404","362","243","126","370","174","277","185","184"
"SESN2"," 7"," 7"," 8"," 3"," 4","37","12","16","13","18"
"SERINC2"," 1"," 1"," 3"," 1"," 5","12"," 3"," 1","17"," 3"
"AJAP1"," 5"," 8","13"," 2"," 5"," 5","13","13"," 2"," 9"
"PTAFR","1","1","2","7","1","4","0","2","1","2"
"NKAIN1","21","27"," 5"," 2","15"," 3","17","31","35","30"
"SNRNP40"," 68"," 40"," 23"," 29"," 41"," 57"," 49"," 45","103"," 47"
"SLC25A33","14","27","14"," 5","11","19","25","19"," 6","19"
"DNAJC16"," 9","20","18","10","12","15","20","18","13","14"
"EYA3","22","48","50","33","28","43","36","40","78","31"
"RPL7P11","0","2","7","7","4","5","0","4","6","0"
"FABP3","173","216","546"," 95"," 65"," 33","287","426"," 41","398"
"EPHA2","2","4","4","3","6","6","4","4","2","5"
"ARHGEF19"," 1"," 0"," 0"," 1"," 1","10"," 2"," 3","30"," 3"
"GPR153"," 0"," 5"," 9"," 0"," 2"," 4","25","15","14","17"
"CHCHD2P6","22","22"," 7","10","33","23","10","13","44","22"
"TNFRSF1B","17"," 7"," 5"," 6"," 5","30","12","17","15","17"
"UBE4B","20","30","21","14","24","16","33","29"," 7","24"
"TMEM51-AS1","0","1","0","0","0","1","0","1","0","1"
"PLA2G5"," 2"," 7"," 3"," 1"," 5","37","15","10"," 1","13"
"PTPRU"," 3"," 5"," 2"," 0"," 3"," 5","15","12"," 7"," 9"
"GJB5","0","0","1","0","0","0","2","7","0","7"
"AGO4","11","19","24","17"," 8","28","13","19","12"," 9"
"CDCA8"," 0"," 3"," 1"," 1"," 2"," 7"," 2"," 1","12"," 3"
"RPL22","0","1","1","0","1","1","1","0","1","2"
"RNF207"," 2"," 5"," 5"," 1"," 1"," 4","11"," 8","10"," 6"
"EXTL1"," 0"," 4"," 3"," 0"," 1"," 0"," 8","10"," 2","10"
"AGMAT"," 1"," 1"," 4"," 1"," 0"," 5"," 7"," 8"," 3","15"
"DNALI1"," 9","11"," 5"," 6","12","55","11"," 9","58","13"
"SPCS2P4","1341","2447","1717","1722","1779","1047","1254","1388"," 655","1167"
"GRIK3","  3"," 10"," 13","  1","  7"," 22"," 17"," 43","105"," 29"
"YRDC","0","0","0","0","2","1","5","0","4","0"
"RCC2"," 33"," 30"," 23"," 21"," 57","148","103"," 39","267","107"
"PSMB2","185","129","225","216","151","349","183","255","386","283"
"CASP9","30","21","11","10","16","37","24","30","37","21"
"UQCRH"," 90","309","706","290","160","138","260","267","110","173"
"THRAP3","30","51","33","33","19","66","38","47","65","47"
"PADI4","4","0","2","2","0","1","1","1","2","0"
"C1orf122"," 44"," 37"," 17"," 10"," 52"," 42","103"," 68"," 81","122"
"EPHA10","0","3","3","0","0","0","5","3","6","4"
"FHL3","11","15","10","13","18","54","27","16","60","23"
"RHBDL2","32","34","12","17","35"," 4","12","25"," 5","22"
"INPP5B","28","31","19","12","20","16","28","27","23","21"
"FAM183A","0","0","0","1","0","8","0","0","0","0"
"ZMYM4","17","60","62","45","25","52","41","40","38","25"
"UTP11"," 9","12","19","17","11","25","18","17","14","14"
"RLF"," 7","21","27","13"," 8","23","18","13","19","14"
"CLSPN","0","0","1","1","1","3","1","0","3","0"
"GNL2","33","44","44","44","29","79","39","33","75","40"
"GJA4"," 4"," 4"," 5","11","18"," 8"," 8"," 9"," 3"," 8"
"MORN1","1","1","1","0","1","4","2","3","1","1"
"TIE1"," 6","11"," 7"," 3","14"," 5","17","11"," 2"," 6"
"DLGAP3","  2"," 82","123","  1","  4","  1","311","255"," 74","252"
"RIMS3"," 2","17","24"," 0"," 1"," 1","80","40","24","48"
"ECHDC2"," 8"," 8"," 6"," 1"," 8","17","13"," 9","26","13"
"RAB3B"," 0"," 5","10"," 0"," 0"," 1"," 5","14"," 1"," 3"
"TMEM61","0","0","0","1","0","4","4","2","0","3"
"ERI3"," 29"," 56"," 57","  8"," 29","112"," 98","111"," 47"," 94"
"CZIB","40","47","71","61","36","81","57","40"," 9","44"
"PODN"," 2"," 5"," 6"," 1"," 3","26"," 5"," 7","16"," 3"
"OSBPL9","51","41","39","59","61","32","20","34","27","25"
"ZYG11B","12","35","45","17","19","19","39","33","19","34"
"SF3A3"," 45"," 96"," 88"," 74"," 53"," 99"," 44"," 70","150"," 60"
"LAMTOR5P1","0","5","0","3","5","0","8","0","3","0"
"PIGQP1"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 2"," 0","15"
"KLF17","0","0","1","0","0","2","0","0","0","0"
"PLPP3"," 58"," 88"," 59"," 30"," 63","270"," 88","130"," 13"," 53"
"SNIP1"," 7"," 7"," 5"," 6"," 6","15","15","17","42","25"
"RPS13P2","31","50","46","59","71","19","35","10","21","28"
"FOXJ3","16","50","37","20","19","44","21","31","13","15"
"TUT4","3","8","8","7","3","8","5","5","1","3"
"MAGOH"," 63"," 93","121","100"," 43","115"," 47"," 59"," 45"," 64"
"SKINT1L"," 2"," 1"," 0"," 1"," 1"," 3"," 1"," 0","17"," 0"
"CDKN2C","20","28","21","20","46","89","27","13"," 1","35"
"CAPZB","38","23","26","28","38","60","38","49","35","33"
"ZSWIM5"," 8","13","12"," 3"," 6","11"," 7","11","10"," 5"
"OMA1","24","44","19","39","18","15"," 8","12"," 3","10"
"SLC35D1","11","28","17","24","17","25"," 8","17"," 7"," 8"
"LRP8"," 2"," 9"," 9"," 2"," 4"," 6","16","11","11","11"
"TCEANC2","4","4","3","3","3","5","2","4","4","2"
"KTI12","17","32","22","27","26","59","37","44","42","30"
"LRRC42","11","16","17","19","14","28","17","23","19","10"
"GDI2P2"," 32","313","310"," 99"," 55"," 57","318","230","119"," 85"
"KANK4","4","0","1","3","5","0","1","1","1","2"
"DNAJB4","67","74","89","88","44","49","53","72","24","63"
"USP1","20","27","41","27","26","42","21","17","16","16"
"AK5","150","157","318","106","176","  3","136","397"," 18","308"
"SPATA6","26","23","13","36","29","32","15","12","20","16"
"RPE65"," 2"," 1"," 2"," 2","20","13"," 1"," 0","30"," 2"
"DNAJC6"," 61","142","195"," 84"," 33","  4"," 87","143","  4"," 41"
"AK4","2","7","6","1","4","4","6","5","2","7"
"LEPROT"," 5"," 8"," 9","11"," 6"," 7"," 8"," 7"," 1","10"
"CACHD1"," 1"," 9","12"," 3"," 3"," 9"," 4","11"," 3"," 6"
"EFCAB7"," 5","18","24","11"," 6","21","19","19","13"," 7"
"MCOLN2"," 1"," 0"," 0"," 2"," 2","10"," 0"," 0"," 0"," 0"
"ST6GALNAC5"," 0"," 9","47"," 0"," 0"," 6"," 7","27"," 0","14"
"ATG4C"," 72","192"," 94","187"," 50"," 32"," 18"," 54","  7"," 32"
"TXN2P1","12","11","15"," 6","21"," 8","55","21","44","13"
"ADGRL4"," 3","12"," 6","50","11","11"," 3"," 4"," 1"," 0"
"MTF1"," 8","13"," 7"," 8"," 8","16"," 8"," 9"," 9"," 4"
"TTLL7"," 86","141"," 88"," 78"," 91"," 16"," 62"," 71","  6"," 71"
"ZNHIT6","21","34","26","20","15","18","16","23"," 6"," 6"
"LMO4"," 11"," 56","110"," 17"," 20"," 98"," 63","110"," 15"," 61"
"PRPF38A","21","64","45","29","30","51","35","33","30","29"
"PIGK"," 32"," 69"," 54","105"," 21"," 35"," 36"," 39","  8"," 26"
"HNRNPA3P12","1","3","3","1","0","1","0","2","1","3"
"ST6GALNAC3","35","31","29","67","39","16","13","19"," 4","13"
"USP24","24","49","46","39","34","24","32","31","21","30"
"PSAT1P3","1","3","1","0","0","0","4","1","1","3"
"DOCK7"," 5","12","13"," 7","10","17"," 7"," 6"," 7"," 5"
"NEGR1"," 2","17","55"," 4"," 2"," 2","23","29"," 5","13"
"FAAH","22","14"," 9"," 3","18"," 5","47","28","10","39"
"SHISAL2A","1","1","0","2","3","5","2","1","1","0"
"DNTTIP2","26","69","68","59","42","51","51","48","79","40"
"PTPRF","21","17","19"," 5","21","40","23","30","16","32"
"DHCR24","76","56","34","38","44","12","35","71","11","53"
"COL24A1","0","2","4","0","0","0","1","4","0","0"
"GPX7"," 7","22"," 8","21","26","56","17","12","28","36"
"SLC44A3","3","2","1","2","3","5","2","1","1","1"
"NSRP1P1","2","9","4","2","3","1","3","1","3","0"
"PKN2","24","83","72","53","15","55","19","33","11","15"
"GBP1P1","1","4","1","1","1","5","0","1","1","1"
"ABCD3","49","59","66","57","58","45","46","41","72","59"
"ALG14"," 6"," 7"," 7","10"," 9"," 5"," 7"," 4"," 5"," 6"
"ZZZ3"," 7","18"," 8","14"," 9"," 9"," 5","12"," 7"," 8"
"YIPF1"," 47"," 79","100"," 57"," 64"," 92"," 69"," 67"," 68"," 51"
"TMEM125","5","1","0","1","8","0","1","4","1","2"
"DMRTA2","1","0","0","0","0","0","0","0","0","0"
"HIVEP3","1","1","1","0","1","2","3","2","1","2"
"TM2D1"," 40"," 97","116","107"," 38"," 59"," 46"," 47"," 14"," 39"
"SCP2","25","75","89","36","22","60","46","46","12","31"
"BCAR3"," 3"," 3"," 3"," 1"," 4","20"," 6"," 6"," 1"," 4"
"TBCAP2","0","0","2","0","0","0","0","0","0","0"
"DMAP1","26","27","16"," 7","16","37","37","46","59","47"
"AHCYL1","385","653","416","192","471","901","828","750","740","837"
"CNN3"," 257"," 432"," 321"," 593"," 454","1855"," 257"," 265"," 485"," 225"
"VAV3"," 1"," 3"," 2"," 3"," 5"," 3","10"," 3"," 1"," 4"
"DPYD","34","42","36","82","34","12","10","26"," 9","12"
"TLCD4","1","2","9","1","1","1","2","2","0","0"
"POU3F1","0","0","0","0","0","0","3","0","5","4"
"S1PR1"," 6","18","13"," 5"," 9","40","21","23"," 7","21"
"ELAPOR1"," 3"," 5","12"," 0"," 0"," 2","16","20"," 2"," 5"
"ARHGAP29"," 3"," 7","11","15"," 4","13"," 6"," 3"," 2"," 4"
"PGM1","32","54","41","17","22","83","65","45","59","52"
"IGSF21","1","2","2","0","1","0","7","7","1","3"
"COA7","29","35","41","12","28","31","61","49","52","55"
"OLFML3"," 21"," 18"," 15"," 77"," 59","150"," 22"," 34"," 24"," 56"
"GCLM","10","18","27","36","20","31","15","20","19","32"
"TGFBR3"," 4","11"," 6"," 6"," 6","34","14"," 8"," 3","10"
"SZT2"," 6"," 5"," 5"," 3"," 6","12","11"," 8"," 9"," 9"
"PHTF1"," 5","16","17"," 9"," 6","12","22","13","12","11"
"GSTM5"," 5","53"," 4"," 1"," 7"," 5"," 7","15"," 0","12"
"GSTM2"," 5","28"," 9"," 8"," 9","16","10","15"," 6"," 7"
"BCAS2P2"," 1","17","11"," 4"," 2","21","17"," 5"," 2"," 0"
"F3"," 48","137"," 65","127","158","222","154","114"," 40"," 83"
"VCAM1"," 3","14"," 4","30"," 7","52"," 2"," 3","48"," 2"
"SEC63P1","10"," 8","10","23","10"," 4"," 2"," 8"," 4","10"
"GPR88"," 1"," 1"," 1"," 0"," 0","10"," 1"," 0"," 1"," 1"
"RWDD3","2","3","2","0","1","2","1","2","1","3"
"MAN1A2","11","71","60","19","21","15","24","34","21","25"
"LPAR3","0","4","6","0","0","0","3","5","0","7"
"CTTNBP2NL","22","26","22","26","30","28","17","21","50","26"
"RBMX2P3","0","0","3","0","2","2","0","1","4","0"
"STRIP1","21","28","22","10"," 9","35","26","39","78","40"
"TPI1P1"," 3"," 0"," 6"," 3"," 0"," 3"," 6"," 7"," 3","13"
"SLC25A24"," 4"," 8","14","28"," 5","21"," 4"," 6"," 4"," 6"
"PIFO"," 2"," 6"," 6"," 6"," 5","43"," 5"," 1"," 5"," 0"
"TSPAN2"," 1"," 2"," 6"," 8"," 1","42"," 0"," 2"," 1"," 4"
"LRIG2","10","14","10"," 8","14","10"," 7"," 9","13"," 5"
"AGL"," 9","27","30","20","12","21","21","19"," 8","13"
"SLC6A17"," 0"," 8","15"," 0"," 0"," 0","21","25"," 0","13"
"COL11A1","0","1","0","0","0","1","1","0","5","1"
"GAPDHP64","0","0","1","0","9","1","7","1","7","6"
"RNPC3"," 33","146","161"," 57"," 25"," 53"," 63"," 80"," 59"," 47"
"SNX7"," 51"," 44"," 92","105"," 65","101"," 45"," 59"," 44"," 33"
"SLC30A7"," 6","21","25","27"," 5","23"," 5"," 9"," 4"," 6"
"GSTM1","  0"," 81","  0","  0","  1","212"," 55"," 79","  0","107"
"SEC22B","22","42","51","52","22","46","27","38","33","25"
"PTGFRN"," 2"," 5"," 5"," 3","11","20","12"," 8","22","20"
"BCAS2","208","370","824","481","131","459","316","435","545","283"
"ZNF326"," 9","18","12","11"," 7"," 8","10"," 6"," 9"," 8"
"TRIM45","4","4","3","2","4","8","4","4","8","4"
"RPS26P15"," 2","28","64"," 4"," 8"," 1","26","11","21"," 9"
"VANGL1","0","1","1","0","1","2","0","0","1","0"
"TENT5C","92","25"," 7"," 7"," 4","13","12","12"," 4"," 1"
"PIP5K1A","2","1","1","1","4","3","3","3","2","2"
"GDAP2","13","50","57","24","14","13","17","19","10","11"
"NEFHP1","0","1","0","0","0","1","7","1","0","0"
"HYDIN2","31","32","28","11","24","15","19","17","20"," 9"
"WDR3","1","2","1","2","1","5","1","2","2","1"
"SLC22A15","26","66","21","27","25","14","11","20"," 5","15"
"SCNM1","31","24","27","41","28","59","27","35","73","22"
"TRIM33"," 5"," 5","18"," 8"," 4"," 9"," 9","11"," 3"," 7"
"CDC14A"," 2"," 6"," 5"," 5"," 2","17"," 4"," 3"," 1"," 2"
"CD53","1","3","3","7","0","7","0","3","0","0"
"SPAG17","0","0","0","0","0","5","0","0","2","0"
"TTF2"," 7"," 8"," 4"," 7","11"," 7"," 3"," 3"," 8"," 3"
"GATAD2B"," 37"," 23"," 17","  8"," 33"," 37"," 50"," 63","146"," 84"
"NPR1","1","0","0","0","1","1","0","1","1","1"
"MAGI3","2","8","8","2","3","6","5","6","3","3"
"PGBP","0","0","0","0","0","1","0","0","5","0"
"UBL4B","1","2","1","2","3","2","0","1","6","2"
"SLC27A3"," 4"," 2"," 1"," 1"," 7","10"," 3"," 6","11"," 7"
"GABPB2","9","7","5","3","4","5","3","3","8","6"
"FMO5","14"," 6"," 5","16"," 9"," 5"," 5"," 4"," 1"," 1"
"PDE4DIPP6","1","4","2","1","2","4","3","0","2","1"
"ELL2P1","11","22","13","13","12"," 9","18"," 5"," 4"," 7"
"LYSMD1","39","45","59","13","17","81","68","94","82","93"
"ELOCP19","3","0","4","1","5","1","0","0","0","0"
"PNRC2P1"," 8","50","44","23","28","15","38","12","34","54"
"DENND2C","1","2","2","2","1","2","1","1","0","1"
"CD2"," 5"," 3"," 0","12"," 0","12"," 0"," 3"," 1"," 0"
"DEPDC1","0","0","0","1","0","3","0","0","1","0"
"GPR89A"," 4"," 6"," 6"," 2"," 1","11"," 2"," 2"," 1"," 1"
"GTF2B"," 9","14","12","12"," 9","19","13","12","28"," 6"
"TNFSF4","1","1","2","1","1","1","1","0","1","0"
"KCNJ9","36","22","13"," 2","18"," 0","33","25","18","25"
"CSF1"," 39"," 19","  6"," 20"," 33","166"," 20"," 30"," 71"," 45"
"TNFAIP8L2","0","0","1","1","1","2","4","3","0","3"
"NAP1L4P1"," 8","23","16"," 7","18"," 7","24"," 5"," 6"," 6"
"IGSF8"," 80"," 74"," 53"," 20"," 68"," 23","148","166"," 23"," 76"
"MPC2"," 50"," 97","146","102"," 48","131","165","131"," 43"," 96"
"C1orf112"," 6","11"," 5","18"," 7","10"," 4"," 3"," 8"," 5"
"LAMC1"," 4"," 9"," 8","21","17","45"," 9"," 7","13"," 8"
"CD1D","0","0","0","1","0","2","0","0","1","0"
"MGST3"," 80","210","330","144"," 54","169","200","226"," 57","126"
"CASQ1"," 1","15","18"," 0"," 2"," 1","12","14","12"," 9"
"ILF2"," 66","112","120","115","101","206"," 90","101","155"," 87"
"TIPRL","21","39","47","31","29","58","56","59","69","37"
"NME7"," 4","10","17","12"," 4","18"," 3","13","10"," 8"
"RCSD1"," 8"," 8"," 5"," 7"," 9","11"," 4"," 9"," 4"," 7"
"TNR","22","45","40"," 8","61"," 9","49","55","81","54"
"SFT2D2","21","23","27","31","19","70"," 8","17","13","11"
"UCK2"," 9","14","18","11"," 6","20","13","21","25","14"
"PIGM"," 5"," 5"," 2"," 4"," 6","11"," 4"," 5","14"," 8"
"FAM20B","12","41","44","13"," 6","25","38","54","18","43"
"QSOX1","24","14","12","10","20","23","39","41","36","28"
"POU2F1"," 5","11"," 5"," 4"," 3","10"," 7"," 6","10"," 3"
"KIFAP3","11","28","55","27","12","28","30","45","14","19"
"CD48"," 2"," 3"," 2","13"," 1","10"," 0"," 0"," 4"," 0"
"RXRG"," 7"," 6","13"," 1","10"," 7","21","15"," 8","17"
"TPR","32","85","39","46","25","54","25","42","67","36"
"ATP1A2","249","740","486"," 37","323","256","946","647","168","655"
"METTL18","0","2","1","2","1","3","0","0","1","0"
"EXTL2","10","29","49","46","16","49","68","26","19","21"
"KIRREL1"," 0"," 1"," 1"," 1"," 3"," 6"," 2"," 2","18"," 4"
"DDX59","15","16","18","24","25","24","12","17","37","18"
"NIBAN1","14","13","10","26","23","33"," 8"," 9","51","11"
"WDR82P2"," 0"," 2"," 4"," 1"," 3"," 3"," 2"," 1"," 2","10"
"DDX59-AS1","0","0","0","0","8","1","0","0","1","0"
"CD58","15","28","22","81","26","74","10","10"," 7","18"
"KCNJ10"," 59","104"," 29"," 20"," 71"," 37"," 65"," 55"," 22"," 70"
"NUF2"," 1"," 1"," 1"," 6"," 2","10"," 1"," 1","13"," 2"
"MFSD4A","  7"," 31"," 75","  2","  4","  2","103","102","  1"," 63"
"TBX19","3","3","3","6","2","6","5","4","8","1"
"GCSHP5"," 7","22"," 6"," 4","14","13"," 0"," 6"," 4","12"
"NR5A2","0","0","0","7","2","1","0","0","1","0"
"SCYL3"," 7"," 7","10"," 7"," 7","11"," 6"," 6"," 6"," 5"
"DUSP10","85","65","23","33","58","18","27","36","40","32"
"NMNAT2","  3"," 55","113","  1","  5","  6","183","160"," 58","150"
"CCT8P1","1","1","2","0","1","0","0","0","0","0"
"TARBP1"," 6","20","25"," 9"," 6","15","21","15"," 4"," 7"
"SCCPDH","253","250","250","304","128","192","163","184"," 84","161"
"CEP350","22","34","28","29","28","19","21","18","21","22"
"ELK4","10","18","18","15"," 7","11"," 6"," 8"," 4"," 3"
"FTH1P2","6","0","6","4","4","3","0","2","0","0"
"TFB2M","17","62","58","41","16","20","24","26","17"," 7"
"LYPLAL1"," 58","222","189","106"," 45"," 69"," 81"," 73"," 39"," 54"
"MPZL1"," 3"," 9"," 6","22"," 7","54"," 6"," 4"," 9"," 3"
"INTS7","13","23","18","16"," 6","25"," 6","12","14"," 7"
"CATSPERE","2","2","3","2","2","4","1","1","0","0"
"PRDX6","354","681","300","289","629","249","494","311","316","384"
"BRINP3"," 3","31","28"," 8"," 4"," 2","31","18"," 9","17"
"GPATCH2","12","22","23","13","17","23","13","17","19","16"
"SMYD2"," 6","18","18"," 9","14","16","46","29","11","32"
"SELL","28","62","38","72","36","41","10","20","17","11"
"RHOU","273","174"," 49"," 83","175","159","262","211"," 85","421"
"TOR3A","30","36","21","18","64","59","49","39","74","45"
"RNF2"," 7","17","24","26"," 9","25","17","20","18"," 7"
"KDM5B","1","3","4","4","2","4","3","4","3","2"
"SPATA17","0","1","1","0","0","3","0","1","3","0"
"PRRX1","0","1","0","1","0","3","0","0","0","0"
"IVNS1ABP","47","83","51","89","59","52","46","42","73","32"
"ASTN1"," 8","34","36"," 3","15"," 7","57","46","26","38"
"DTL"," 0"," 1"," 1"," 3"," 4"," 9"," 0"," 0","12"," 4"
"TRMT1L","17","20","20","25","11","16","20","17"," 6"," 7"
"LINC01347","0","0","1","0","2","1","0","0","0","3"
"SOAT1","28","20","21","73","26","99","20","18","25","27"
"BATF3","3","0","3","1","1","4","1","3","6","3"
"CNST"," 3","10","44"," 7"," 5"," 5","31","15"," 4","13"
"SOX13","10","11"," 4"," 2","11","20","15"," 8","33"," 7"
"NID1"," 6"," 6"," 4","24","19","21"," 9"," 6","19","13"
"BTG2","236"," 33"," 17"," 58"," 73","109"," 50"," 69","350","243"
"RPL21P28"," 5","12","12"," 3"," 3","20"," 5"," 0","14","13"
"ZNF678"," 8"," 9","12","10","13","16","10","11","13"," 7"
"MRPS14"," 51","132","115","103"," 92"," 66"," 70"," 48"," 60"," 49"
"UBBP2"," 9"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0","14"
"LHX9","0","0","0","0","0","1","0","0","3","2"
"DESI2"," 2"," 2"," 4"," 7"," 2","18"," 3"," 4"," 5"," 1"
"SLC45A3","18"," 3"," 0"," 2"," 7"," 1","10"," 7"," 3"," 7"
"ILDR2"," 1"," 5"," 4"," 1"," 1"," 7","11"," 6"," 9"," 7"
"KIF26B","1","2","3","0","1","7","4","5","6","2"
"RRP15","4","2","2","3","1","4","3","3","4","2"
"TMEM59"," 64","108"," 99","121"," 50","105"," 73"," 78"," 24"," 71"
"DHX9-AS1"," 7"," 3"," 7"," 4","12"," 9"," 5"," 8","12","16"
"CACYBP"," 45"," 44","116"," 41"," 36"," 49","125"," 97"," 62","107"
"PPP1R12B"," 6","15"," 8"," 3"," 4"," 4","12","12"," 4"," 6"
"PTPN14","1","4","3","1","3","3","4","3","3","4"
"NEK2"," 1"," 0"," 0"," 3"," 3","10"," 0"," 0","21"," 3"
"C1orf53"," 7","13","60","12"," 9","65","29","19","11","31"
"PRELP"," 9","26","21","16","26","11","34","34","10","32"
"RAB4A","20","14","25","11","14","53","27","17"," 4","20"
"TOMM20","194","335","558","251","218","137","327","334","303","254"
"TADA1","13","28","46","25","18","16","20","23","19"," 8"
"DHX9","30","44","35","23","24","45","36","34","48","32"
"BTF3L4"," 9","14","27","28"," 8","21"," 9","10"," 3"," 4"
"SWT1"," 6","10"," 7"," 9"," 3"," 5"," 2"," 6"," 4"," 0"
"FBXO28"," 6"," 9","13"," 9"," 6","13"," 9","11"," 9"," 9"
"CEP170","22","32","28","33","23","37","21","22","20","20"
"COP1"," 48","164","144","105"," 45"," 66"," 56"," 71"," 62"," 55"
"FMOD"," 1"," 3"," 2","14"," 7","40"," 5"," 1","52"," 1"
"SLAMF7","1","0","0","2","0","1","0","0","1","0"
"RGS18","13","19","12","50"," 9","20"," 2","10"," 2"," 0"
"GNPAT","14","21","21","21","12","21","20","16","10"," 9"
"TGFB2"," 10"," 39"," 40"," 19"," 21","168"," 49"," 25"," 42"," 26"
"ODR4","13","13","10","11"," 6","11"," 7","10"," 8"," 4"
"FMO4"," 9","10"," 4","24","12","27"," 3"," 2"," 4"," 3"
"NSL1","18","20","18","19","15","23","11","13","10"," 7"
"HFM1"," 2"," 7","12"," 4"," 2","10"," 7"," 4"," 9"," 5"
"OR2T32P"," 6","15"," 8"," 3"," 4"," 0"," 8"," 5"," 1"," 3"
"GALNT2","34","25","26","23","43","92","42","53","92","41"
"SPRTN","10","18","12","12","12","25","13","12","13","13"
"GNG4"," 2","10","20"," 1"," 6","14","10","33","84","26"
"PAPPA2","1","1","1","1","1","1","0","2","2","2"
"PPP2R5A","27","42","24","31"," 9","29","12","20"," 9","16"
"SUCO","18","24","25","29","11","29","10","23","18","11"
"ATF3","39","12"," 2"," 7","11","10"," 5"," 6","58","26"
"RNASEL"," 8"," 9"," 7","10"," 9","21","16"," 9","19","13"
"OR2L1P"," 29","105"," 44"," 30"," 14","  1"," 27"," 43","  0","  9"
"PLXNA2"," 5","14","18"," 2"," 7","16","25","23","17","22"
"PLA2G4A"," 3"," 9","13","33"," 3","12"," 4"," 5"," 5"," 8"
"EIF1P3"," 1"," 0"," 4"," 3"," 4"," 1","20"," 0"," 0","29"
"ETNK2"," 2"," 7","10"," 1"," 5","25"," 4","10","15"," 8"
"LPGAT1"," 40","109"," 84"," 50"," 23"," 16"," 38"," 41","  4"," 18"
"PROX1","29","29","26","34","26","24","16","18","18","18"
"RPL23AP18"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"
"PFKFB2","50","35","21","21","88","50","23","22","35","30"
"NENF","226","216","117"," 77","374","235","299","370","231","511"
"TATDN3","51","46","71","84","25","58","67","71","41","65"
"HMGN1P4"," 26"," 49"," 50"," 32"," 40","134","  8"," 13","103"," 45"
"CAMK1G"," 0","15","45"," 0"," 0"," 0","21","50"," 0","37"
"ZNF672","14"," 8","10"," 7","21","30","33","22","79","22"
"LAMB3","1","1","0","0","1","0","0","0","0","2"
"DSTYK","11","19","20"," 8","10","10","22","19"," 7","13"
"ARHGEF10L","11","14","13"," 3","17","35","46","24","57","29"
"TSNAX"," 6","22","34","33"," 7","15","16","15"," 7","13"
