"","Gene","logFC","padj"
"111","AKT3",-2.48881119416152,1.10766356543052e-05
"112","ANO4",-4.23068229327717,1.16384296461981e-05
"113","PRELP",-1.94309190279024,1.16399798694621e-05
"114","DENND2A",1.36302051117221,1.19490030353142e-05
"115","MINDY3",-2.46725410259371,1.19490030353142e-05
"116","ENPP5",-3.49729504607022,1.22437231728887e-05
"117","STOX1",-3.26010483311899,1.22437231728887e-05
"118","PPP3CB",-2.6002639484724,1.22437231728887e-05
"119","KIF6",-4.67924549662993,1.24651375541607e-05
"120","CLTA",-4.20219699548537,1.24651375541607e-05
"121","GRWD1",1.48717638948803,1.24651375541607e-05
"122","BATF3",2.47150305523319,1.30108570760904e-05
"123","JAKMIP3",-4.1176187687346,1.32912472803519e-05
"124","PYGM",-3.31477887137032,1.37750578627536e-05
"125","SCOC",-1.79688945633548,1.42175236568e-05
"126","RHBDF1",1.71321411906327,1.42175236568e-05
"127","RPS6KC1",-1.83419182286772,1.4352776594316e-05
"128","BTBD10",-2.40252629753168,1.4352776594316e-05
"129","CD63",1.22273028915986,1.4352776594316e-05
"130","CNNM1",-4.82968990897677,1.44046845792282e-05
"131","BTBD8",-1.98485937614158,1.49470218304278e-05
"132","H1-3",2.34764155287282,1.49470218304278e-05
"133","SHMT2",1.9908535084324,1.49470218304278e-05
"134","NUAK1",-2.18553685037309,1.50265823794375e-05
"135","PPP1R16B",-3.83297493357397,1.55939636623858e-05
"136","KLHL2P1",-2.6077185349956,1.56585657872999e-05
"137","PPP1R1A",-4.14709143731573,1.60850997818376e-05
"138","RACK1",1.18022341763702,1.65057900533044e-05
"139","ATL1",-2.16242242905011,1.6878894889737e-05
"140","PRKCZ",-3.23889797078832,1.69070070091087e-05
"141","KIF5C",-2.93501209763462,1.69070070091087e-05
"142","NAPEPLD",-1.70706564813001,1.8102049871713e-05
"143","PXK",-1.91902987460229,1.82703671548876e-05
"144","ARHGAP44",-4.54846389023915,1.8399822186507e-05
"145","GPC1",1.7398771419632,1.84146193092494e-05
"146","NAB2",1.54884084652157,1.84146193092494e-05
"147","NDRG2",-2.26844697766935,1.84146193092494e-05
"148","ALYREF",1.31453006310789,1.84146193092494e-05
"149","CCDC9",1.64425091360123,1.91985590446556e-05
"150","NAPB",-3.77979968914204,1.97731513184489e-05
"151","MADD",-4.64513775081956,1.9895514242871e-05
"152","TMEM35A",-2.97168017776801,2.06746368917794e-05
"153","TAFA2",-5.55932678127556,2.06746368917794e-05
"154","GAPDH",1.51782693814628,2.09995763808296e-05
"155","MICU3",-2.50802465052189,2.14224673521591e-05
"156","GRIN2A",-4.23664021085395,2.16110798922602e-05
"157","FKBP9",1.10084967540181,2.16673131389772e-05
"158","BRINP1",-4.53691819550061,2.22131676375246e-05
"159","TARS3",-1.97031513853514,2.24336910576759e-05
"160","FAM171A1",-1.93918324798562,2.24931528963001e-05
"161","PLOD1",1.68922710108876,2.25879043106286e-05
"162","DOCK3",-2.51634981405907,2.25879043106286e-05
"163","FUT9",-3.28535949302806,2.25879043106286e-05
"164","ALDH1A1",-3.02907509690152,2.25879043106286e-05
"165","CHGB",-3.5626127078814,2.25879043106286e-05
"166","RNF170",-1.15180067652668,2.28529515512839e-05
"167","PPP1R14BP3",2.14071527044942,2.35751680343465e-05
"168","GRM3",-3.97626760116923,2.35751680343465e-05
"169","MRFAP1L1",-0.819262667013371,2.35790859648033e-05
"170","PXYLP1",2.33019079330719,2.35881706238791e-05
"171","CPLX1",-4.47396308716603,2.35881706238791e-05
"172","CACNA2D1",-2.37994270722498,2.54645989837281e-05
"173","CAMTA1",-2.10253563581973,2.56920932935598e-05
"174","SH3GL2",-4.25318145021775,2.56920932935598e-05
"175","ENPP4",-2.88361454415114,2.61939761228412e-05
"176","PRR18",-2.96327352621785,2.68988466214617e-05
"177","IL1RAPL1",-3.76757738171339,2.68988466214617e-05
"178","APBB1",-1.48801547700942,2.68988466214617e-05
"179","L3MBTL4",-2.0577757352113,2.68988466214617e-05
"180","LMNB2",1.81636256225276,2.69474381019114e-05
"181","EHD2",2.06212905897671,2.69968369193366e-05
"182","APBA1",-2.05355648838975,2.71464304078711e-05
"183","MFSD4A",-3.9557870965375,2.80057442343868e-05
"184","MAPK10",-2.32132144553847,2.81245929645193e-05
"185","HMGCLL1",-4.97229476924049,2.84695086421888e-05
"186","MDH2",0.779700314334949,2.84695086421888e-05
"187","EPB41L1",-1.6732889584702,2.84695086421888e-05
"188","IGFBP3",3.31452506247674,2.84839031772646e-05
"189","EGFR",4.68733584245935,2.88435813129385e-05
"190","SRM",1.16225772727639,2.97045484514849e-05
"191","RCAN2",-3.08610179839793,2.97045484514849e-05
"192","SLC25A16",-2.68105501759452,2.97045484514849e-05
"193","INA",-4.9867762791958,2.97045484514849e-05
"194","NAPG",-1.50086667792332,2.97045484514849e-05
"195","KEL",-3.066359478051,2.97629423076022e-05
"196","SLC44A1",-1.99978046597435,2.97629423076022e-05
"197","CAMK4",-3.6603380352035,2.97660130326119e-05
"198","NANOGP2",-3.82836823897241,3.01001135144898e-05
"199","LRRC59",1.39279592722897,3.08404312001183e-05
"200","RSPO2",-4.60652593604844,3.10727505759173e-05
"201","CCDC91",-2.7821779744717,3.10727505759173e-05
"202","CD320",1.57181042599935,3.10727505759173e-05
"203","SOWAHA",-4.22190680362904,3.10791392918639e-05
"204","RIMS1",-5.51723511467433,3.11863438399273e-05
"205","CTNNA3",-3.24491237689034,3.11863438399273e-05
"206","GYS1",1.69670768626261,3.14864925918563e-05
"207","CALM2",-1.64542594942063,3.23246202149785e-05
"208","SCN2B",-3.89155737902746,3.24761174159373e-05
"209","KIFBP",-1.22003536729301,3.24761174159373e-05
"210","CHST14",1.74571975102361,3.24761174159373e-05
"211","DDX49",1.3495293407389,3.24934681957716e-05
"212","WDR47",-1.52521094239052,3.38322308496807e-05
"213","TRGC2",-4.84572061087633,3.38322308496807e-05
"214","TMCC2",-2.58477653847926,3.48009961242706e-05
"215","CRYM",-6.11302696656689,3.48009961242706e-05
"216","SH3BGRL2",-2.58597455731407,3.55609389908863e-05
"217","TERF2IP",-1.12735754269169,3.62728840958136e-05
"218","SNCA",-2.69645058147345,3.63285011952231e-05
"219","CHORDC1P4",-0.953371428750625,3.64192750953642e-05
"220","BIN1",-2.95461952692283,3.65241439969062e-05
"221","NEFM",-6.90155907786435,3.66697178497309e-05
"222","AAK1",-4.1087929092112,3.69491814825905e-05
"223","HECW2",-2.79080920195374,3.79923498920436e-05
"224","FAIM2",-2.54767760013466,3.79923498920436e-05
"225","C6orf141",4.05001936353441,3.85965216987722e-05
"226","GOT1",-2.37223711277101,3.85965216987722e-05
"227","AEN",1.99581878738995,4.02669671004726e-05
"228","PDE1A",-3.88856018528256,4.06505936881838e-05
"229","SERPINI1",-4.39711850656828,4.09251875860323e-05
"230","RIMS3",-3.18070269662217,4.14306973976866e-05
"231","OBSL1",1.55576848225085,4.14422665847633e-05
"232","TMEM45A",2.28132176530117,4.18956439884477e-05
"233","CLDND1",-2.42625430734319,4.29727169657337e-05
"234","PAQR8",-3.31714394174926,4.29727169657337e-05
"235","SELENBP1",-2.25827099541484,4.36100235362416e-05
"236","CD99L2",-1.31502112901321,4.36100235362416e-05
"237","SERINC3",-1.0447109370158,4.36100235362416e-05
"238","MDK",2.73394087731335,4.40701505799869e-05
"239","CASQ2",-3.79940058469324,4.45475024458329e-05
"240","TRIB2",2.15734276519427,4.45475024458329e-05
"241","CKMT1A",-5.30562708430142,4.45475024458329e-05
"242","NIPA1",-1.9969454229124,4.48041421746695e-05
"243","MYBPC1",-3.04959598576227,4.50798306579122e-05
"244","CLIC1",1.86483637684316,4.5804553641984e-05
"245","SMIM14",-0.996552062919209,4.5841120374838e-05
"246","MIR31HG",-5.52553857466896,4.5841120374838e-05
"247","OR2L1P",-4.55776919907208,4.61530041023117e-05
"248","AK5",-4.61010686748068,4.64241980298579e-05
"249","PLPPR4",-4.26088953238204,4.6843279676648e-05
"250","MAL2",-6.64797556188283,4.6843279676648e-05
"251","ZRANB1",-1.16530467680925,4.6843279676648e-05
"252","ANXA7",-1.15407652360401,4.6843279676648e-05
"253","GRM7",-4.05523746158027,4.70862686892823e-05
"254","DUSP4",3.24664420178886,4.73681278068512e-05
"255","PABPC1L2A",-5.18976659958497,4.878561678977e-05
"256","TCEAL7",-2.22057297943709,4.92610595630175e-05
"257","KIAA0513",-2.58012571645019,4.96411624094197e-05
"258","DRAP1",0.887931240814604,4.96993684275829e-05
"259","TMOD2",-1.98906391371283,5.08813937788535e-05
"260","PAIP2B",-3.69363976754654,5.15715426902242e-05
"261","CA12",3.5767540774113,5.21645302741012e-05
"262","TTC9B",-3.29981444759875,5.22112246602205e-05
"263","TUBA1C",2.25957495934815,5.27568130661957e-05
"264","IRF2BPL",1.31904216653003,5.35861959065144e-05
"265","OR9A2",-2.38129366005738,5.35985721915814e-05
"266","OR2AK2",-5.00310827123114,5.3662934468614e-05
"267","R3HDM1",-2.10579294451312,5.3662934468614e-05
"268","NRGN",-3.97694059094469,5.39544607727984e-05
"269","NAV3",-3.18424544258846,5.39544607727984e-05
"270","SYT4",-5.4468244235497,5.39544607727984e-05
"271","CLCN4",-2.2848223575038,5.44402131608176e-05
"272","METTL7B",3.07646260591244,5.44927066537045e-05
"273","GNB2",1.348757090716,5.51276879367869e-05
"274","SEMA4D",-2.51846293006446,5.51661348947579e-05
"275","PTGFRN",1.82359122743357,5.5177943273806e-05
"276","SYN2",-5.25734586913241,5.57658946664279e-05
"277","LAMC1",1.77722164167855,5.66595282072621e-05
"278","ANK2",-4.94101285960129,5.66595282072621e-05
"279","MIAT",-3.77659528035307,5.67389651238055e-05
"280","EFEMP1",2.00774241348984,5.74957581983158e-05
"281","HNRNPAB",1.26458051521347,5.76788426301832e-05
"282","KCNK1",-4.51958259668097,5.76875222326868e-05
"283","CERCAM",-2.66979660582355,5.76875222326868e-05
"284","EPCAM",-3.01667841055885,5.80683659298689e-05
"285","FAIM",-3.80801128837319,5.80683659298689e-05
"286","OPCML",-3.46554990218902,5.80683659298689e-05
"287","BLOC1S2",-1.17405637368948,5.80683659298689e-05
"288","RPL18",1.0206944432848,5.80683659298689e-05
"289","SERPINH1",2.33749884921718,5.83232594028197e-05
"290","PRSS3",-4.34145365012334,5.86592063951634e-05
"291","KCNH8",-2.89211244534068,5.91067245589717e-05
"292","KLHL32",-3.15526118834504,5.95927021257153e-05
"293","PHF24",-4.14928306682869,5.95927021257153e-05
"294","NT5C3B",0.717952378409382,6.02772794898744e-05
"295","AKAP6",-2.09543267160273,6.1777805709418e-05
"296","GNAO1",-2.03512327378425,6.1777805709418e-05
"297","CSNK1D",0.685144806021563,6.1777805709418e-05
"298","MAD2L2",1.48754494518183,6.23927210849366e-05
"299","FAM171B",-2.18472132220729,6.24007589846459e-05
"300","CAMK2G",-2.2117111683332,6.31093817983346e-05
"301","FBXL16",-3.60597334423253,6.33185897729152e-05
"302","FAM162B",-2.85039148087431,6.54707936569741e-05
"303","TMEM171",-3.84900476808528,6.59543681194258e-05
"304","STXBP5",-2.46954277878683,6.59543681194258e-05
"305","DEPTOR",-2.10684494011442,6.59543681194258e-05
"306","HSPA12A",-3.65556548768917,6.59543681194258e-05
"307","SGMS1",-1.57487713639637,6.59543681194258e-05
"308","NTN4",-1.86983502826614,6.59543681194258e-05
"309","CA11",-2.91632273843502,6.67057127354077e-05
"310","OR2M5",-5.16871916143293,6.67691371702048e-05
"311","SLC35F3",-4.95451298400535,6.73418775536421e-05
"312","ACBD7",-3.82473169994383,6.77682606389635e-05
"313","AJAP1",-3.11023650064023,6.78235520043532e-05
"314","C7orf50",1.3730746232919,6.79089436201727e-05
"315","PHACTR1",-3.17967417805289,6.81967522674877e-05
"316","SATB1",-2.20458044107453,6.86708739255353e-05
"317","ATG4C",-1.6309907225142,6.99227902463509e-05
"318","MCM3",1.48364453331981,6.99227902463509e-05
"319","AIFM3",-4.4953208498641,6.99227902463509e-05
"320","DLGAP3",-3.7390867498049,7.16612154115894e-05
"321","CYP4X1",-3.61419624292115,7.16612154115894e-05
"322","DNM3OS",-2.29076734879569,7.16612154115894e-05
"323","DAAM2",-2.77152504735214,7.19337949859935e-05
"324","H2AC4",2.59183150682017,7.19337949859935e-05
"325","AMN1",-2.26257083169714,7.20385708323858e-05
"326","CCDC85A",-4.08480997551459,7.28730118349791e-05
"327","ZFAND1",-1.58047994065165,7.28730118349791e-05
"328","RUSC2",-1.17983411279562,7.28730118349791e-05
"329","SLC12A2",-1.96951281381141,7.41986762905981e-05
"330","RASGRF1",-4.21368672903456,7.41986762905981e-05
"331","FKBP10",2.09704152912764,7.47157922588622e-05
"332","TEAD3",2.08772312523741,7.49545341565203e-05
"333","SLC30A10",-3.02245452183841,7.63795440982384e-05
"334","NRSN1",-3.97761409095398,7.63795440982384e-05
"335","PRDM8",-2.86393279395627,7.75735971117491e-05
"336","TEF",-2.13425512424027,7.82968001913267e-05
"337","MITD1",-1.14636508045588,7.94392616159359e-05
"338","HS3ST4",-3.95681536817181,8.0420079309874e-05
"339","SAMD8",-1.0858134012823,8.16867640380916e-05
"340","STMN2",-4.77844122130888,8.22197230839069e-05
"341","FAM13C",-2.78823024441191,8.2364154045288e-05
"342","TGFB1I1",2.24518202759861,8.26360817957781e-05
"343","NME4",1.42599153018503,8.45687107529693e-05
"344","MEGF9",-1.48107789864862,8.51937773828029e-05
"345","UNC79",-3.51223135766559,8.53814002900952e-05
"346","STAM",-1.41592791770706,8.70415946045655e-05
"347","RHBDL2",-2.59001827132673,8.77287725626735e-05
"348","S100A16",1.64001597116966,8.77287725626735e-05
"349","CYP2J2",-2.51804579985235,8.77287725626735e-05
"350","KHDRBS2",-4.45821237391605,8.77287725626735e-05
"351","UVRAG",-1.33443755649115,8.77287725626735e-05
"352","MAP1A",-2.48809769173539,8.77287725626735e-05
"353","NIFK",0.807193418599079,8.77749121491864e-05
"354","MRO",-2.05330466691699,8.77749121491864e-05
"355","SYTL2",-3.18012288640727,8.96597272149832e-05
"356","ERMP1",-1.66857621701516,8.97506372168235e-05
"357","BTRC",-1.48552370461377,9.05439963117779e-05
"358","RUNDC3B",-3.37467418970536,9.07480674656241e-05
"359","ANXA2P2",2.71029484401966,9.07484792884167e-05
"360","NAALAD2",-4.11303578023251,9.07484792884167e-05
"361","CKMT1B",-5.53787471014941,9.07484792884167e-05
"362","MRPL37",0.861852385863583,9.16154532253339e-05
"363","STX10",0.963533593182214,9.53805996089243e-05
"364","CADPS2",-2.9853069668998,9.72963991320947e-05
"365","SLC52A2",0.978523289716781,9.82518444095451e-05
"366","NT5DC1",-2.62203182818836,9.93676066409105e-05
