"","GSM5800224","GSM5800225","GSM5800226","GSM5800227","GSM5800228","GSM5800229","GSM5800230","GSM5800231","GSM5800232","GSM5800233","GSM5800234","GSM5800235","GSM5800236","GSM5800237","GSM5800238","GSM5800239"
"ENSG00000147274","21","21"," 5"," 8","22","18","44","42"," 9"," 7","16","11","38","32","38","36"
"ENSG00000147316","13","10"," 2"," 2","10"," 1"," 0"," 0"," 3"," 4"," 3"," 3","11","11"," 7"," 5"
"ENSG00000147324"," 3"," 2"," 6"," 6","18"," 4"," 5"," 5","10"," 9"," 4"," 4"," 9","11"," 4"," 6"
"ENSG00000147364","18","14","12","19"," 3"," 4"," 0"," 0"," 6"," 5"," 5"," 5","17"," 8"," 8"," 8"
"ENSG00000147383","7","6","5","4","1","1","0","0","0","1","2","2","7","6","2","3"
"ENSG00000147394","5","4","2","2","1","1","0","0","1","2","3","3","4","2","5","4"
"ENSG00000147400","11"," 6"," 8"," 8","11"," 5","23","18"," 5"," 5"," 8"," 6","17","16","17","14"
"ENSG00000147403"," 71"," 74"," 72"," 60"," 40"," 77"," 24"," 21"," 22"," 24"," 51"," 52","136","151","122","116"
"ENSG00000147408"," 2"," 3"," 3"," 4"," 5"," 2"," 0"," 0"," 1"," 1","16","19","17","21"," 6"," 6"
"ENSG00000147416","12"," 9"," 4"," 4","18"," 9"," 0"," 0","10"," 9"," 8"," 7","33","30","22","22"
"ENSG00000147419"," 5"," 7"," 1"," 0"," 6"," 5"," 0"," 0"," 6"," 8"," 0"," 0","11"," 5"," 3"," 3"
"ENSG00000147421"," 80"," 75"," 32"," 28"," 78"," 38"," 31"," 26"," 66"," 60"," 38"," 36","125","112","111","107"
"ENSG00000147432","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","1"
"ENSG00000147434","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"ENSG00000147437","0","0","0","0","4","3","0","0","0","0","0","0","3","1","3","4"
"ENSG00000147439","20","16"," 4"," 5","10"," 4","27","20"," 3"," 4","12","10","19","18","15","14"
"ENSG00000147443","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0"
"ENSG00000147454","41","51","24","22","31","31","17","12","29","29","29","23","45","46","44","40"
"ENSG00000147457"," 1"," 1","17","14"," 7"," 6"," 0"," 0","19","21","17","14","19","20","17","17"
"ENSG00000147459"," 70"," 74"," 71"," 60"," 53"," 21"," 65"," 70"," 49"," 46"," 41"," 33","159","140","186","203"
"ENSG00000147465","0","0","0","0","1","0","0","0","0","0","3","3","2","2","0","0"
"ENSG00000147471"," 57"," 60","  5","  5"," 12","  9","115","125"," 26"," 33"," 18"," 20"," 48"," 45"," 25"," 22"
"ENSG00000147475"," 4"," 5"," 5"," 4"," 5"," 7"," 5"," 5"," 4"," 5"," 3"," 3","10","12","10"," 9"
"ENSG00000147481"," 0"," 1"," 6"," 7"," 2"," 2"," 0"," 0","19","24"," 4"," 4"," 5"," 5"," 3"," 2"
"ENSG00000147485","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0"
"ENSG00000147488"," 92"," 94"," 74"," 73"," 97"," 85"," 80"," 82"," 65"," 57"," 41"," 37","282","291","354","329"
"ENSG00000147509","38","42","19","17"," 5"," 2"," 0"," 0"," 2"," 6","11","13"," 3"," 3"," 1"," 1"
"ENSG00000147526","103","104"," 91"," 91"," 76"," 66"," 41"," 37"," 88"," 82","106"," 95","167","160","150","147"
"ENSG00000147533","116","100"," 64"," 65"," 80"," 88"," 59"," 58","137","117"," 24"," 23","205","154","315","327"
"ENSG00000147535","12","17","15"," 7","15"," 8"," 0"," 0"," 5"," 4","18","15","13","16","10","11"
"ENSG00000147536","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"ENSG00000147548","142","142"," 47"," 44"," 95"," 72"," 65"," 49","116","102"," 69"," 67","112","104","135","130"
"ENSG00000147570","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"ENSG00000147576"," 7"," 7","14","14","12","10","10"," 9","21","14","10"," 9","21","21","28","26"
"ENSG00000147586","0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","2"
"ENSG00000147588","11","11","12"," 9","26","18","48","45","13","10","23","22","75","72","41","36"
"ENSG00000147592","3","3","0","0","1","1","0","0","0","0","0","0","5","4","4","3"
"ENSG00000147601"," 9"," 8"," 8"," 9","12"," 5","22","24"," 7"," 7"," 8"," 9","12","12","13","14"
"ENSG00000147604"," 3"," 3"," 3"," 3"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 9"," 9","10"
"ENSG00000147606","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000147642","34","42","14","12","22","33","20","18","21","19","34","30","51","47","37","28"
"ENSG00000147647","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"ENSG00000147649","10","10"," 9"," 8","16","17"," 0"," 0","25","23"," 6"," 7","32","38","58","57"
"ENSG00000147650","2","1","0","1","2","1","0","0","0","0","8","5","2","3","2","1"
"ENSG00000147654","0","0","2","2","2","3","0","0","3","2","1","1","3","1","4","4"
"ENSG00000147655","2","2","0","0","3","0","0","0","1","0","4","2","6","5","1","1"
"ENSG00000147669"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"," 3"," 2"," 4"," 3","14","10"," 8"," 7"
"ENSG00000147676","2","1","1","1","4","0","0","0","4","2","1","1","2","1","0","0"
"ENSG00000147677","16","17","13","13","13"," 8","33","35","12"," 9","10"," 9","29","34","32","29"
"ENSG00000147679","0","0","2","3","0","0","0","0","1","1","2","2","4","4","2","2"
"ENSG00000147684","15","14"," 5"," 7","12"," 7"," 0"," 0"," 7"," 3","10"," 7","35","41","33","38"
"ENSG00000147687"," 0"," 0"," 0"," 0"," 1"," 0","30","25"," 3"," 2"," 1"," 0"," 2"," 2"," 3"," 5"
"ENSG00000147724","10","12"," 7"," 6","12","13"," 0"," 0"," 3"," 2"," 4"," 3"," 8","10"," 4"," 5"
"ENSG00000147789","0","0","8","7","1","0","0","0","2","2","4","4","6","8","7","6"
"ENSG00000147799","10"," 8"," 8"," 7"," 9"," 7"," 9"," 7","11","10","11","13","18","17","12"," 9"
"ENSG00000147804"," 0"," 0"," 7"," 4"," 6"," 0"," 0"," 0","12"," 9"," 0"," 0"," 1"," 3"," 5"," 7"
"ENSG00000147813"," 9","13","13","12","11","13"," 0"," 0"," 9","14"," 8","13","10","13","14","11"
"ENSG00000147852"," 1"," 1"," 4"," 3"," 2"," 1"," 9"," 9"," 0"," 0"," 2"," 1","11"," 8"," 9","10"
"ENSG00000147853","16","25"," 7"," 6"," 6"," 2"," 0"," 0","12"," 9"," 9"," 8","20","31","25","19"
"ENSG00000147854","17","19"," 5"," 3"," 6","10"," 0"," 0"," 9","10"," 3"," 3","27","31","23","20"
"ENSG00000147862","52","34","38","34","48","63"," 4"," 5","51","48","26","27","36","34","50","46"
"ENSG00000147869","2","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000147872","11"," 9"," 3"," 5"," 7"," 7"," 0"," 0"," 5"," 6"," 9"," 5","18","22","16","14"
"ENSG00000147874","2","2","1","1","1","1","5","5","2","1","1","0","3","2","3","3"
"ENSG00000147883","3","3","0","0","3","4","0","0","7","6","0","0","0","1","1","2"
"ENSG00000147889","7","3","2","3","1","1","0","0","0","0","0","0","2","0","4","5"
"ENSG00000147894","3","2","1","1","4","1","0","0","5","3","3","3","7","6","7","7"
"ENSG00000147905","25","29","24","23","20","23"," 0"," 0"," 7","12","28","25","23","32","36","36"
"ENSG00000147912","10","10"," 4"," 5"," 7"," 9"," 0"," 0"," 9"," 8"," 8"," 8","10"," 9"," 7"," 7"
"ENSG00000147955","19","18","17","16","16"," 8","82","60","12","13"," 4"," 4","22","21","23","20"
"ENSG00000147996","11"," 7"," 4"," 4","13"," 7"," 0"," 0"," 9"," 8"," 8"," 8","17","18","18","15"
"ENSG00000148019","1","1","6","5","8","1","0","0","1","1","1","0","6","5","4","5"
"ENSG00000148053","165","167"," 88"," 82","121"," 71","114","108","136","130","135","128","187","186","137","134"
"ENSG00000148057","2","1","0","0","1","2","0","0","0","0","3","2","5","2","3","3"
"ENSG00000148082"," 4"," 4"," 2"," 2","32","30","52","47","29","30","36","30"," 9","10","10","11"
"ENSG00000148090","0","0","0","0","1","0","0","0","5","4","0","0","6","6","3","2"
"ENSG00000148110"," 2"," 2"," 0"," 0"," 3"," 2","21","19"," 0"," 0"," 1"," 1"," 4"," 4"," 5"," 5"
"ENSG00000148120"," 7"," 7","10","11","14","18"," 0"," 0","11","10"," 9","11","38","36","41","40"
"ENSG00000148123"," 9"," 9"," 1"," 1"," 3"," 3"," 0"," 0"," 2"," 2"," 2"," 1"," 7"," 5","12","10"
"ENSG00000148143","51","52","32","32","27","28","32","33","45","42","35","34","46","47","55","59"
"ENSG00000148153","10","11"," 1"," 1"," 4"," 3"," 0"," 0"," 3"," 3"," 3"," 2"," 9"," 7","10","10"
"ENSG00000148154"," 2"," 2"," 2"," 2"," 7"," 5"," 0"," 0","11"," 8"," 0"," 0"," 6"," 4","12"," 6"
"ENSG00000148158"," 4"," 4"," 2"," 1"," 4"," 3"," 0"," 0"," 2"," 2"," 3"," 3","10","10","13","12"
"ENSG00000148175","106","108","235","223","108"," 97"," 69"," 62","134","106"," 80"," 79","223","248","233","219"
"ENSG00000148180","101"," 95"," 54"," 34"," 53"," 69"," 69"," 61"," 68"," 59"," 37"," 34","260","270","317","314"
"ENSG00000148187","19"," 8"," 3"," 1"," 4"," 1"," 0"," 0"," 6"," 4"," 3"," 4"," 7"," 8"," 8"," 8"
"ENSG00000148200","2","2","2","2","2","1","7","7","1","1","2","2","2","2","2","3"
"ENSG00000148204"," 5"," 7"," 6"," 6"," 7"," 5"," 0"," 0"," 9","10"," 9"," 8","15","16","16","13"
"ENSG00000148218"," 83"," 74"," 41"," 41"," 88","174","  4","  4"," 86"," 70"," 43"," 38","197","191","250","262"
"ENSG00000148219"," 6"," 5"," 5"," 5"," 4"," 4"," 0"," 0"," 4"," 4"," 7"," 6","13","14","15","15"
"ENSG00000148225","3","2","2","1","1","1","5","5","7","9","1","1","3","2","2","2"
"ENSG00000148229","20","12"," 6"," 7"," 7","13"," 0"," 0"," 5"," 5"," 2"," 2","19","14","13","13"
"ENSG00000148248","11","18","12","11","14","17"," 0"," 0","10","10","20","20","36","32","31","31"
"ENSG00000148288","11"," 9"," 7"," 7"," 9"," 5"," 0"," 0"," 5"," 6","11","12","18","17","16","18"
"ENSG00000148290","0","0","1","1","2","0","0","0","0","0","9","7","6","7","3","3"
"ENSG00000148291","0","0","2","3","0","0","0","0","3","2","0","0","8","6","6","5"
"ENSG00000148296","2","2","0","0","1","1","0","0","1","1","1","1","3","2","2","2"
"ENSG00000148297","12"," 9","11","11","10"," 9","31","33"," 9"," 9","11"," 9","22","24","15","14"
"ENSG00000148300","0","0","1","0","1","0","0","0","0","0","2","1","5","4","3","3"
"ENSG00000148303"," 57"," 61"," 46"," 40"," 60"," 97"," 58"," 63"," 45"," 43"," 38"," 35","215","218","144","154"
"ENSG00000148308"," 56"," 58"," 62"," 59"," 47"," 22","126","120"," 44"," 43"," 64"," 68"," 70"," 73","101","113"
"ENSG00000148331","16","12","10"," 9"," 9"," 8"," 6"," 5"," 5"," 5"," 8"," 8","14","15","10","10"
"ENSG00000148334","17","15","15","13","18","11"," 0"," 0","37","13","17","17","45","42","26","24"
"ENSG00000148335","13","17","11","11"," 5"," 2"," 0"," 0"," 0"," 0"," 2"," 2"," 9","10","10"," 9"
"ENSG00000148337","172","147"," 65"," 69","143","130"," 76"," 68","250","265"," 47"," 54","112"," 96","199","219"
"ENSG00000148339"," 8"," 7"," 4"," 4"," 2"," 3"," 0"," 0"," 2"," 1"," 4"," 4","13","13"," 3"," 3"
"ENSG00000148341","47","39","27","28","33","14","58","50","20","19","27","27","59","63","82","83"
"ENSG00000148343"," 4"," 8"," 6"," 4","21"," 2","43","57","17","15"," 8","10","13","13","17","16"
"ENSG00000148344","1","1","0","0","2","0","0","0","0","0","3","4","2","3","1","2"
"ENSG00000148346","0","0","1","1","1","4","0","0","0","0","0","0","3","2","3","4"
"ENSG00000148356","10"," 7"," 6"," 4","16"," 3"," 7"," 7","14","13"," 9"," 6","20","24","16","17"
"ENSG00000148357","1","1","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"ENSG00000148358","12","14"," 8"," 8","10"," 5","20","17"," 8"," 6"," 8"," 8","13","18","16","18"
"ENSG00000148362"," 4"," 7"," 6","10"," 8"," 6","44","48"," 4"," 2","16","11","33","25","20","22"
"ENSG00000148384"," 5"," 5","15","13"," 8"," 6"," 1"," 1","16","14","12","11","12","12"," 8"," 8"
"ENSG00000148396","36","35","21","19","18"," 9"," 7"," 6","20","20","21","19","31","33","27","28"
"ENSG00000148399"," 7"," 8"," 5"," 5"," 3"," 0"," 0"," 0"," 7"," 5","11"," 9","12"," 9","14","14"
"ENSG00000148400","32","29","18","16","25","17"," 7"," 7","30","21","13","13","32","30","38","33"
"ENSG00000148408"," 6"," 6","13","12"," 7"," 8"," 1"," 1"," 6"," 6","10","11"," 6"," 7"," 2"," 2"
"ENSG00000148411"," 56"," 50"," 33"," 33"," 37"," 29"," 19"," 18"," 51"," 48"," 33"," 31","121","121"," 94"," 91"
"ENSG00000148429","3","4","3","2","4","1","0","0","2","3","2","2","7","5","4","5"
"ENSG00000148444","30","20"," 4"," 4"," 1"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 9"," 3"," 3"," 6"
"ENSG00000148450","2","2","4","3","5","3","0","0","2","1","5","5","9","8","6","4"
"ENSG00000148459","0","0","2","1","0","0","0","0","0","0","1","1","2","1","0","0"
