"","GSM5800240","GSM5800241","GSM5800242","GSM5800243","GSM5800244","GSM5800245","GSM5800246","GSM5800247","GSM5800248","GSM5800249","GSM5800250","GSM5800251","GSM5800252","GSM5800253","GSM5800254","GSM5800255"
"ENSG00000000003","4","2","0","0","2","1","1","1","0","0","0","1","0","0","1","1"
"ENSG00000000419","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"ENSG00000000457","1","1","1","1","1","1","1","1","1","2","0","1","2","3","2","1"
"ENSG00000000460","1","1","1","1","1","0","1","2","1","2","1","2","1","0","2","1"
"ENSG00000000938","7","7","1","1","2","3","2","3","2","1","2","2","7","5","6","6"
"ENSG00000000971","0","0","0","0","0","0","0","0","1","1","2","2","1","1","2","2"
"ENSG00000001036","2","3","0","0","4","3","5","2","0","0","2","2","3","3","2","1"
"ENSG00000001084"," 2"," 2"," 7"," 7","10"," 7"," 6"," 2"," 1"," 3","19"," 9"," 5","17"," 9"," 9"
"ENSG00000001167","18","16"," 9"," 8","14","11"," 5"," 4"," 6"," 6"," 8"," 8"," 9"," 9","15","15"
"ENSG00000001460","16","15","11","11"," 3"," 3"," 5"," 5","11","10"," 6"," 7"," 2"," 3"," 4"," 4"
"ENSG00000001461","25","21","22","17","11","11","20","19","14","10"," 8"," 8","27","25","39","34"
"ENSG00000001497","28","27","18","16","23","22","17","17","28","26","17","17"," 8"," 8","20","18"
"ENSG00000001561","2","1","1","1","1","0","1","1","1","1","1","1","1","1","4","4"
"ENSG00000001617"," 5"," 4","23","22"," 9"," 6","26","24","13","16"," 8"," 9","19","17","22","15"
"ENSG00000001629"," 7","11","10","11","12","15"," 7"," 8","13","12","10","11","24","28","27","22"
"ENSG00000001630","4","6","9","7","1","1","3","3","3","6","1","1","2","3","4","5"
"ENSG00000001631"," 9"," 6"," 6"," 8"," 1"," 3","13"," 9"," 8"," 8"," 3"," 2"," 4"," 2"," 8"," 6"
"ENSG00000002016"," 8"," 7","14","12"," 1"," 0","13","11"," 6"," 7"," 7"," 5"," 6"," 5"," 6","12"
"ENSG00000002330"," 9"," 9","69","61"," 7"," 8","23","14"," 6"," 6"," 4"," 5","13","10","10","13"
"ENSG00000002549","1","0","0","0","4","4","1","2","3","4","5","2","8","7","6","9"
"ENSG00000002586","246","241"," 41"," 46","102","145"," 96","103"," 43"," 49"," 74"," 95","131","152","159","170"
"ENSG00000002587","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ENSG00000002746"," 5"," 6","60","49"," 4"," 5","11","14","13","12","25","16"," 2"," 2"," 3"," 3"
"ENSG00000002822"," 6"," 5","21","16"," 8"," 7"," 2"," 1","13"," 9","13"," 8"," 3"," 5"," 6"," 6"
"ENSG00000002834","66","72","24","24","40","39","27","25","42","42","24","20","24","22","29","28"
"ENSG00000002919","2","3","0","0","0","0","1","1","1","1","4","1","1","4","4","3"
"ENSG00000002933","13","17","11","14","10","14","16","18"," 2"," 3"," 4"," 5"," 5"," 5","13","11"
"ENSG00000003056","22","25"," 5"," 4","23","25"," 7"," 5","10","11","10","11"," 7"," 3","18","19"
"ENSG00000003096","3","2","1","1","0","0","0","0","0","0","0","0","1","0","1","0"
"ENSG00000003137"," 3"," 3"," 3"," 4"," 5"," 5"," 7"," 8"," 4"," 4"," 5"," 5","12","14"," 8"," 9"
"ENSG00000003147"," 2"," 2","10"," 8"," 3"," 7"," 1"," 1"," 5"," 4"," 3"," 3"," 0"," 0"," 1"," 1"
"ENSG00000003249","34","31","63","65","47","44","52","40","45","45","34","29","32","22","21","19"
"ENSG00000003393","11","10"," 7"," 7"," 7"," 7"," 2"," 2","10","10","10","12"," 3"," 3"," 9"," 8"
"ENSG00000003400","1","1","0","0","0","0","0","0","0","0","1","1","1","1","2","3"
"ENSG00000003402","16","16"," 8"," 7","18","17"," 9"," 9"," 8"," 9","10"," 9","17","17","21","19"
"ENSG00000003436","0","0","1","1","1","0","0","0","7","5","5","3","2","2","2","2"
"ENSG00000003509","0","0","1","1","0","0","0","0","2","1","4","3","0","0","3","2"
"ENSG00000003756","65","59","25","23","22","21","18","17","27","25","27","23","13","11","56","53"
"ENSG00000003987"," 9"," 8","17","12","12","10","12","10"," 8"," 8"," 8"," 8"," 3"," 4"," 6"," 7"
"ENSG00000003989"," 5"," 5","10"," 9","11","11","11"," 9"," 7"," 6"," 4"," 4"," 4"," 4"," 6"," 5"
"ENSG00000004059","31","24","32","29","10","12","26","23"," 6"," 7","17","15","16","13","12","16"
"ENSG00000004139","17","16","12","12"," 9"," 9"," 9"," 9","13","11"," 7"," 6"," 8"," 8"," 8"," 7"
"ENSG00000004142"," 6"," 5"," 2"," 2","16","14"," 6"," 6","15","12"," 4"," 5"," 8"," 9"," 9"," 7"
"ENSG00000004399"," 52"," 54","115","108"," 58"," 44"," 90"," 80"," 75"," 81"," 44"," 45","103"," 94","172","188"
"ENSG00000004455","89","64","85","76","80","67","47","47","47","45","49","49","49","41","67","66"
"ENSG00000004468","1","1","0","0","1","4","1","1","0","1","0","0","1","1","2","3"
"ENSG00000004478","28","22"," 5"," 6"," 8"," 7"," 8"," 6","10"," 8"," 9"," 9"," 6"," 7","19","22"
"ENSG00000004487","13","13"," 4"," 4"," 6"," 5"," 4"," 3"," 7"," 8"," 6"," 5"," 3"," 3"," 6"," 4"
"ENSG00000004534","18","22","18","16"," 8","10"," 5"," 3","21","19","17","12","13"," 9","21","20"
"ENSG00000004660"," 6"," 5","12","10"," 4"," 3"," 5"," 5"," 2"," 2"," 7"," 6"," 2"," 2"," 2"," 2"
"ENSG00000004700","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000004766","0","0","0","0","2","0","0","1","0","0","1","2","2","1","2","1"
"ENSG00000004776","38","43","15","16","23","27","17","20","15","17","23","28"," 4"," 6","17","18"
"ENSG00000004777","34","33","52","54","70","55","48","39","21","19","13","17","15","29","37","33"
"ENSG00000004779","2","2","2","3","6","6","0","0","0","0","0","0","4","3","4","3"
"ENSG00000004799","78","68","37","35","61","50","37","38","45","39","12","11","36","26","72","65"
"ENSG00000004838","35","32"," 3"," 2"," 1"," 1"," 0"," 0"," 1"," 0"," 2"," 1"," 1"," 1"," 1"," 2"
"ENSG00000004848"," 7"," 6"," 1"," 1"," 3"," 2"," 2"," 2"," 3"," 3","19"," 6"," 0"," 0"," 0"," 0"
"ENSG00000004864"," 3"," 1"," 5"," 2"," 1"," 0"," 4"," 2"," 0"," 0"," 2"," 1"," 4"," 5","17","11"
"ENSG00000004866","13","13"," 4"," 4"," 6"," 5","10"," 9"," 5"," 4","27","25"," 5"," 4"," 6"," 5"
"ENSG00000004897","86","85","13","11","47","59","19","24","67","56","17","18","26","26","54","49"
"ENSG00000004939","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"ENSG00000004948","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000004961","1","1","1","1","1","1","1","1","3","3","1","1","1","1","1","0"
"ENSG00000004975","28","29","22","24","32","33","30","28","19","18","20","20","17","15","17","16"
"ENSG00000005007"," 9","10","18","17"," 4"," 3","17","19"," 7"," 4"," 5"," 5"," 5"," 5"," 8"," 7"
"ENSG00000005020","22","22","17","22","12","15"," 8"," 7"," 6"," 7"," 9","15","10","11","12"," 9"
"ENSG00000005022"," 2"," 3"," 0"," 0"," 9","12"," 8"," 6"," 1"," 2"," 2"," 2"," 5"," 3"," 7"," 3"
"ENSG00000005059","0","0","0","0","1","1","0","0","0","0","0","1","0","0","3","2"
"ENSG00000005075","10","12"," 3"," 3","10","12"," 8"," 8"," 4"," 3"," 4"," 6"," 5"," 8","10","10"
"ENSG00000005100","6","4","8","7","3","2","5","5","2","2","6","5","3","4","5","5"
"ENSG00000005108","1","1","1","0","1","1","1","1","1","1","4","1","4","4","1","1"
"ENSG00000005156","30","28","43","35","15","13","36","34","16","18","14","19"," 5"," 5","17","15"
"ENSG00000005175","0","0","0","0","0","0","0","0","6","7","1","1","1","1","1","1"
"ENSG00000005189","1","1","0","0","0","0","0","0","1","1","0","0","2","0","0","0"
"ENSG00000005194","1","3","2","3","3","2","4","3","3","2","1","1","3","3","5","4"
"ENSG00000005206","23","20","29","22","18","13","26","23","13","13","10"," 9","10"," 8","11","12"
"ENSG00000005238","25","25"," 9"," 8","25","23","18","17","20","18"," 8"," 7","15","14","28","29"
"ENSG00000005243"," 1"," 0"," 5"," 4","12"," 6"," 0"," 1"," 1"," 3"," 1"," 1"," 3"," 3"," 2"," 3"
"ENSG00000005249","2","2","1","1","1","1","1","1","0","0","1","1","1","1","1","1"
"ENSG00000005302","23","17"," 9","12"," 9","14"," 2"," 2"," 6"," 5"," 5"," 5"," 6"," 8","17","14"
"ENSG00000005339","137","132"," 54"," 54","100"," 84"," 47"," 46"," 88"," 80"," 66"," 76"," 33"," 30"," 54"," 44"
"ENSG00000005379","41","41","42","38","57","51","26","28","35","33","39","32","10","16","10"," 9"
"ENSG00000005381"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1","13"," 7"," 0"," 0"," 0"," 0"," 0"," 0"
"ENSG00000005421","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"ENSG00000005436","1","1","0","0","5","3","1","0","4","4","1","2","2","1","4","2"
"ENSG00000005448","19","13"," 8","13","21","17"," 2"," 3"," 3"," 4"," 4"," 4"," 2"," 2"," 2"," 3"
"ENSG00000005469","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1"
"ENSG00000005483","21","20","11","14","18","20","12","11","22","20","14","14","14"," 9","17","19"
"ENSG00000005486","501","458","184","178","261","252","249","224","128","124","148","123"," 50"," 44"," 95"," 86"
"ENSG00000005513","14","10","11","10","18","14","12","10"," 5"," 5"," 2"," 2","11","11","20","17"
"ENSG00000005700","2","3","6","8","7","7","2","1","4","4","7","8","4","7","4","4"
"ENSG00000005801","6","7","6","5","7","6","1","1","6","7","4","3","4","4","8","8"
"ENSG00000005810","59","57","25","26","55","45","36","32","41","36","43","39","14","18","28","26"
"ENSG00000005812","2","2","1","1","1","1","0","0","1","1","1","1","2","1","1","2"
"ENSG00000005844","1","0","0","0","3","3","0","0","0","0","1","1","2","1","1","1"
"ENSG00000005882","102"," 96"," 48"," 46"," 79"," 89"," 35"," 36"," 59"," 57"," 54"," 53"," 24"," 22"," 63"," 63"
"ENSG00000005884","56","46","21","22","30","36","42","38","30","24","17","18","24","18","13","15"
"ENSG00000005889","6","6","3","3","1","1","2","3","1","1","3","2","3","4","3","2"
"ENSG00000005893","18","12"," 4"," 5","19","19","12","11","13","10"," 8"," 8"," 6"," 6","33","32"
"ENSG00000005961","0","0","1","1","1","1","0","0","1","0","2","4","1","1","4","2"
"ENSG00000005981","0","1","2","2","2","1","2","2","0","0","2","2","2","2","5","4"
"ENSG00000006007"," 4"," 4"," 2"," 2"," 4"," 4"," 8"," 8"," 5"," 5","10"," 6","10","11"," 8"," 8"
"ENSG00000006015"," 6"," 6","17","14","11"," 8"," 2"," 1","11","12","11"," 8"," 5"," 5"," 4"," 4"
"ENSG00000006016","37","39","24","28"," 4"," 3","26","26","11","11"," 6"," 6"," 0"," 0"," 0"," 0"
"ENSG00000006025","18","13","13","13","20","19","13","11","26","23","13","14"," 8"," 8","18","16"
"ENSG00000006042"," 6"," 5"," 4"," 4"," 4"," 4","22","25"," 5"," 7"," 3"," 3","15","13","36","38"
"ENSG00000006047","0","0","0","0","3","1","8","5","4","5","0","0","2","2","0","0"
"ENSG00000006062","8","8","2","2","7","7","6","5","5","4","3","3","5","3","4","4"
"ENSG00000006071"," 28"," 29","106"," 91"," 43"," 39"," 31"," 35"," 66"," 29"," 28"," 33"," 12"," 10"," 28"," 23"
"ENSG00000006116","10"," 9"," 4"," 3","11","10","12","13"," 5"," 5"," 6"," 5"," 0"," 0"," 0"," 0"
"ENSG00000006118"," 53"," 50","120","133"," 78"," 59"," 95"," 78"," 48"," 45"," 50"," 46"," 53"," 38"," 29"," 33"
"ENSG00000006125","38","39","29","26","34","29","33","32","35","35","35","33","35","35","42","41"
"ENSG00000006128","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006194","1","2","1","2","1","1","5","5","0","0","5","3","6","5","7","5"
"ENSG00000006210","34","31","19","19","20","19","30","29","23","24","16","15","13","13","11","11"
"ENSG00000006282","51","48","39","35","28","27","23","24","19","13","19","15","32","27","31","28"
"ENSG00000006283"," 2"," 2","13","13"," 4"," 4"," 3"," 3"," 5"," 6"," 6"," 6"," 2"," 2"," 2"," 2"
"ENSG00000006327","0","0","0","0","6","2","1","2","0","0","0","0","0","1","2","1"
"ENSG00000006377"," 8","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"ENSG00000006432","10","11","15","13","12","14"," 8"," 8","24","19","12","12"," 4"," 5"," 6"," 5"
"ENSG00000006451","1","1","0","0","3","1","3","4","1","1","2","1","1","2","1","1"
"ENSG00000006453","1","0","1","1","1","1","0","0","0","0","1","0","1","1","0","1"
"ENSG00000006459","6","4","2","2","2","2","1","1","2","1","2","3","3","2","2","2"
"ENSG00000006468"," 8","12"," 3"," 4","24","22","17","20","11","16"," 9","10","11"," 6"," 9"," 6"
"ENSG00000006530","11"," 9"," 5"," 5"," 7"," 5"," 8"," 8"," 3"," 3"," 6"," 6"," 5"," 5","12","18"
"ENSG00000006534","1","0","0","0","3","2","1","1","3","3","0","0","0","0","3","5"
"ENSG00000006555","21","21"," 0"," 0"," 1"," 2"," 2"," 2"," 1"," 0"," 1"," 2"," 0"," 1"," 1"," 2"
"ENSG00000006576","1","2","7","7","0","1","2","1","3","4","1","2","1","1","2","2"
"ENSG00000006607","36","35","48","40","17","14","15","14","30","25","29","21","26","21","40","31"
"ENSG00000006611"," 1"," 1"," 0"," 0","14"," 9","22","15"," 1"," 2"," 1"," 0"," 6"," 8","52","42"
"ENSG00000006625","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"ENSG00000006634","0","0","1","1","1","0","0","0","2","2","0","0","0","0","0","0"
"ENSG00000006638","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0"
"ENSG00000006652","65","66","10","10","19","28","15","18","12"," 9"," 2"," 3"," 9"," 8","27","28"
"ENSG00000006695"," 8"," 7"," 6"," 5"," 5"," 7","10"," 6"," 3"," 2"," 5"," 4"," 3"," 5"," 3"," 3"
"ENSG00000006704","10"," 8"," 4"," 5"," 3"," 3"," 9"," 8"," 2"," 4","12","11"," 4"," 6","10","13"
"ENSG00000006712","61","72","57","53","22","28","59","57","22","22","16","17","17","14","44","53"
"ENSG00000006715","13"," 9"," 1"," 1"," 4"," 4"," 7"," 6"," 2"," 2"," 9"," 3"," 8","10","13","11"
"ENSG00000006740","74","64"," 6"," 5","62","65","16","14","41","31","19","22","14","13","14","11"
"ENSG00000006744","44","33","22","27","10","12","28","27"," 8","10","17","16","12","14","33","33"
"ENSG00000006747","2","2","0","0","0","1","0","0","0","0","0","0","0","1","2","2"
"ENSG00000006756","7","6","2","2","7","5","4","3","3","3","2","1","3","8","2","1"
"ENSG00000006757","3","3","8","7","0","1","0","0","1","1","3","3","4","5","3","2"
"ENSG00000006831"," 5"," 6"," 4"," 4"," 3"," 4"," 4"," 3"," 2"," 2"," 5"," 6","15","13","20","18"
"ENSG00000006837","4","4","0","0","1","2","0","0","0","0","3","3","2","4","1","1"
"ENSG00000007001"," 7"," 5"," 8"," 8"," 3"," 3"," 4"," 3"," 4"," 4","10"," 8"," 1"," 0"," 0"," 1"
"ENSG00000007047","37","39","11","10","19","19","14","17","12","12","17","14","20","17","16","15"
"ENSG00000007062","0","0","0","0","4","1","0","0","0","0","3","2","2","3","6","7"
"ENSG00000007080"," 7"," 9","14","13"," 5"," 3"," 7"," 5"," 4"," 3"," 7"," 6"," 8"," 8"," 6"," 7"
"ENSG00000007129","0","0","0","0","2","2","0","0","0","0","0","0","0","0","2","1"
"ENSG00000007168","15","11"," 7"," 8","14"," 8"," 7"," 6","23","23","15","10","12","12","25","22"
"ENSG00000007171","3","2","1","1","2","1","1","1","1","1","1","1","1","1","0","0"
"ENSG00000007174","30","30"," 1"," 1"," 6"," 6"," 2"," 2"," 4"," 4"," 1"," 3"," 1"," 5"," 8"," 6"
"ENSG00000007202","43","39","24","21","33","30","21","17","47","42","29","25","82","91","50","47"
"ENSG00000007237"," 72"," 84","114","116"," 64"," 56"," 71"," 68"," 83"," 75"," 98"," 79"," 81"," 79","146","157"
"ENSG00000007255","8","3","0","0","1","0","0","0","2","1","0","0","5","3","5","5"
"ENSG00000007264"," 4"," 3","16","19","12"," 5"," 5"," 5"," 9"," 8","11"," 6"," 3"," 2"," 3"," 1"
"ENSG00000007341","13","10"," 4"," 5","12","10"," 0"," 0"," 6"," 6"," 6"," 5"," 4"," 3"," 8"," 9"
"ENSG00000007372","23","27","31","23","46","34","23","25","27","25"," 9"," 9"," 5"," 7","11"," 9"
"ENSG00000007376","10"," 9"," 7"," 7"," 6"," 6"," 9","10"," 7"," 6"," 3"," 4"," 3"," 3"," 4"," 4"
"ENSG00000007384","15","13","27","26","21","18","12","10"," 8"," 7","10","10"," 8"," 9","12","12"
"ENSG00000007392","22","18"," 2"," 3","10","11","21","15","15","15"," 9"," 6"," 5"," 8","12","16"
"ENSG00000007402","30","31"," 8"," 8"," 8","11"," 4"," 4","10","11"," 7"," 6"," 6"," 6"," 5"," 5"
"ENSG00000007516","116","116"," 25"," 31"," 64"," 50"," 38"," 39"," 14"," 14"," 28"," 30","  9","  9"," 15"," 16"
"ENSG00000007520","3","2","4","6","4","7","7","6","1","1","1","1","7","6","6","6"
"ENSG00000007541"," 53"," 51","116","102"," 27"," 33"," 94"," 83"," 19"," 19"," 23"," 19"," 21"," 33"," 19"," 21"
"ENSG00000007545","38","40","13","12","24","23","61","46","40","22","33","25","20","26","32","28"
"ENSG00000007866","14","18"," 5"," 6","12","18"," 3"," 5","10","13"," 6","11"," 3"," 6"," 6"," 6"
"ENSG00000007923","17","17","28","26","11","10","14","15","13","11","10"," 8","12","13"," 9"," 8"
"ENSG00000007944","0","0","0","0","1","2","1","0","0","0","1","1","2","1","2","2"
"ENSG00000008018","0","0","1","1","0","0","0","0","0","0","2","1","1","1","2","1"
"ENSG00000008056","63","62","61","61","48","46","49","47","79","78","60","61"," 8"," 7"," 9"," 9"
"ENSG00000008083","3","3","2","2","4","5","4","3","5","6","3","3","3","2","4","5"
"ENSG00000008086","21","18","17","15","18","14","16","17","30","27","32","26"," 6"," 8","15","15"
"ENSG00000008118","37","36","10"," 9","13","12"," 9"," 8","10"," 9","13","11"," 1"," 1"," 0"," 0"
"ENSG00000008128","35","36","28","33","62","62","20","17","47","42","23","19","23","22","31","28"
"ENSG00000008130","25","25","17","18","16","17","23","23","26","23","20","20","24","26","19","21"
"ENSG00000008226","18","17"," 0"," 0"," 1"," 1"," 2"," 3"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"ENSG00000008256","24","22"," 8"," 9","19","21","25","17","11","11","12","15"," 7"," 6","13","13"
"ENSG00000008277"," 5"," 4"," 3"," 2"," 2"," 2"," 7"," 5","14"," 8"," 4"," 4"," 3"," 3"," 5"," 4"
"ENSG00000008282","3","3","0","0","4","4","0","0","7","4","1","0","3","1","5","6"
"ENSG00000008283","13","14","10","13"," 7"," 8"," 6"," 7"," 4"," 3"," 8","10"," 1"," 2"," 1"," 1"
"ENSG00000008294","60","54","22","22","23","30","12","13","43","41","39","37","54","47","98","87"
"ENSG00000008300","14","11","10","10","10"," 8","10","10","16","17"," 9"," 8"," 2"," 5"," 6"," 6"
"ENSG00000008311","1","1","4","3","1","1","2","1","3","3","1","1","3","2","5","5"
"ENSG00000008324","6","6","0","0","1","2","0","1","0","0","1","2","0","0","4","1"
"ENSG00000008382"," 7"," 6","14","18"," 9"," 7"," 2"," 1","10","10"," 5"," 4"," 2"," 2"," 4"," 4"
"ENSG00000008394","164","152"," 47"," 50"," 64"," 73","127","114"," 25"," 25"," 49"," 37"," 37"," 46"," 55"," 49"
"ENSG00000008405","1","1","0","0","3","4","5","3","3","2","1","1","1","2","3","4"
"ENSG00000008438","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000008441"," 74"," 79"," 67"," 69"," 98","107"," 86","101"," 88"," 90"," 60"," 57"," 71"," 71"," 93"," 91"
"ENSG00000008513","10"," 7"," 5"," 4","11"," 6"," 4"," 3","11","15","12"," 9","13"," 7"," 6"," 7"
"ENSG00000008516","0","0","2","1","2","1","0","0","0","0","0","0","1","1","0","0"
"ENSG00000008517"," 0"," 0","10","13"," 6"," 3"," 0"," 0"," 1"," 2"," 2"," 2","10"," 8"," 3"," 5"
"ENSG00000008710","101","118","223","224"," 97"," 90","116","118"," 76"," 79"," 76"," 73"," 48"," 37"," 63"," 63"
"ENSG00000008735","12","12","15","15","13","13","25","23","13","11","14","12","34","32","11","11"
"ENSG00000008838"," 99"," 89","150","152","104","108"," 79"," 82"," 95"," 79"," 60"," 63"," 36"," 36"," 64"," 61"
"ENSG00000008853","21","18","50","51","26","27","33","34","34","33","33","33","25","17","18","18"
"ENSG00000008869","3","4","1","1","1","1","2","2","3","2","2","2","2","2","3","3"
"ENSG00000008952"," 2"," 3"," 7"," 6"," 7"," 6"," 7"," 9"," 1"," 1","14","12","21","26","23","21"
"ENSG00000008988","20","21"," 7"," 8","17","14","13","10","19","15","31","30","64","60","47","47"
"ENSG00000009307","28","25"," 8"," 7","20","22","18","12","19","15","25","17","29","33","25","41"
"ENSG00000009335"," 5"," 4"," 3"," 4","10"," 6"," 8"," 9"," 4"," 4"," 6"," 5"," 5"," 5"," 9","11"
"ENSG00000009413","9","8","4","4","6","5","6","4","8","8","8","6","6","5","6","5"
"ENSG00000009694","3","3","1","0","0","0","0","0","1","1","1","1","0","0","1","0"
"ENSG00000009724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000009780","10"," 6"," 1"," 1"," 1"," 2"," 1"," 0"," 1"," 1"," 2"," 1"," 2"," 2"," 1"," 1"
"ENSG00000009790","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"ENSG00000009830","28","30","27","20","29","21","20","19","28","23","31","36","20","18","39","38"
"ENSG00000009844","32","35"," 4"," 4","16","11","12","14","10"," 6"," 6"," 5"," 2"," 1","13","13"
"ENSG00000009950","18","18","20","26","11","11"," 4"," 4","19","24","16","15"," 2"," 2"," 5"," 5"
"ENSG00000009954","13","14"," 6"," 6","10"," 9"," 6"," 5","11"," 9"," 7"," 7","10","11","15","14"
"ENSG00000010017","15","10","28","25"," 4"," 4"," 3"," 3"," 9"," 7","22","19","12","12"," 9"," 5"
"ENSG00000010030","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"ENSG00000010072","1","1","6","5","1","1","2","2","1","2","1","1","1","1","2","1"
"ENSG00000010165","0","0","1","1","3","1","2","2","1","1","4","3","9","4","4","3"
"ENSG00000010219","27","26","10","10","60","59","29","25","60","50","29","21","11","12","33","28"
"ENSG00000010244","541","567","250","246","374","393","248","247","313","269","294","287"," 95"," 89","319","311"
"ENSG00000010256","12","15","26","28","16","12","30","28"," 6"," 8","12","19","17","11","14","15"
"ENSG00000010270"," 1"," 1","11","10"," 4"," 4"," 3"," 3"," 0"," 0"," 6"," 5"," 5"," 4"," 9"," 7"
"ENSG00000010278","11","16","15","16","12","12"," 1"," 4"," 9","11"," 6"," 4"," 7"," 9","31","29"
"ENSG00000010282"," 22"," 20"," 21"," 17"," 34"," 27"," 14"," 14"," 23"," 19"," 13","  9"," 42"," 36","144","158"
"ENSG00000010292","11"," 9","14","17","12"," 9","11"," 9"," 5"," 4"," 6"," 7","13","13","24","21"
"ENSG00000010295","10","11","12","12"," 8"," 8"," 8"," 7","10","13"," 7"," 6"," 6"," 5"," 7"," 8"
"ENSG00000010310","0","0","7","6","1","1","0","0","0","0","0","1","2","3","7","4"
"ENSG00000010318","0","1","2","3","0","0","0","0","0","0","0","0","0","0","1","2"
"ENSG00000010319"," 4"," 5"," 0"," 0"," 1"," 1"," 9","10"," 1"," 2"," 0"," 0"," 4"," 4"," 3"," 3"
"ENSG00000010322","75","72","63","62","59","56","55","50","79","80","61","68","32","27","37","32"
"ENSG00000010327"," 49"," 58","103"," 98"," 16"," 16"," 38"," 39"," 16"," 19"," 32"," 34"," 25"," 21"," 50"," 45"
"ENSG00000010361","20","27"," 6"," 6"," 9","10","33","42","12"," 7"," 3"," 4","15"," 5","25","25"
"ENSG00000010379","0","0","3","3","0","0","2","2","1","2","2","4","4","3","1","1"
"ENSG00000010404"," 402"," 387","1067","1095"," 546"," 544"," 816"," 820"," 435"," 419"," 597"," 572"," 204"," 202"," 211"," 202"
"ENSG00000010438","1","1","0","0","1","3","0","0","6","4","3","2","0","0","1","1"
"ENSG00000010539","1","2","2","2","1","2","2","2","1","2","1","1","1","1","3","2"
"ENSG00000010610","17","16"," 2"," 3"," 6"," 7"," 4"," 5"," 4"," 4"," 2"," 3"," 2"," 2"," 9"," 6"
"ENSG00000010626","54","42"," 0"," 0"," 8"," 7"," 5"," 3","14","13"," 7","10"," 3"," 5","11"," 7"
"ENSG00000010671","1","0","0","0","0","0","0","0","3","7","0","0","1","0","1","0"
"ENSG00000010704","3","2","0","0","2","2","2","2","0","0","1","1","0","0","0","1"
"ENSG00000010803","98","82","17","15","59","62","13","14","37","35","21","25","14","13","29","23"
"ENSG00000010810","149","134"," 44"," 39"," 68"," 72"," 48"," 44"," 88"," 81"," 42"," 45"," 57"," 68"," 64"," 56"
"ENSG00000010818","18","18","17","17","19","18","15","14","24","22","21","18","14","14","16","15"
"ENSG00000011007"," 7"," 7"," 4"," 4"," 9"," 8"," 3"," 3"," 5"," 6"," 4"," 5"," 4"," 4","10"," 9"
"ENSG00000011009","16","18"," 7"," 8","17","13","20","22"," 8"," 5","10","10"," 9","10","13"," 9"
"ENSG00000011021","30","25","22","20","22","22","24","22","23","21","20","17","17","15","26","25"
"ENSG00000011028","11","11"," 6"," 6"," 0"," 0"," 5"," 5"," 1"," 1"," 1"," 1"," 1"," 2"," 1"," 2"
"ENSG00000011052","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011083"," 2"," 1","10","10"," 4"," 3"," 3"," 4"," 8"," 9"," 7"," 8"," 0"," 0"," 0"," 0"
"ENSG00000011105","2","1","9","8","6","4","3","3","6","5","2","1","3","4","3","4"
"ENSG00000011114","11","10"," 6"," 5"," 7"," 5"," 6"," 6"," 7"," 6"," 6"," 5"," 4"," 4"," 6"," 4"
"ENSG00000011132","34","25","25","25","31","30","31","26","27","25","14","11","14","14","23","20"
"ENSG00000011143","9","6","2","2","0","0","4","2","2","2","5","2","0","2","2","2"
"ENSG00000011198","1","1","0","0","0","0","6","5","1","1","1","1","4","3","8","5"
"ENSG00000011201","6","6","2","3","3","3","3","3","1","1","2","2","3","3","4","4"
"ENSG00000011243","44","48","64","66","39","38","44","40","37","34","37","40","24","20","44","37"
"ENSG00000011258","1","1","1","1","1","1","2","1","0","0","1","1","1","1","1","1"
"ENSG00000011260","1","1","2","2","3","3","1","1","2","1","1","0","1","0","1","1"
"ENSG00000011275","33","32","18","20","11","11"," 7"," 7","16","14","11","12","10","11","17","17"
"ENSG00000011295","1","1","3","3","1","2","1","1","5","4","3","3","2","2","3","3"
"ENSG00000011304","47","60","24","22","50","34","36","30","23","24","15","27","43","39","41","31"
"ENSG00000011332","23","21","36","35","22","24","32","27","11","13","11","14"," 7"," 6"," 6"," 4"
"ENSG00000011347","37","33","51","48","32","32","24","24","50","48","51","57"," 2"," 3"," 3"," 3"
