"","GSM5800240","GSM5800241","GSM5800242","GSM5800243","GSM5800244","GSM5800245","GSM5800246","GSM5800247","GSM5800248","GSM5800249","GSM5800250","GSM5800251","GSM5800252","GSM5800253","GSM5800254","GSM5800255"
"ENSG00000105877","17","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"
"ENSG00000105879","9","9","7","8","3","4","6","5","6","6","3","3","4","4","4","3"
"ENSG00000105880","9","6","0","0","1","2","0","0","2","1","0","0","0","0","0","0"
"ENSG00000105887","17","12"," 7"," 8"," 5"," 3"," 8"," 7"," 6"," 6"," 4"," 3","11","15"," 9"," 9"
"ENSG00000105889","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","2"
"ENSG00000105894"," 9"," 7"," 7"," 5","14","13"," 9"," 7"," 7"," 8"," 9"," 8"," 6"," 6","11","10"
"ENSG00000105926"," 7"," 7"," 1"," 1"," 3"," 2"," 2"," 1"," 4"," 3","26"," 6"," 4"," 4"," 3"," 3"
"ENSG00000105928"," 2"," 2"," 9"," 6"," 1"," 1","10"," 9"," 2"," 2"," 3"," 2"," 8"," 4","10"," 8"
"ENSG00000105929","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1"
"ENSG00000105939","10"," 9"," 6"," 6"," 5"," 4"," 7"," 7"," 6"," 6"," 4"," 4"," 6"," 5"," 7"," 7"
"ENSG00000105948","1","1","0","0","2","3","0","0","1","0","1","0","0","0","0","0"
"ENSG00000105953","35","35","41","38","36","31","36","37","28","29","21","22","30","30","32","31"
"ENSG00000105963","12","14","35","31","21","16","21","20","21","19","11","11","19","18","39","38"
"ENSG00000105967","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000105968"," 7"," 6"," 1"," 1"," 2"," 3"," 2"," 2"," 7"," 6"," 6"," 5","17","13","12"," 9"
"ENSG00000105971","2","1","0","0","0","1","4","2","0","0","0","1","1","2","1","1"
"ENSG00000105974","4","4","0","0","0","0","3","3","1","0","3","1","5","5","5","6"
"ENSG00000105976"," 3"," 2","16","16","10","10","17","17","11","14","12","10"," 1"," 3"," 5"," 5"
"ENSG00000105982","1","2","0","0","0","0","4","3","0","1","0","0","0","0","3","3"
"ENSG00000105983","3","5","6","5","2","2","4","5","9","8","7","7","5","6","8","6"
"ENSG00000105989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000105993","10","13"," 5"," 5"," 4"," 4"," 4"," 3"," 8","10","12"," 6"," 5"," 4"," 9"," 9"
"ENSG00000105997","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"ENSG00000106003"," 3"," 3"," 5"," 4"," 7"," 6"," 3"," 3"," 1"," 1"," 3"," 2","10"," 8"," 3"," 3"
"ENSG00000106004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000106006","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000106009"," 4"," 4","11","10"," 8"," 6"," 6"," 5"," 8"," 8"," 3"," 4"," 4"," 6"," 4"," 4"
"ENSG00000106012","21","21"," 7"," 9","12","13","10","12","13","13"," 9"," 9","10"," 8","10","11"
"ENSG00000106018","0","0","2","2","1","0","2","4","1","2","1","2","1","0","0","0"
