#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	4.38316901049402	220
10	0.1335797002922	5
100	12.6986519567159	554
1000	11.3819691793958	1457
10000	10.5798595240616	2429
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0.0437623047972209	1
100009676	0.933888840105974	74
10001	4.15143731955888	284
10002	0.087462447229673	7
10003	3.35379406160013	336
100033413	0	0
100033414	0.362730856257377	1
100033415	0	0
100033416	3.59029520989445	10
100033417	0	0
100033418	0.359029520989445	1
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0.374307372946443	1
100033432	0.748614745892885	2
100033433	1.12292211883933	3
100033434	0.374307372946443	1
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0.429084061670312	1
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	0.858168123340625	2
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	1.30314418729502	3
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0.429084061670312	1
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0.858168123340625	2
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0.378332183408232	1
100033821	0	0
100033822	0	0
100034743	0.0330529760986055	2
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0.6638659067352	1
100036567	0	0
100037417	5.20280229505626	552
100038246	0	0
10004	1.0868426214098	83
100048912	0.091910193214586	11
100049076	0.139622591495895	2
100049587	2.66626572212245	163
100049716	2.0316341157786	135
10005	22.5448210013127	783
10006	13.1384266976487	1410
10007	16.517242634916	1252
100073347	0.409761953303171	15
10008	2.47554947892657	216
10009	3.16008171496377	477
100093630	52.8626018464911	930
100093631	0.880590007751339	91
100093698	0	0
1001	0.921587470154384	112
10010	6.58125970717613	543
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.0402113063508178	1
100101266	0.476608113122243	17
100101267	1.57357305510429	314
100101467	6.060061716132	763
100101490	1.38391116910592	33
100101629	0	0
100101938	0	0
10011	12.9936606013604	777
100113378	0.366509302676725	1
100113379	0	0
100113380	0.73301860535345	2
100113381	0.378332183408232	1
100113382	0	0
100113384	0.399828330192791	1
100113386	1.58632533804858	161
100113389	0	0
100113391	0	0
100113392	0	0
100113393	0.341600903465685	1
100113402	0	0
100113403	0.611911183599402	10
100113404	0	0
100113407	2.82298856691451	675
100124412	0	0
100124516	6.25509209901611	16
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0.266552220128527	1
100124537	0	0
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	6.05962047092185	341
100125556	0.103434276502594	6
100125918	0.935146659321345	8
100126270	0.255805567499419	22
100126296	0	0
