#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	3.24285185001773	181
10	0.144146701245455	6
100	1.87573829578328	91
1000	17.9205489688134	2551
10000	19.760437442243	5045
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	1.01003510838615	89
10001	5.48149721024029	417
10002	0.179773868882826	16
10003	5.26887884880072	587
100033413	0	0
100033414	0	0
100033415	0	0
100033416	3.87431031714825	12
100033417	0	0
100033418	0.322859193095688	1
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0.336597882163589	1
100033424	0.336597882163589	1
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0.336597882163589	1
100033431	1.00979364649077	3
100033432	1.00979364649077	3
100033433	0.673195764327178	2
100033434	1.00979364649077	3
100033435	0.336597882163589	1
100033436	0	0
100033437	0	0
100033438	0	0
100033439	1.34639152865436	4
100033440	0	0
100033441	0	0
100033442	0.385856108821675	1
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	2.70099276175173	7
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0.385856108821675	1
100033603	0	0
100033799	0.385856108821675	1
100033800	0	0
100033801	0	0
100033802	1.5434244352867	4
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0.340217214229864	1
100033821	0	0
100033822	0	0
100034743	0.178338380028431	12
100036563	0	0
100036564	0	0
100036565	0	0
100036566	5.37286430774333	9
100036567	0	0
100037417	4.00058259733033	472
100038246	0	0
10004	0.412135106928995	35
100048912	0.135246643700022	18
100049076	0.25111270574109	4
100049587	1.16205293953827	79
100049716	1.13677368586985	84
10005	22.8109795527786	881
10006	16.8675117740357	2013
10007	16.0870312906261	1356
100073347	1.15457254922262	47
10008	1.27797554218202	124
10009	5.17109666757514	868
100093630	62.462561435165	1222
100093631	1.16605800982744	134
100093698	0	0
1001	1.22091514320797	165
10010	7.54220428486984	692
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.072320459253434	2
100101266	0.378169732151921	15
100101267	1.18521191323861	263
100101467	6.47088533557109	906
100101490	1.8855900431095	50
100101629	0	0
100101938	0.0594421380739779	7
10011	8.15066012379778	542
100113378	0.659170852570362	2
100113379	0	0
100113380	0.659170852570362	2
100113381	0.340217214229864	1
100113382	0	0
100113384	0	0
100113386	1.66574006541444	188
100113389	0.626538632146087	2
100113391	0	0
100113392	0.282501793958727	1
100113393	0.307186416731819	1
100113402	0	0
100113403	0.330158618330894	6
100113404	0	0
100113407	5.46454438864464	1453
100124412	0	0
100124516	7.03115576075053	20
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0	0
100124537	0	0
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
