#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	2.88629846467601	62
10	0.187273241554039	3
100	6.90910159117054	129
1000	12.2844843244707	673
10000	9.8618905048173	969
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	1.35645474890325	46
10001	3.99622580221857	117
10002	0.116779762844067	4
10003	2.12237694378505	91
100033413	0	0
100033414	0	0
100033415	0	0
100033416	5.0334461046259	6
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0	0
100033432	0.874605883427905	1
100033433	0	0
100033434	0	0
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0	0
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	0	0
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0	0
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0	0
100036567	0	0
100037417	6.21056864663994	282
100038246	0	0
10004	1.83579351787621	60
100048912	0.0976168998364083	5
100049076	0	0
100049587	2.36968995286742	62
100049716	1.96917252795744	56
10005	23.74891360385	353
10006	17.2438185406358	792
10007	13.8408758590019	449
100073347	0.31914966243099	5
10008	2.06201869193849	77
10009	3.04951077938579	197
100093630	79.4238221635693	598
100093631	1.51492515231819	67
100093698	0	0
1001	0.442211861546102	23
10010	9.40223920427766	332
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0	0
100101266	1.04813326587695	16
100101267	1.10070041104814	94
100101467	4.24983436719392	229
100101490	1.27385982067807	13
100101629	0	0
100101938	0.0220646680199203	1
10011	16.1378087483071	413
100113378	0	0
100113379	0	0
100113380	2.56915478256947	3
100113381	0	0
100113382	0	0
100113384	0	0
100113386	1.15111947692835	50
100113389	0	0
100113391	0	0
100113392	0	0
100113393	3.19273604047468	4
100113402	0	0
100113403	0.142979048769084	1
100113404	0	0
100113407	3.302980878197	338
100124412	0	0
100124516	4.5673862801235	5
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0	0
100124537	0	0
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	4.5673862801235	110
100125556	0.725052991063212	18
100125918	0.819398203078635	3
100126270	0.190181979939049	7
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0	0
100126313	0	0
100126314	0.955964570258408	1
100126315	0	0
