sampleName,,condition
GSM3577794,,CTRL
GSM3577779,,CTRL
GSM3577635,,CTRL
GSM3577812,,CTRL
GSM3577849,,CTRL
GSM3577587,,CTRL
GSM3577699,,CTRL
GSM3577689,,CTRL
GSM3577786,,CTRL
GSM3577657,,CTRL
GSM3577836,,CTRL
GSM3577710,,CTRL
GSM3577644,,CTRL
GSM3577740,,CTRL
GSM3577749,,CTRL
GSM3577647,,CTRL
GSM3577604,,CTRL
GSM3577850,,CTRL
GSM3577682,,CTRL
GSM3577661,,CTRL
GSM3577714,,CTRL
GSM3577671,,CTRL
GSM3577741,,CTRL
GSM3577642,,CTRL
GSM3577691,,CTRL
GSM3577651,,CTRL
GSM3577700,,CTRL
