#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	5.60393509368189	287
10	0.0523656043083992	2
100	6.85162142235157	305
1000	7.9239890547022	1035
10000	16.7675468825023	3928
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.630782020190504	51
10001	9.52680890762725	665
10002	0.563283565378452	46
10003	3.12056663529895	319
100033413	0	0
100033414	0	0
100033415	0	0
100033416	0.703729600756752	2
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0.366837770607243	1
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0.733675541214487	2
100033432	0.366837770607243	1
100033433	0	0
100033434	0	0
100033435	1.46735108242897	4
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0	0
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	0.420521346793669	1
100033451	0.425712968359023	1
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0.420521346793669	1
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0.405679416906834	1
100033822	0	0
100034743	0.0647867551659575	4
100036563	0	0
100036564	0	0
100036565	0	0
100036566	1.30123586555022	2
100036567	0	0
100037417	12.7382032822755	1379
100038246	0	0
10004	1.02665427427111	80
100048912	0.081887319964571	10
100049076	0	0
100049587	0.320620645626043	20
100049716	1.38638945298785	94
10005	48.8740783609035	1732
10006	9.5978206327786	1051
10007	21.3852528019992	1654
100073347	1.52602234077144	57
10008	0.606536978372106	54
10009	3.22687384056283	497
100093630	85.5662434109147	1536
100093631	0.606957103402964	64
100093698	0	0
1001	2.00799926539596	249
10010	3.90796586076459	329
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0	0
100101266	0.164857771013932	6
100101267	1.12470443670297	229
100101467	2.28847147370243	294
100101490	1.315194295574	32
100101629	0	0
100101938	0.0832916677224175	9
10011	30.31990889192	1850
100113378	0	0
100113379	0	0
100113380	0	0
100113381	0.741564525528621	2
100113382	0	0
100113384	0	0
100113386	1.81538982978751	188
100113389	0	0
100113391	0	0
100113392	0	0
100113393	0	0
100113402	0	0
100113403	0.359820004560844	6
100113404	0	0
100113407	3.74625388083822	914
100124412	0	0
100124516	6.13026674436993	16
100124533	0	0
100124534	0.259268800278804	1
100124535	0	0
100124536	0	0
100124537	0.257333958485678	1
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	5.38139893184747	309
100125556	0.658906059307278	39
100125918	0.343681898043995	3
100126270	0.022790978477912	2
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0.431034380463511	1
100126313	0	0
100126314	0	0
100126315	0	0
100126316	0	0
100126317	0.478927089403901	1
100126318	0	0
100126319	0	0
100126320	0	0
100126321	9.79139827225753	23
100126323	0	0
100126324	0	0
100126325	1.13679397045322	3
100126326	0	0
100126327	0	0
100126328	2.93470216485795	8
100126329	0	0
100126330	0	0
100126331	0	0
100126332	3.66837770607243	10
100126333	0.39184943678501	1
100126334	0	0
100126335	0	0
100126336	0	0
100126337	0	0
100126338	3.20769771507729	8
100126339	0	0
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0	0
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0	0
100126349	0	0
100126350	0.447827927754297	1
100126351	33.2211863966999	79
100126352	0	0
100126354	0	0
100126355	0	0
100126356	0	0
100126447	0	0
100126582	0	0
100126584	0	0
100126693	0.0380184679570903	1
100126780	0	0
100126781	0	0
100126784	4.88789990148512	530
100126791	0	0
100126793	3.81167639491854	236
100126798	0	0
100126799	0	0
100126800	0	0
100127206	0	0
100127888	3.56216747312079	147
100127889	0.234576533585584	8
100127967	0	0
100127974	2.5678643942507	21
100127983	31.0770466902087	949
100128002	0.023946354470195	2
100128006	0.0370085864631938	4
100128023	0	0
100128025	0.0405679416906834	2
100128054	0.146943538794379	6
100128055	0.270570840395578	9
100128071	6.65975866810575	135
100128076	0.257078159322173	15
100128079	6.48097605058478	262
100128081	2.80136247269418	97
100128098	0	0
100128108	1.34160017473396	37
100128124	0	0
100128126	0.166744441185111	10
100128127	0.452133965521165	30
100128139	0	0
100128164	0.0147530307061099	3
100128176	0	0
100128191	0.294537887314515	27
100128233	0.0717394253198631	3
100128239	2.45983952661212	164
100128252	22.298716351068	1153
100128264	5.63868875071763	442
100128276	0.328407147019818	7
100128285	0.145007360963334	15
100128288	2.2837331196	141
100128292	0.812301022240458	71
100128317	0	0
100128325	0	0
100128327	0	0
100128338	0.214178574143359	17
100128340	0.450895242327957	21
100128361	0.555277784816117	40
100128364	1.60141245519429	107
100128374	0.383529074628806	33
100128378	0	0
100128385	0.0593915784310728	10
100128398	2.6539175349572	146
100128420	0	0
100128482	0	0
100128494	2.98149932907432	366
100128496	0	0
100128505	0	0
100128511	1.58227810549896	29
100128531	0.637913163275905	18
100128553	0	0
100128554	0.341023777620427	26
100128560	0.091180349713435	11
100128568	1.29512677697956	24
100128569	7.70233257185655	390
100128573	0.131362858807927	2
100128575	0	0
100128590	0	0
100128593	0	0
100128594	0.522465915713346	9
100128627	0.037562908972855	2
100128640	0.465797979682459	34
100128653	0.213119594790364	15
100128675	1.83728754765473	246
100128682	0.0208229169306044	2
100128714	0.701225224953348	40
100128731	141.612938139963	2000
100128750	0.151739275850741	4
100128770	0.045060765027221	4
100128782	1.1919127563575	317
100128787	0	0
100128788	0.209621583204139	10
100128811	1.43146641765112	101
100128818	0.0233385789760277	2
100128822	2.64319254405191	109
100128830	0.019783563073483	1
100128881	3.16698392491159	161
100128882	0.228521889886479	19
100128885	0.102603743575658	13
100128890	0.072240398960365	3
100128893	0	0
100128905	0	0
100128908	0.0397724918536112	2
100128927	0.530941441978699	56
100128946	0.257654424187404	30
100128966	0	0
100128977	2.54515538940359	62
100128988	0	0
100128993	0	0
100128998	0	0
100129027	0	0
100129034	22.5519843163058	3737
100129046	0.17660819686085	8
100129055	0.0248524327474457	2
100129066	0.031433683169627	2
100129075	0.250866570640139	11
100129083	0.236507204643902	5
100129094	0	0
100129098	0.052345731213785	4
100129128	1.35758859988507	25
100129129	1.97671817792183	63
100129138	0.366238362485336	13
100129148	35.9787482868458	481
100129175	0	0
100129195	7.47704652661314	474
100129196	0.52144647002415	31
100129203	0.158339160170269	9
100129213	1.47332199222523	84
100129215	0.105653773840156	8
100129216	0	0
100129223	1.29764489853541	225
100129239	0	0
100129250	5.00248096041816	262
100129269	0.313072961166752	14
100129271	0	0
100129278	0	0
100129307	0	0
100129316	0.013138788507175	2
100129345	0	0
100129354	0.136295456273047	4
100129361	9.48988090541151	1332
100129385	0.0664407522872464	1
100129387	2.1994312914688	264
100129396	0	0
100129405	0.664615987805682	43
100129407	0	0
100129424	17.4238236335514	573
100129427	0	0
100129434	0.195027675512712	21
100129455	0	0
100129460	3.85960370105004	213
100129461	0.100285403955716	13
100129464	0.0511613507968559	1
100129473	0.611667413518064	24
100129476	0	0
100129480	1.63943345976613	60
100129482	2.81426943048453	708
100129484	1.11800986143805	121
100129503	0.791597294468262	41
100129515	0	0
100129516	3.03311713575203	160
100129518	0.903215232635995	45
100129520	0	0
100129528	0	0
100129534	1.84071621550254	120
100129543	0.0430496260138338	4
100129550	1.41341897116761	242
100129583	3.57342733755805	217
100129597	0	0
100129603	0.0218245255930892	1
100129617	0.896587374859097	50
100129620	0.189763563726074	14
100129636	0	0
100129637	1.98473871923222	238
100129654	0.014074592015135	1
100129662	0	0
100129669	0	0
100129697	0.237111250549672	14
100129716	0.0275641490304403	2
100129722	0.18244841501101	9
100129726	0.0209621583204139	1
100129781	1.15882085937511	37
100129792	17.4932543752708	1771
100129794	0.409348648489937	21
100129800	0.105728976373003	7
100129827	2.03065085907254	53
100129836	0.0778040397948576	5
100129842	0.271734785308198	69
100129845	0.29890485012442	22
100129858	0.735130524935289	43
100129860	0	0
100129917	0.4868153002882	24
100129924	0.0701581901059631	2
100129931	19.3424172219161	2412
100129935	0	0
100129940	0	0
100129961	0.589029188960812	24
100129973	1.4519052815613	64
10013	15.794598950202	2107
100130015	8.13637931661459	504
100130017	0	0
100130075	0.0325923917174677	1
100130083	0	0
100130086	0	0
100130093	4.06609098903912	283
100130148	1.01756126952924	89
100130155	8.23111952490342	1722
100130197	0	0
100130207	0	0
100130231	0	0
100130238	1.07619623494629	121
100130249	0	0
100130256	0.0445225957870637	2
100130264	0.0192748744757299	1
100130274	0.0522465915713346	2
100130275	0.0264438270223013	1
100130285	0.24912282073749	12
100130298	1.07548539374911	16
100130301	0	0
100130302	0	0
100130311	1.91322203917613	171
100130331	0.187466184019947	17
100130342	0	0
100130348	4.17564556074026	62
100130357	0.598399139905959	40
100130361	0	0
100130370	4.81347659530852	116
100130373	3.36651677907345	280
100130386	0.133705895452039	10
100130417	0.412144427534831	18
100130418	1.44205192583537	114
100130449	0.923187170848967	54
100130451	0.0599352556843816	3
100130452	0	0
100130458	0	0
100130460	0	0
100130476	0.105290841029255	6
100130480	0	0
100130502	0	0
100130519	3.71627569477348	208
100130520	0	0
100130522	0.166092991133919	18
100130539	0.838769605226291	27
100130548	0.0143917990138067	1
100130557	0.823598061979304	76
100130581	0.297873270427159	38
100130587	0.347991059456779	33
100130613	0	0
100130673	0.431573847773227	20
100130691	0.655741892675952	99
100130698	0.0862068760927022	11
100130700	0.114751249374645	2
100130705	3.32768062329968	367
100130717	1.21185384922648	22
100130733	0.137992331673512	9
100130742	0.0781921778618614	3
100130744	4.20586067277978	317
100130771	2.66293491595258	59
100130776	37.8837271294383	1682
100130827	0	0
100130849	0	0
100130855	0.240297912453525	12
100130872	0.429217130515763	62
100130876	0	0
100130880	0	0
100130887	0.50248088068606	16
100130889	0	0
100130890	1.28065235460961	81
