#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	11.4772396345656	311
10	0	0
100	19.7429630497584	465
1000	7.62570486654004	527
10000	9.51212866054516	1179
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.701287737339268	30
10001	3.65532029607746	135
10002	0.347157352930021	15
10003	2.25563315203432	122
100033413	0	0
100033414	0	0
100033415	0	0
100033416	0	0
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	1.38665972461126	2
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0	0
100033432	0	0
100033433	0	0
100033434	0	0
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0	0
100033442	0.794792768984503	1
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	1.58958553796901	2
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0.153060138695935	5
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0	0
100036567	0	0
100037417	10.8417994594773	621
100038246	0	0
10004	1.74635523188854	72
100048912	0.108337936213988	7
100049076	0.387934565813865	3
100049587	1.42404989849664	47
100049716	1.6725322597963	60
10005	44.533110386554	835
10006	6.43790562292373	373
10007	18.4986750438485	757
100073347	0.455401446824972	9
10008	1.04022063380447	49
10009	1.50937297457686	123
100093630	96.0222656473943	912
100093631	0.824520991366762	46
100093698	0	0
1001	1.15836027509622	76
10010	3.00833032917731	134
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.074483436636262	1
100101266	0.830890926619656	16
100101267	1.28099629309623	138
100101467	5.4580554442543	371
100101490	0.466076331752534	6
100101629	0	0
100101938	0	0
10011	24.0681684805507	777
100113378	0	0
100113379	0	0
100113380	2.03665647052279	3
100113381	0	0
100113382	0	0
100113384	0	0
100113386	3.9603871552255	217
100113389	0	0
100113391	0	0
100113392	0	0
100113393	0.632747641327469	1
100113402	0	0
100113403	0.226688720197319	2
100113404	0	0
100113407	2.61063869940779	337
100124412	0	0
100124516	3.62072261426274	5
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0	0
100124537	0	0
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	20.1772996594823	613
100125556	0.255455196694676	8
100125918	1.29912970877201	6
100126270	0.043075351656794	2
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0	0
100126313	0	0
100126314	0.75782566345034	1
100126315	0	0
100126316	0	0
100126317	0	0
100126318	0	0
100126319	0	0
100126320	0	0
100126321	11.2644703554841	14
100126323	0	0
100126324	0	0
100126325	0.716186890733289	1
100126326	0	0
100126327	0	0
100126328	2.77331944922252	4
100126329	0	0
100126330	0	0
100126331	0	0
100126332	1.38665972461126	2
100126333	0	0
100126334	0	0
100126335	0	0
100126336	0	0
100126337	0	0
100126338	6.82043097105306	9
100126339	0	0
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0	0
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0	0
100126349	0	0
100126350	0	0
100126351	69.1469709016518	87
100126352	0	0
100126354	0	0
100126355	0	0
100126356	0	0
100126447	0	0
100126582	0	0
100126584	0	0
100126693	0	0
100126780	0	0
100126781	0	0
100126784	2.19625538623907	126
100126791	0	0
100126793	3.90732782354161	128
100126798	0	0
100126799	0	0
100126800	0	0
100127206	0	0
100127888	8.47294891461344	185
100127889	0	0
100127967	0	0
100127974	3.69775926563003	16
100127983	6.87008906296007	111
100128002	0.0678885490174263	3
100128006	0.0174867204337884	1
100128023	0	0
100128025	0	0
100128054	0.0462876470573361	1
100128055	0.795485700779608	14
100128071	28.9968600781728	311
100128076	0.129568602498468	4
