#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	5.90824055264772	257
10	0	0
100	14.7320288432009	557
1000	12.844944366586	1425
10000	14.6152516798076	2908
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.320365437689415	22
10001	4.2167675731677	250
10002	0.331597257980308	23
10003	5.8739033983472	510
100033413	0	0
100033414	0	0
100033415	0	0
100033416	0	0
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0	0
100033432	0	0
100033433	0	0
100033434	0	0
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0	0
100033442	0.990220443767284	2
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0.501222693758748	1
100033448	0	0
100033449	0	0
100033450	1.48533066565093	3
100033451	0.501222693758748	1
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0.495110221883642	1
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0	0
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0	0
100036567	0	0
100037417	14.1928060122605	1305
100038246	0	0
10004	1.32962983294096	88
100048912	0.00964118693765344	1
100049076	0	0
100049587	0.415238884369172	22
100049716	1.49337779500575	86
10005	56.9117450303663	1713
10006	9.41863280146869	876
10007	17.4300332705869	1145
100073347	1.00867175638407	32
10008	0.674446562839541	51
10009	5.04525799441587	660
100093630	99.6939225453588	1520
100093631	0.15632192924159	14
100093698	0	0
1001	0.693107995368447	73
10010	1.7061945090334	122
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0	0
100101266	0.744046118304819	23
100101267	1.02928767962023	178
100101467	2.08035703614946	227
100101490	0.387118361806518	8
100101629	0	0
100101938	0	0
10011	26.8602001742806	1392
100113378	0	0
100113379	0	0
100113380	0.422906647858944	1
100113381	0	0
100113382	0	0
100113384	0	0
100113386	2.12602076235334	187
100113389	1.60788270077064	4
100113391	0	0
100113392	0	0
100113393	0	0
100113402	0	0
100113403	0.0706070229468846	1
100113404	0	0
100113407	4.87400791351518	1010
100124412	0	0
100124516	3.15770297068011	7
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0	0
100124537	0	0
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	21.2222245107397	1035
100125556	0.69621084605882	35
100125918	0.674402627814927	5
100126270	0	0
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	2.53743988715366	5
100126313	0	0
100126314	0	0
100126315	0	0
100126316	0	0
100126317	1.69162659143578	3
100126318	0	0
100126319	0	0
100126320	0	0
100126321	0.501222693758748	1
100126323	0	0
100126324	0	0
100126325	1.78457310744873	4
100126326	0	0
100126327	0	0
100126328	0.431904661643177	1
100126329	0	0
100126330	0	0
100126331	0	0
100126332	3.45523729314541	8
100126333	0	0
100126334	0	0
100126335	0	0
100126336	0	0
100126337	0	0
100126338	1.41624551841135	3
100126339	0	0
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0	0
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0	0
