#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	11.1378191890357	407
10	0.220171919515954	6
100	5.13187037290004	163
1000	7.03885324932089	656
10000	11.7798109483978	1969
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.346683904833228	20
10001	6.4450367108992	321
10002	0.257427572800525	15
10003	3.1670091044246	231
100033413	0	0
100033414	0	0
100033415	0	0
100033416	3.94512133336751	8
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0	0
100033432	0	0
100033433	0	0
100033434	0	0
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	1.54237456384315	3
100033440	0	0
100033441	0.589362638216487	1
100033442	0.589362638216487	1
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0.596638720169777	1
100033448	0	0
100033449	0	0
100033450	0	0
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0.589362638216487	1
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	1.17872527643297	2
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0.1134986762183	5
100036563	0	0
100036564	0	0
100036565	0	0
100036566	1.82368816353781	2
100036567	0	0
100037417	9.21761271621521	712
100038246	0	0
10004	0.611515830051197	34
100048912	0.309866749230896	27
100049076	0.191776731483143	2
100049587	0.292078369288134	13
100049716	2.00504295311118	97
10005	44.9661507458887	1137
10006	9.99575266860706	781
10007	26.0031127255096	1435
100073347	0.975559894935987	26
10008	0.676903147345711	43
10009	2.30218740207856	253
100093630	68.3146515218626	875
100093631	0.637989918597386	48
