#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	4.54808106534506	257
10	0.189840987774936	8
100	2.17851809090035	107
1000	20.7332786336584	2988
10000	23.5032654890601	6075
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.863144939439945	77
10001	6.76468231453506	521
10002	0.266357152947008	24
10003	3.12082427222185	352
100033413	0	0
100033414	0	0
100033415	0	0
100033416	3.50794182384631	11
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0.33247417672818	1
100033432	0.33247417672818	1
100033433	0.997422530184539	3
100033434	0.33247417672818	1
100033435	0.33247417672818	1
100033436	0	0
100033437	0	0
100033438	0.318903802167846	1
100033439	0	0
100033440	0	0
100033441	0	0
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	2.28677360578894	6
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0.381128934298157	1
100033603	0.38583422978332	1
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0.381128934298157	1
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0.381128934298157	1
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0.0880767664042712	6
100036563	0	0
100036564	0	0
100036565	0	0
100036566	2.35868472546784	4
100036567	0	0
100037417	6.87338926193961	821
100038246	0	0
10004	0.360561872343102	31
100048912	0.111324765895686	15
100049076	0.124018145287496	2
100049587	0.0290586449209195	2
100049716	1.21641749689172	91
10005	30.8945234990493	1208
10006	21.4033773240977	2586
10007	20.9522309077835	1788
