"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"HDAC1P2"," 6"," 9"," 5","14","11"," 8"," 9","16","11","12","15","11","15","14"
"C1orf115","320","249","318","237","155","185","170","174","191","151","110","213","144","157"
"DARS2","9","8","8","8","7","7","7","8","6","7","8","7","6","9"
"GAS5-AS1","6","4","5","9","5","4","6","9","4","7","9","7","5","6"
"RC3H1","36","30","28","41","33","24","24","29","28","31","27","28","26","27"
"RC3H1-IT1"," 3"," 5"," 3"," 8","11"," 5"," 3"," 2"," 8"," 7","10"," 8","12"," 6"
"KRT18P57","4","4","1","7","5","5","6","7","5","8","7","7","3","4"
"RNU6-151P","16"," 0"," 3"," 8"," 9"," 8"," 6"," 8"," 0"," 9","18"," 4"," 4"," 7"
"INKA2","63","39","60","46","31","33","38","39","36","33","32","52","40","42"
"INKA2-AS1","1","1","2","1","1","2","1","2","1","2","1","3","2","1"
"KCND3-IT1"," 4","13","11","24","12"," 3","10","17","11","10"," 7","26","27","26"
"KCND3-AS1","16","13","10","20","20","16","15","19","13","12","17","23","25","29"
"LINC01750","9","6","8","8","7","7","5","7","6","8","5","7","8","9"
"KCND3","117"," 89"," 91"," 92"," 78"," 58"," 66"," 64"," 60"," 66"," 46"," 71"," 68"," 69"
"RAB7B","4","2","2","1","2","2","2","2","2","1","3","3","3","3"
"ITPKB-AS1","3","1","1","5","5","2","4","3","3","4","9","1","8","1"
"F11R","3","3","3","2","4","2","1","4","3","5","6","3","4","3"
"GLRX5P2","0","4","0","5","2","0","2","0","0","0","2","5","2","2"
"TSTD1","18","27","19","20","13","13","11","15","14","11","13","17","12","12"
"USF1","67","71","58","47","47","57","52","45","46","51","46","58","40","39"
"ARHGAP30","3","2","2","2","3","3","2","4","3","4","5","3","2","2"
"KLHDC9","30","26","26","21","16","23","22","17","18","18","17","22","14","13"
"PFDN2","73","75","92","60","59","54","53","59","88","76","83","81","73","60"
"NIT1","20","19","16","17","16","23","14","16","17","17","20","17","13","14"
"DEDD","26","21","25","18","22","17","16","16","17","19","19","20","15","15"
"COQ8A","1","2","1","1","2","1","2","2","2","2","2","1","2","1"
"EIF1P2","2","2","0","2","3","0","0","0","1","1","1","0","0","0"
"AKIRIN1","105","105","126","100"," 82"," 65"," 70"," 63"," 76"," 73"," 68"," 70"," 64"," 58"
"NDUFS5","563","555","508","382","483","360","434","374","425","463","379","450","392","400"
"RNU6-608P"," 3","14"," 9","24","15","17","27","16","16"," 3","22","23","23","11"
"RNA5SP44","13","11","23","22","35","29","42","21"," 9","20","12","12","43","20"
"HSPE1P8"," 2","10"," 3"," 6"," 8"," 9"," 3"," 7"," 6"," 6"," 9"," 7"," 6"," 6"
"LRIF1","23","20","15","20","22","13","12","14","14","20","10","11","15","14"
"DENND2D","2","1","1","2","4","1","1","2","1","3","2","1","1","1"
