"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"ATAD3B"," 7"," 6","10"," 8","10"," 5"," 3","10"," 7"," 4"," 5"," 5"," 5"," 8"," 7"," 7"," 6"," 8"," 6"
"MTND1P23","0","1","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","1","1"
"RPL7P7"," 7"," 5"," 4","10","11"," 0"," 6"," 2"," 3"," 4"," 3"," 5"," 9"," 7"," 4","16"," 1","10"," 2"
"MTCO3P12","0","1","1","1","4","1","1","0","1","1","0","3","5","3","1","0","0","2","2"
"PRDM16","3","5","0","1","1","1","4","2","3","1","4","7","6","5","4","3","3","4","2"
"MTND2P28"," 22"," 48"," 47"," 28"," 80"," 40"," 33"," 13"," 15"," 42"," 68","119"," 39","219"," 50"," 22"," 32","150"," 42"
"PEX10","14"," 9","14","16","25","22","12","19"," 8","14","25"," 9","21","12","22","12","11","15"," 9"
"MTCO1P12","  5"," 20","  9","  8"," 12","  9","  8","  5","  4","  8","  8","223","  4"," 31","  9","  7","  6"," 17","  7"
"SKI","39","47","58","63","72","64","40","46","47","33","63","57","49","50","53","32","60","69","22"
"PEX14","10","11"," 8","15","14","11","16"," 8","12","16","15","15","11","15","17","15","14","14"," 9"
"MTATP8P1","1","0","2","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1"
"MTCO2P12","  1","  1","  1","  0","  2","  1","  0","  0","  1","  0","  1","  0","147","  4","  1","  1","  0","  1","  0"
"PLCH2"," 1"," 1"," 0"," 1"," 2"," 1"," 3"," 0"," 0"," 6"," 1","12"," 2","10","15"," 5"," 0"," 4"," 0"
"SPSB1","15","27"," 4","24","90","42","17"," 6","67","29","37"," 5","13","13","30","43","34","17","12"
"SLC2A5","10","98","16","56","74","24","13","11","14","16","37","14","62","18","53","50","57","15","11"
"ENO1","276","162","248","435","614","470","643","156","796","374","457","378","391","316","538","665","735","383","773"
"PLEKHM2"," 44"," 51"," 58"," 61"," 88"," 54"," 54"," 55"," 59"," 75"," 79","100"," 56"," 84"," 68"," 55"," 58"," 83"," 56"
"RPL22P3","11"," 7"," 4"," 4"," 6"," 4"," 5"," 3"," 2"," 4"," 0"," 6"," 3"," 3"," 8"," 9"," 4"," 2"," 1"
"NMNAT1","10","11"," 6","11","12"," 9"," 9"," 5"," 7","10","11"," 7"," 9"," 9"," 8","10"," 8"," 8"," 8"
"MTATP6P1"," 48","192","111"," 75","226","153","171"," 58"," 32","131","220","212"," 77","603","145"," 82"," 59","380","107"
"MFFP1","3","4","3","3","5","3","0","3","0","3","5","1","2","5","4","1","3","2","1"
"PGAM1P11","1","3","2","1","5","1","0","0","2","1","0","0","0","2","2","0","1","2","1"
"CHD5","  2","  1","  0","  1","  3","  0"," 11","  0","  1","  2","  2","113","  4"," 62","  4","  2","  1"," 27","  1"
"DISP3"," 3"," 1"," 3"," 4","10"," 2"," 5"," 8"," 0"," 0"," 0","12","16","17"," 7"," 5"," 1","10"," 3"
"MMEL1","1","2","0","2","1","0","1","2","1","5","1","1","1","0","1","3","0","1","0"
"TMEM51","17","15","16","21","17","20","14","11"," 8","27","22"," 5","16","11","27","17","18","25","24"
"WASH9P","6","2","6","5","5","6","8","4","9","3","8","3","3","7","6","3","3","5","4"
"FBXO42","15","15","20","21","24","12","21","22","28","14","15","17","19","21","19","23","18","20","21"
"ALDH4A1"," 53"," 52"," 52"," 44"," 52"," 17"," 27"," 84"," 14"," 35"," 58"," 47","100"," 59"," 61"," 49"," 10"," 73"," 38"
"RERE","26","29","20","34","40","19","36","16","27","20","23","52","33","57","32","32","19","43","13"
"CLCN6","13","15","21","21","31","10","26","13","18","17","19","29","23","30","30","19","15","23"," 9"
"CELA2A","0","0","1","0","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0"
"CELA2B","0","1","1","1","2","0","0","2","2","0","0","2","0","2","1","1","0","2","0"
"RER1","36","33","44","40","44","51","39","51","36","49","45","24","45","28","39","46","39","38","28"
"PANK4","11","10","12","10","15"," 9","13","12","11"," 9","12","13"," 9","15","10","12","10","15"," 9"
"VPS13D","41","44","46","42","55","24","37","37","43","40","35","76","43","54","46","45","32","50","43"
"HTR6","0","1","0","0","1","0","1","0","0","0","0","2","0","1","0","1","1","0","0"
"RBP7"," 1"," 6"," 3"," 3"," 4"," 3"," 3"," 0"," 1","17"," 3"," 6"," 3"," 8","14","10"," 0"," 5"," 0"
"GPR157","1","3","0","2","2","2","2","1","4","2","3","1","1","1","1","2","3","3","3"
"ZBTB40","19","20","19","23","28","13","17","36","16","19","19","15","16","22","22","26","12","20","18"
"ENO1-AS1","3","3","1","2","5","0","1","0","1","0","0","0","2","1","0","0","2","1","1"
"NPHP4"," 3"," 5"," 4"," 5"," 9"," 2"," 7"," 5"," 4"," 4"," 4","10"," 6"," 8"," 6"," 6"," 3"," 5"," 3"
"HES5"," 9"," 0"," 1"," 4","22"," 1","14","31"," 2"," 0"," 0","11"," 7","43","33","18"," 0"," 6"," 7"
"MT1XP1","6","0","5","1","3","4","6","5","8","2","3","0","2","4","3","5","5","4","8"
"CLIC4"," 571"," 378"," 398"," 505"," 725","1197"," 436"," 540"," 611","1000","1301"," 143"," 857"," 152"," 578"," 466"," 444"," 558"," 537"
"SZRD1","32","30","44","37","55","35","30","44","29","47","38","17","41","32","40","45","38","35","49"
"PDIK1L","25","11","17","19","21","17","23","37","22","17","12","18","29","23","20","26","12","18","32"
"NECAP2","30","34","26","38","47","31","26","59","23","55","48","12","39","23","37","36","35","28","31"
"IGSF21-AS1","0","6","2","0","8","3","5","2","0","3","1","5","1","7","2","3","2","4","0"
"MICOS10-DT","3","1","0","3","0","0","1","1","2","0","0","0","0","0","1","1","0","0","1"
"LAPTM5"," 93","261"," 99","328","322","256","102"," 50"," 79","542","311"," 43","263"," 53","205","218","391"," 91"," 54"
"SLC30A2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"PHACTR4","21","21","18","25","32","18","24","21","16","19","22"," 9","19","26","22","26"," 9","28","16"
"CNKSR1","1","0","1","1","3","0","1","2","1","0","0","1","1","3","2","2","0","1","1"
"FAM110D","3","2","1","1","2","1","1","1","0","2","1","1","1","1","1","1","0","1","1"
"ICMT","46","40","28","42","49","44","26","38","15","38","56","42","49","32","36","54","47","43","34"
"MED18"," 9"," 9"," 9","15","15","15","11","12","13","15","16"," 7"," 9"," 8","11","19","10","11","15"
"MMEL1-AS1","1","1","3","1","0","0","2","9","1","1","0","2","0","2","3","1","1","1","0"
"SLC9A1"," 6","10","11","11","19","16","13"," 5"," 7","11","18","19"," 9","14","13"," 6"," 8","18"," 7"
"LDLRAP1"," 5"," 7"," 5"," 5"," 6"," 7"," 4"," 5"," 3","13"," 5"," 5"," 3"," 9","24"," 9"," 4"," 6"," 3"
"RNF207-AS1","0","0","0","1","0","0","0","0","0","1","0","2","0","1","0","0","9","0","0"
"ATP5IF1","40","26","35","35","46","48","43","50","23","38","45","48","36","48","37","60","17","41","55"
"SDC3","196","208","310","183","319","135","243","416"," 78","207","243","121","203","239","222","164"," 87","296","260"
"PAFAH2"," 9","15","19","17","23","17","13","19","11","17","24"," 9","18","12","18","17"," 7","10","20"
"DNAJC8"," 73"," 49"," 59"," 69"," 84"," 81"," 60","122"," 90"," 72"," 83"," 67"," 69"," 67"," 71"," 95"," 41"," 71","111"
"SESN2","12","18","27","18","34","27","32","24","51","17","52","11","19","10","32","15","17","22","29"
"SERINC2","2","2","1","5","6","2","8","1","3","5","1","1","5","3","3","9","1","5","2"
"AJAP1"," 2"," 1"," 0"," 1"," 4"," 1"," 1"," 0"," 0"," 2"," 1","53"," 2","19"," 4"," 4"," 0","12"," 2"
"PTAFR","12","30"," 7","41","32","25"," 9","13"," 6","56","35"," 7","30"," 9","31","24","34","15"," 6"
"NKAIN1"," 2"," 0"," 1"," 5","13"," 1"," 8"," 0"," 0"," 1"," 0"," 5","10","14","20","15"," 0"," 7"," 1"
"SNRNP40","36","21","38","26","34","29","30","49","26","31","24","17","27","30","30","46","18","29","50"
"SLC25A33","10"," 8"," 1"," 8","15"," 6","12","20","11","10"," 6","14","16","15","10","15","11","10","17"
"GJB3","1","2","1","2","1","2","3","3","3","1","1","2","0","1","1","1","0","1","3"
"LINC01756","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"DNAJC16","22","23","17","22","23","15","18","27","14","24","20","25","21","17","20","24","16","18","16"
"EYA3","16","18","18","21","21","22","19","25","18","19","20","19","17","20","17","21","11","21","20"
"RPL7P11"," 6"," 7"," 2","10"," 4"," 1"," 6"," 3"," 2"," 3"," 5"," 5"," 7"," 6"," 9","11"," 2"," 9"," 1"
"FABP3"," 27","  9"," 21"," 16"," 21"," 25"," 22"," 22"," 18"," 39"," 13","117"," 20"," 59"," 15"," 20","  7"," 77"," 19"
"EPHA2","14"," 7"," 4"," 7"," 9"," 8"," 8"," 5","10","13","27"," 4"," 7"," 4"," 3"," 6","23"," 8","15"
"ARHGEF19","1","2","1","1","2","1","1","1","2","3","1","0","2","1","2","3","5","0","1"
"KAZN-AS1","0","2","1","0","1","0","1","0","0","0","1","6","1","6","1","1","0","1","0"
"GPR153"," 3"," 1"," 3","11","12"," 2"," 8"," 4"," 1"," 6"," 1","29","24"," 9"," 5"," 5","10","13"," 6"
"KAZN"," 7"," 7"," 7","10","16"," 6","10"," 2"," 4"," 9"," 7"," 9"," 6","13","17","12"," 2","14"," 3"
"RERE-AS1","4","5","2","6","5","2","4","2","3","2","3","6","4","6","5","6","2","5","1"
"CHCHD2P6"," 6"," 2"," 1"," 3"," 6"," 3","14"," 4"," 2"," 3"," 2"," 1"," 3"," 4"," 4"," 3"," 4","14","14"
"TNFRSF1B"," 25"," 53"," 28"," 61"," 81"," 37"," 33"," 19"," 18","120"," 62"," 12"," 97","  8"," 49"," 61","161"," 26"," 14"
"HMGN2P17"," 7"," 2"," 5"," 3"," 2"," 3"," 2"," 8"," 2"," 5"," 1"," 0"," 5"," 3"," 4","17"," 6"," 4"," 8"
"TMEM51-AS2"," 5","15"," 4","13","12"," 3"," 3"," 4"," 3","10"," 3"," 1"," 2"," 4"," 5"," 3"," 4"," 3"," 4"
"UBE4B","20","20","16","22","30","15","20","14","16","29","16","32","20","35","33","32","14","29","13"
"TMEM51-AS1","1","1","1","1","2","0","1","2","0","1","0","1","1","2","3","1","1","1","1"
"PLA2G5","11","25","12"," 8"," 2","35","17"," 4"," 1"," 6","57"," 6","17"," 4"," 3"," 1","17"," 9","40"
"PTPRU"," 1","16"," 9"," 6","15"," 6","23"," 1","14"," 6"," 6","12"," 2"," 7"," 7"," 6","11"," 4"," 6"
"ZMYM6","10"," 8"," 6"," 8"," 8"," 8"," 8"," 7","10"," 8"," 7"," 7"," 8"," 6"," 7","10"," 6"," 8"," 5"
"GJB5","1","0","1","1","1","0","3","2","6","2","2","3","1","2","1","1","0","1","2"
"AGO4","19","29","21","31","34","19","21","36","19","29","15","26","29","30","28","33","18","22","17"
"CDCA8","13"," 3"," 7"," 7","19","11"," 6","15"," 2"," 8"," 2"," 3"," 7","18"," 9","22"," 4","12","22"
"CPLANE2"," 3"," 8"," 8"," 6"," 8"," 5"," 5"," 8"," 5"," 7","13"," 6"," 9"," 7","11"," 5"," 6"," 7"," 6"
"ZBTB8B","2","1","2","4","4","1","4","6","1","1","0","2","3","4","2","5","0","3","3"
"RPL22","47","33","31","44","37","37","46","36","99","34","26","41","44","42","34","64","40","41","41"
"RNF207","0","1","1","2","1","1","1","0","0","1","1","6","1","4","2","1","3","1","0"
"FTH1P1"," 1"," 4"," 2"," 4"," 9"," 1"," 2"," 3","12"," 2"," 2"," 5"," 2"," 3"," 2"," 4"," 1"," 2"," 2"
"PAX7","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"EXTL1"," 1"," 2"," 1"," 2"," 5"," 2"," 2"," 2"," 1"," 3"," 8","20"," 3","12"," 4"," 9"," 1"," 7"," 3"
"CASZ1","1","0","2","1","2","1","3","0","0","1","2","0","1","0","1","1","1","1","1"
"AGMAT","2","2","2","4","2","2","2","2","1","3","1","4","3","2","3","2","2","2","1"
"FAAP20","4","4","5","5","6","5","6","3","4","3","5","2","4","4","4","4","5","7","2"
"DNALI1","31","15","13","27","32","12","22","97","16","24","29"," 9","13","15","11","24"," 5","15","22"
"RRAGC","13","10","16","16","13","20","15","12","19","24","12","10","21"," 9","17","16","13","10","13"
"SPCS2P4","57","34","59","40","56","59","45","68","58","43","68","26","55","55","38","52","64","40","48"
"GRIK3"," 54"," 27"," 38"," 89"," 29"," 49"," 63"," 44"," 11","  9"," 25"," 21"," 37"," 36"," 37","160"," 54","144","113"
"YRDC","20","13","13","15","22","19","23","38","23","13"," 9","17","29","17","20","32","13","17","36"
"RCC2"," 68"," 51"," 52"," 80","112"," 59"," 58"," 85"," 33"," 82"," 63"," 27"," 67"," 73"," 77","151"," 70"," 70","132"
"PSMB2","42","32","27","48","63","49","40","70","35","46","48","41","61","46","44","75","33","43","73"
"CASP9"," 7"," 7"," 9"," 9","25"," 5"," 9","17"," 7","12"," 8"," 9"," 9","10","10","12"," 8","10","10"
"DDI2","13","13","14","15","17","11","13","15","11","16","10","18","12","15","12","14","11","15","12"
"UQCRH","126"," 67","218","105","101","136","111","157","186","123"," 89","160","129","128"," 62","186","100","120","298"
"MIR3659HG","0","1","1","2","2","1","2","0","1","1","7","4","1","2","1","3","0","3","1"
"RPS29P6","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3","1","0","1","2"
"SELENOWP1","1","0","0","2","0","3","1","1","0","2","0","2","2","3","3","0","0","2","1"
"GPR199P","0","1","0","1","1","0","1","1","1","1","0","0","0","1","0","0","0","0","0"
"THRAP3","103"," 83"," 87","128","134","124","111","111","139","122","130"," 86","103","103","103","142"," 85","125","147"
"PADI4","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0"
"C1orf122","30","24","15","33","28","49","32","48","19","34","36","26","42","26","47","31","16","28","54"
"EPHA10"," 0"," 0"," 0"," 1"," 1"," 0"," 1"," 1"," 0"," 0"," 0","12"," 2"," 5"," 3"," 0"," 0"," 3"," 0"
"FHL3","13","24"," 7","34","40","21","23","14","24","13","24"," 6","15","13","16","11","14","32","16"
"RHBDL2","4","3","6","6","6","5","5","3","2","9","5","5","4","9","9","4","2","6","2"
"INPP5B"," 9","11"," 9","10","14","11","12","11","17","11","14","10","10","14","11","12"," 8","14","14"
"FAM183A"," 5"," 0"," 2"," 4"," 0"," 0"," 1","81"," 2"," 1"," 1"," 3"," 1"," 0"," 1"," 2"," 0"," 0"," 1"
"ZMYM4","65","46","32","69","60","61","51","90","39","44","52","56","67","56","49","80","31","65","69"
"UTP11","29","22","16","25","27","26","21","30","31","17","24","19","28","19","18","32","14","23","39"
"C1orf216"," 29"," 24"," 15"," 35"," 39"," 31"," 42"," 28"," 23"," 32"," 42","112"," 52"," 71"," 31"," 33"," 25"," 55"," 29"
"SHMT1P1","3","2","3","4","4","2","2","2","1","2","2","3","1","4","3","4","1","2","1"
"PHB1P12","5","8","7","7","7","2","8","4","8","4","4","7","6","7","6","5","3","6","5"
"RLF","42","28","41","49","51","47","54","47","94","34","24","54","39","39","39","53","37","37","46"
"CLSPN"," 7"," 2"," 5"," 6","11"," 6"," 4"," 8"," 1"," 5"," 3"," 1"," 7","11"," 6","20"," 2","10","11"
"GNL2","26","21","16","24","31","31","25","28","44","28","23","10","21","17","19","41","20","21","39"
"GJA4"," 7","14","10"," 8","13","16"," 6"," 5"," 5","12"," 4"," 5"," 6"," 5"," 3","11"," 9"," 8","13"
"LINC02812","0","0","0","1","0","0","0","0","0","0","0","1","1","1","2","2","0","0","1"
"FCF1P6"," 1"," 0","14"," 2"," 0"," 1"," 2"," 6"," 3"," 0"," 1"," 1"," 1"," 1"," 0"," 0"," 4"," 3"," 0"
"MORN1","3","3","3","3","3","2","3","5","3","1","4","3","2","4","3","3","1","3","1"
"PRKCZ-AS1","1","2","4","5","3","1","4","2","3","2","4","6","1","7","5","3","1","2","1"
"TIE1","17"," 8"," 5"," 5","13","12"," 4"," 9"," 3","11"," 6"," 7"," 9"," 8"," 3"," 7"," 2","11"," 8"
"MYCBP","22","15","18","18","19","20","14","26","15","17","17","11","15","10","14","20","11","15","19"
"MICOS10"," 7"," 7"," 7"," 9"," 8"," 6"," 6"," 8"," 7"," 6"," 7","12"," 8","10"," 5"," 8"," 7"," 8"," 9"
"DLGAP3"," 2"," 1"," 1"," 2","10"," 1"," 3"," 2"," 1"," 1"," 0","76"," 7","42"," 4"," 5"," 0","15"," 1"
"TMA16P2","3","3","6","2","3","2","1","2","3","0","1","1","1","2","0","1","0","0","1"
"RIMS3","  6","  6","  3","  8"," 22","  6","  6","  9","  4","  6","  4","138"," 15"," 91"," 18"," 18","  4"," 38","  7"
"ECHDC2"," 9","16"," 8"," 7"," 7"," 5","11","17"," 9"," 6"," 6"," 6"," 4","12"," 5","10"," 7"," 8","13"
"RAB3B"," 1"," 1"," 0"," 1"," 8"," 0"," 3","17"," 1"," 1"," 1","13"," 6","19"," 2"," 5"," 1"," 7"," 7"
"SMIM12"," 9"," 8"," 6","10","11","12"," 9","10"," 8"," 9","10","10","10","10"," 9","12"," 5"," 9","10"
"MRPS6P2","5","4","3","5","6","1","3","8","2","1","2","4","2","3","5","5","0","3","2"
"TMEM61","0","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1","0"
"RPL23AP19","0","0","0","0","2","0","1","0","1","0","0","0","0","3","0","0","0","1","1"
"LINC01343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ERI3","42","38","43","62","57","53","44","92","38","49","51","73","56","65","51","79","41","55","80"
"CZIB","23","16","22","21","25","21","15","35","18","22","18","17","20","20","17","26","16","23","29"
"FAM151A","0","2","1","1","1","0","0","0","0","1","1","2","0","2","2","0","1","1","0"
"PODN"," 3","12"," 3"," 6","15"," 2"," 1"," 2"," 2"," 4"," 2"," 3"," 1"," 4"," 3"," 4"," 4"," 3"," 1"
"OSBPL9","29","26","30","24","27","26","22","39","26","37","24","19","25","19","24","33","22","25","21"
"PHB1P3","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0"
"PARS2"," 6"," 5"," 9"," 7","10"," 9"," 9","16"," 8","10"," 5"," 6","10"," 8"," 8"," 9"," 8"," 5","11"
"ZYG11B","62","34","51","58","58","48","52","73","41","45","43","91","75","59","36","65","50","60","70"
"CZIB-DT","1","0","1","0","1","0","0","0","2","0","1","1","0","0","0","1","0","0","1"
"ST3GAL3-AS1","2","1","0","1","1","1","2","0","1","1","0","1","0","0","0","1","0","1","1"
"TXNDC12"," 9"," 6"," 7"," 7"," 7"," 7"," 7"," 8"," 8"," 8"," 7"," 2"," 5"," 6"," 4"," 8","10"," 7","10"
"TXNDC12-AS1","3","3","3","4","2","2","2","2","4","1","2","3","2","2","0","3","0","1","2"
"SF3A3","65","52","39","65","81","61","58","87","71","50","63","38","56","51","53","89","38","62","88"
"FGGY-DT","1","0","0","0","2","0","0","0","0","1","1","0","0","1","0","0","0","0","0"
"DOCK7-DT","31","38","19","41","33"," 6","13","28"," 5"," 6","16"," 2","16"," 9","10","26"," 6","12","10"
"LAMTOR5P1","0","1","1","1","0","0","5","1","2","0","0","1","0","0","0","0","0","5","0"
"TTC4","1","2","2","2","3","2","2","3","2","3","1","1","2","1","2","1","2","2","3"
"PLPP3"," 91","167"," 62"," 80"," 82"," 87"," 79","154"," 85"," 82","156"," 87","108"," 84"," 78"," 80","108"," 78","109"
"SNIP1","14","12"," 8","14","15","15","13","20","25","14","11","13","14","10","13","17"," 9","12","17"
"RPS13P2","35","27","85","32","41","47","30","25","69","61","33","20","52","21","46","44","43","18","98"
"CPT2","3","4","5","6","6","5","4","7","3","8","7","2","7","5","5","5","5","5","7"
"FOXJ3","45","31","43","53","47","48","51","46","65","43","39","52","45","38","36","48","53","52","45"
"TUT4","29","21","24","26","28","18","23","32","26","19","16","18","21","23","15","30","17","23","20"
"GTF2F2P2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"GAPDHP51","0","3","2","2","4","1","4","1","3","2","0","1","1","2","2","2","1","2","1"
"PATJ-DT","0","2","3","1","5","0","6","2","5","4","0","2","1","4","2","1","2","0","4"
"CYP4A43P","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"MAGOH","34","22","25","25","23","42","25","39","31","30","31","16","30","19","18","34","38","24","45"
"SKINT1L","9","3","2","2","2","1","3","6","6","2","1","0","1","3","0","2","1","4","5"
"DLEU2L","6","4","5","7","7","2","3","7","3","2","4","6","4","4","3","7","2","4","2"
"CDKN2C"," 60"," 20"," 44"," 39"," 56"," 48"," 32"," 80"," 23"," 25"," 11","  7"," 47"," 27"," 21"," 67"," 36"," 58","111"
"CAPZB","16","25","20","32","31","21","24","19","19","31","25","18","29","20","29","29","23","20","20"
"LRP8-DT","1","0","0","0","0","0","1","0","0","2","0","5","1","1","0","2","0","3","0"
"ELOCP18","12"," 0"," 5"," 3","26"," 1","11"," 8"," 4"," 2"," 2"," 0"," 1"," 2"," 0"," 4"," 4"," 1"," 3"
"C1orf87","1","1","0","0","1","0","0","1","0","0","1","2","2","0","2","0","0","1","0"
"ZSWIM5"," 6"," 7","13"," 9","16"," 9"," 9","19"," 6"," 5"," 7"," 9","17","12","10","11"," 4"," 6","16"
"OMA1","13","19","18","12","20","13","13","24","16","23","13","16","15","12","15","18","14","11","16"
"SLC35D1","31","30","33","24","22","32","44","30","34","20","31","16","22","18","19","22","37","28","31"
"LRP8"," 6"," 4"," 5"," 7","12"," 4"," 9","15"," 2"," 6"," 3","15","15","13"," 4","11"," 6","11","10"
"TCEANC2"," 5"," 6"," 9"," 7","13"," 5"," 6"," 9"," 8"," 7"," 7"," 5"," 7"," 9"," 5"," 8"," 4"," 6"," 9"
"KTI12"," 7"," 2"," 6"," 5"," 4"," 5"," 7","11"," 7"," 7"," 4"," 6"," 6"," 5"," 4"," 7"," 8"," 4","12"
"LRRC42","25","14","20","25","28","34","36","31","17","33","30","18","27","16","16","45","24","25","34"
"GDI2P2"," 3"," 6"," 5"," 2"," 6"," 6"," 2"," 5"," 2"," 5"," 4","36"," 3"," 7"," 9","17"," 3"," 5"," 3"
"KANK4","0","0","0","0","0","1","1","0","0","2","0","1","0","1","1","1","0","0","0"
"DNAJB4","28","41","38","26","49","37","23","60","52","29","32","52","33","33","31","39","26","29","29"
"USP1","111"," 33"," 80"," 56"," 79"," 73"," 57","125"," 67"," 60"," 35"," 35"," 67"," 58"," 55","169"," 69"," 75","153"
"ERI3-IT1"," 5","12"," 7","14","11"," 4","10","21","15"," 4"," 5"," 9"," 4","15"," 9"," 7"," 5"," 6"," 8"
"AK5","  6","  3","  1","  4","  6","  3","  5","  3","  1"," 16","  5","141","  7"," 58"," 44","  6","  1"," 41","  3"
"SPATA6","90","70","87","61","55","32","38","57","28","36","31","17","38","55","23","77","37","49","59"
"GIPC2","0","2","1","5","2","1","0","0","0","1","1","3","2","1","0","2","2","0","0"
"RPE65"," 11"," 36"," 12"," 23"," 33","  8","161"," 78"," 20","  5","  5","  3","  4","  8"," 26"," 56","  1"," 13"," 21"
"ANGPTL3","14","13","13","13","13"," 7"," 7","13"," 7"," 5"," 7"," 3"," 6"," 5"," 6"," 8"," 5"," 9"," 5"
"DNAJC6"," 29"," 13"," 11"," 35"," 39"," 43"," 65"," 17"," 36"," 71"," 29","206"," 30","113","111"," 51"," 20"," 93"," 20"
"AK4"," 32"," 35"," 59"," 32"," 47"," 95"," 69"," 98"," 63"," 16"," 42"," 56"," 65"," 30"," 50"," 31"," 71"," 35","133"
"LEPROT","54","72","57","64","64","82","34","74","50","73","55","46","62","35","58","51","71","44","52"
"RPL31P12","1","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0"
"LINC02796","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"CACHD1","28","39","31","25","38","30","23","52"," 7","19","34","37","31","25","22","25","11","30","35"
"EFCAB7","18","13","15","14","16"," 9"," 9","25"," 9"," 9"," 8","15","12","14"," 9","28"," 7","12","11"
"MCOLN2","1","3","3","2","4","3","1","4","1","6","3","0","1","0","1","1","3","1","0"
"ST6GALNAC5"," 3"," 3"," 0"," 0"," 1"," 1"," 0","34"," 0"," 4"," 1","43"," 1"," 8"," 1"," 1"," 0"," 6"," 3"
"ATG4C","38","51","34","49","40","30","24","66","34","43","31","30","41","34","41","71","26","37","33"
"LINC02797","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"COX6CP13"," 2"," 7"," 3"," 8"," 8"," 3"," 8"," 0"," 4"," 7"," 1","20"," 1","16","31","18"," 2"," 9"," 1"
"TXN2P1"," 7","15","15"," 8","14"," 2","10"," 8","11"," 3"," 3"," 8"," 8","17","10","13"," 5","14"," 3"
"PDE4B-AS1"," 62"," 29"," 57"," 82"," 33"," 21"," 27"," 11","  6"," 27"," 30"," 17"," 17"," 52"," 80","174"," 16"," 58"," 15"
"ASB17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ADGRL4","27","22","17","14","27","31","13"," 9"," 6","15","18"," 6","22"," 9"," 8","21"," 7","21","22"
"PPP1R8P1","21","22","26","22","16"," 6","13","14"," 8"," 9","12"," 7"," 5","21","12","21"," 3","13"," 6"
"MTF1","15","15"," 9","17","25","15","14","20","17","14","16","13","14","18","19","16","10","15","15"
"TTLL7","33","27","26","30","29","27","25","36","33","52","20","97","21","80","93","41","10","51","18"
"KDM4A","16","15","14","21","19","15","19","20","12","18","20","15","16","17","17","27","12","18","23"
"TTLL7-IT1"," 4"," 5"," 3"," 5"," 7"," 3"," 3"," 4"," 4"," 6"," 3","10"," 2","14","17"," 5"," 1"," 8"," 1"
"NEGR1-IT1","0","0","0","0","1","0","0","0","0","0","0","4","0","1","0","0","0","1","0"
"CAPNS1P1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"LINC02777","1","1","2","1","3","1","0","5","2","5","4","3","4","3","2","1","1","1","1"
"ZNHIT6","23","17","21","23","25","22","13","29","30","16","18","19","30","18","19","20","15","19","21"
"MROH7","0","2","1","1","1","0","0","0","0","1","0","2","0","2","2","0","0","1","0"
"LINC01763","0","1","0","0","0","1","2","0","0","1","1","1","0","1","0","1","0","0","0"
"PTGFR","0","1","2","1","4","0","0","2","2","3","1","3","0","1","0","0","1","0","0"
"LINC02801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EEF1GP7","0","2","0","1","1","0","0","0","0","0","0","2","1","1","1","1","0","0","0"
"LMO4"," 80"," 46"," 58"," 70"," 60"," 72"," 69"," 81","116"," 63"," 53","120"," 75"," 72"," 47"," 79"," 58"," 87","129"
"PRPF38A","46","27","40","37","56","40","34","96","58","29","29","27","32","41","20","59","31","32","69"
"PIGK","37","36","27","31","35","37","22","51","19","44","33","30","32","19","32","34","27","30","38"
"HNRNPA3P12","0","0","0","1","1","0","1","0","0","0","0","1","0","1","0","1","0","2","0"
"ST6GALNAC3"," 4","17"," 4"," 4"," 7"," 6"," 3","22"," 2","12"," 3","10"," 7"," 8","15","12"," 1"," 4"," 4"
"PKN2-AS1","1","1","1","1","1","1","1","2","1","0","0","1","2","1","1","1","0","1","1"
"USP24","61","51","51","62","58","50","56","56","43","50","40","51","45","58","51","70","48","62","50"
