"","Gene","logFC","padj"
"8012","KIF20B",1.13505055593275,7.54455688062979e-05
"8013","NDUFA6-DT",-1.09621727534361,7.55357983140709e-05
"8014","LINC02984",1.99158180942905,7.57084580195854e-05
"8015","FGF7P8",-1.66525367019684,7.59519159232091e-05
"8016","SOX21",1.02785015513415,7.60011769607634e-05
"8017","RPL7AP66",0.906592168679486,7.60011769607634e-05
"8018","NLRP9P1",-2.63832004082762,7.62953074484561e-05
"8019","TTC31",0.87606746058857,7.6521491568367e-05
"8020","CXADR",1.00085983686515,7.68250028605925e-05
"8021","SCAMP4",0.754728062256655,7.68555075772562e-05
"8022","LINC03000",-2.18876264977394,7.68761200176633e-05
"8023","GORAB",1.023016738546,7.69588144211963e-05
"8024","RFPL4AP3",-2.56023602344275,7.69803155631269e-05
"8025","RFX8",-1.85993932508473,7.71140269683347e-05
"8026","LINC02055",-2.85168771921562,7.73498430000462e-05
"8027","SLN",3.34069146905875,7.73908784235854e-05
"8028","MAF",0.725801226907012,7.74722018848855e-05
"8029","MCAT",-0.659423241924561,7.74827340378677e-05
"8030","CHKB-DT",-1.01799184165824,7.78760557860663e-05
"8031","NDUFA5P11",-0.688964181106307,7.79732598845857e-05
"8032","RPS3P1",-1.96886339637579,7.8073164447106e-05
"8033","GINS4",2.09445919648583,7.87460474134094e-05
"8034","TFAP2E-AS1",-1.26857044924953,7.8873879701582e-05
"8035","SNRK",-0.58501853410322,7.89371089982659e-05
"8036","HCP5",1.81710724116107,7.89681633235053e-05
"8037","CPSF2",0.568067549564111,7.9334845111584e-05
"8038","QRFPR",-2.55133038915115,7.96600382946478e-05
"8039","PRMT3",0.898884211812422,7.97606957436385e-05
"8040","HYDIN2",-0.996642503722387,7.97651569959035e-05
"8041","ANXA2P1",-0.822555899270259,7.97651569959035e-05
"8042","SNRPA",0.667259397997858,8.01610853725721e-05
"8043","OR8S21P",-1.9917181690265,8.01669300166944e-05
"8044","VNN1",3.02129359675276,8.03548024047978e-05
"8045","RNA5SP300",-2.77556411039674,8.04760596810225e-05
"8046","HILPDA",2.36008547851426,8.06569598849375e-05
"8047","SGCZ",-1.84378754555284,8.0696239612824e-05
"8048","MIR138-2",-3.85562468271752,8.09080404742634e-05
"8049","QRICH2",-0.843287650745038,8.10891951976619e-05
