ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_23_P132675	1.62E-01	3.25E-02	-2.22406096	-4.0749476	-3.03E-01	UQCRC1
A_23_P118002	3.52E-01	1.16E-01	-1.60925005	-5.13797078	-3.14E-01	UQCRC2
A_23_P153586	2.85E-01	8.16E-02	-1.79188896	-4.85141934	-4.68E-01	UQCRFS1
A_33_P3299892	5.02E-01	2.18E-01	-1.2533004	-5.61845479	-2.48E-01	UQCRH
A_32_P54137	6.88E-01	4.09E-01	-0.83469085	-6.04144063	-1.26E-01	UQCRH
A_23_P213718	7.79E-02	1.02E-02	-2.71246805	-3.05089338	-3.39E-01	UQCRQ
A_23_P57293	8.46E-01	6.43E-01	0.46803639	-6.27699685	1.10E-01	URB1
A_24_P940310	9.05E-01	7.62E-01	0.30467485	-6.33978263	2.87E-02	URB1
A_23_P74914	7.96E-01	5.58E-01	-0.5908308	-6.21256008	-9.22E-02	URB2
A_23_P31489	6.49E-01	3.62E-01	-0.92304788	-5.96552855	-6.82E-02	URGCP
A_33_P3499174	8.35E-01	6.23E-01	0.49538316	-6.26392089	3.03E-02	URM1
A_33_P3387666	9.31E-01	8.19E-01	0.23008361	-6.35966951	3.69E-02	URM1
A_23_P422240	8.96E-01	7.43E-01	-0.32990885	-6.33180543	-6.52E-02	UROC1
A_23_P63050	2.38E-01	6.05E-02	-1.93838474	-4.60317558	-2.31E-01	UROD
A_33_P3233560	4.38E-02	4.19E-03	3.05777525	-2.24808945	3.25E-01	UROS
A_23_P35609	8.11E-02	1.08E-02	-2.68733391	-3.10695749	-4.31E-01	UROS
A_33_P3233565	2.11E-01	4.95E-02	-2.0327495	-4.43497085	-3.61E-01	UROS
A_23_P79122	1.63E-02	9.54E-04	-3.59905708	-0.88498599	-2.38E-01	USE1
A_33_P3392823	1.40E-01	2.58E-02	-2.32539449	-3.87440309	-2.23E-01	USE1
A_23_P23646	4.53E-01	1.81E-01	-1.36347256	-5.48115725	-1.45E-01	USF1
A_33_P3316026	9.09E-02	1.30E-02	-2.61399784	-3.26857064	-2.10E-01	USF2
A_33_P3299982	1.76E-01	3.70E-02	2.16614964	-4.18654513	5.02E-01	USF2
A_23_P116430	9.58E-01	8.85E-01	0.14620015	-6.37542225	3.59E-02	USH1C
A_33_P3401711	5.53E-03	1.92E-04	4.15462754	0.61405269	5.08E-01	USH1G
A_33_P3212949	6.06E-01	3.15E-01	-1.01896646	-5.87491364	-5.02E-02	USH2A
A_23_P86301	7.20E-01	4.51E-01	-0.76234602	-6.09812803	-2.29E-01	USH2A
A_32_P189592	3.77E-01	1.31E-01	1.54545402	-5.23183182	3.18E-01	USHBP1
A_24_P366859	4.47E-01	1.77E-01	1.37578003	-5.46517206	1.62E-01	USHBP1
A_23_P127095	6.98E-02	8.58E-03	-2.78044743	-2.89757561	-4.50E-01	USMG5
A_23_P29855	2.36E-01	5.97E-02	-1.94434658	-4.5927379	-3.05E-01	USO1
A_23_P11652	5.61E-02	6.12E-03	-2.91272084	-2.59245333	-3.07E-01	USP1
A_23_P100196	1.44E-02	7.95E-04	-3.66366815	-0.7151702	-3.73E-01	USP10
A_32_P26330	6.90E-02	8.43E-03	-2.78766602	-2.881153	-2.14E-01	USP10
A_33_P3273173	7.54E-03	3.03E-04	-3.99891876	0.18575337	-5.41E-01	USP11
A_23_P171366	2.26E-02	1.55E-03	-3.42564629	-1.33382974	-5.94E-01	USP11
A_24_P237613	7.12E-02	8.84E-03	-2.76881631	-2.92398003	-3.40E-01	USP12
A_23_P40989	5.92E-01	3.01E-01	-1.04950858	-5.84428792	-6.33E-02	USP13
A_33_P3239954	2.87E-02	2.21E-03	-3.2961958	-1.66178005	-6.49E-01	USP14
A_23_P204269	4.03E-01	1.48E-01	-1.47994211	-5.32476351	-4.71E-01	USP15
A_32_P57057	6.13E-01	3.23E-01	-1.00220254	-5.89136117	-6.55E-02	USP15
A_23_P257911	1.26E-01	2.18E-02	-2.39867076	-3.72532925	-4.43E-01	USP16
A_33_P3325439	8.43E-01	6.37E-01	-0.47528665	-6.27360148	-4.71E-02	USP16
A_24_P272917	1.30E-02	6.83E-04	3.71703521	-0.5739158	2.57E-01	USP17
A_33_P3367717	6.21E-02	7.18E-03	-2.85063276	-2.73676909	-5.54E-01	USP17
A_33_P3286980	1.27E-01	2.20E-02	-2.39445278	-3.73400063	-4.80E-01	USP17
A_33_P3283262	1.28E-01	2.24E-02	-2.38690228	-3.74949573	-5.10E-01	USP17
A_33_P3260451	6.10E-02	6.97E-03	-2.86228791	-2.70982378	-3.59E-01	USP17L2
A_33_P3342153	2.75E-01	7.69E-02	-1.82138865	-4.8027197	-3.79E-01	USP17L2
A_33_P3292739	3.27E-01	1.03E-01	1.67325743	-5.04052037	1.56E-01	USP17L2
A_23_P132159	7.06E-01	4.32E-01	0.79510984	-6.0730688	1.69E-01	USP18
A_33_P3360301	5.75E-01	2.84E-01	-1.087404	-5.80510994	-9.32E-02	USP19
A_23_P113789	6.49E-01	3.62E-01	-0.92338431	-5.96522559	-7.32E-02	USP19
A_23_P24966	5.73E-01	2.82E-01	-1.09142799	-5.80087342	-1.02E-01	USP2
A_24_P107317	9.79E-01	9.41E-01	-0.07496823	-6.38329008	-8.50E-03	USP2
A_23_P217028	7.88E-01	5.46E-01	-0.60926629	-6.20161929	-4.75E-02	USP20
A_24_P139620	2.18E-01	5.23E-02	2.00734891	-4.48087196	1.31E-01	USP21
A_23_P126689	6.43E-01	3.55E-01	0.93686717	-5.95299728	6.13E-02	USP21
A_23_P422540	1.95E-01	4.38E-02	-2.08909148	-4.33154149	-1.70E-01	USP22
A_24_P58122	1.91E-01	4.24E-02	-2.10464926	-4.30259368	-1.84E-01	USP24
A_24_P139208	9.12E-01	7.77E-01	-0.28485978	-6.34560435	-6.05E-02	USP25
A_23_P158118	1.74E-02	1.05E-03	3.56471899	-0.97468281	9.88E-01	USP26
A_24_P322908	8.53E-02	1.17E-02	-2.65526522	-3.17799249	-2.71E-01	USP27X
A_23_P171095	2.99E-01	8.81E-02	-1.75291975	-4.91473618	-3.09E-01	USP27X
A_33_P3672482	1.79E-01	3.79E-02	2.15506978	-4.20764144	2.93E-01	USP28
A_23_P78504	2.54E-01	6.74E-02	-1.8862076	-4.69341753	-4.04E-01	USP29
A_33_P3231110	1.35E-01	2.43E-02	-2.35077533	-3.82314709	-3.06E-01	USP3
A_23_P170467	3.18E-01	9.82E-02	-1.69786941	-5.00218703	-2.73E-01	USP3
A_24_P87114	9.27E-01	8.12E-01	-0.23989319	-6.35736984	-2.53E-02	USP30
A_23_P206612	4.42E-01	1.73E-01	-1.38942325	-5.44730144	-1.47E-01	USP31
A_24_P390583	7.92E-01	5.52E-01	-0.60095129	-6.20659471	-1.99E-01	USP31
A_33_P3414362	1.68E-01	3.45E-02	-2.19809855	-4.12525352	-2.99E-01	USP32
A_24_P405190	4.19E-01	1.57E-01	-1.44371474	-5.37462948	-1.15E-01	USP33
A_24_P126417	5.46E-01	2.56E-01	-1.15416901	-5.73293529	-9.21E-02	USP34
A_23_P116602	6.82E-01	4.02E-01	-0.84754754	-6.03084944	-4.48E-02	USP35
A_33_P3357247	6.88E-02	8.38E-03	-2.78975372	-2.87639837	-1.92E-01	USP36
