ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_24_P188800	4.97E-01	2.15E-01	-1.26283098	-5.6069932	-2.08E-01	1-Mar
A_23_P33683	5.84E-01	2.92E-01	-1.06876529	-5.82454213	-1.18E-01	2-Mar
A_23_P321511	2.22E-01	5.41E-02	-1.99110143	-4.50999271	-4.19E-01	3-Mar
A_24_P555473	6.20E-01	3.30E-01	0.98773456	-5.90534894	1.00E-01	3-Mar
A_23_P333228	2.33E-01	5.83E-02	-1.95584655	-4.57253162	-3.99E-01	4-Mar
A_24_P64393	4.16E-01	1.56E-01	-1.44880882	-5.36768373	-1.37E-01	5-Mar
A_23_P110492	4.13E-01	1.54E-01	-1.45769298	-5.35551839	-2.88E-01	6-Mar
A_23_P102242	4.41E-01	1.73E-01	-1.39085497	-5.44541694	-1.59E-01	7-Mar
A_23_P338495	7.19E-01	4.49E-01	0.76507458	-6.09608	7.57E-02	8-Mar
A_23_P47777	9.68E-01	9.11E-01	0.11254532	-6.37977069	1.15E-02	9-Mar
A_23_P337899	5.87E-01	2.95E-01	1.06207206	-5.83144352	2.16E-01	10-Mar
A_24_P33508	2.23E-01	5.42E-02	-1.9905121	-4.51104545	-4.25E-01	11-Mar
A_23_P21057	2.13E-01	5.05E-02	-2.02315435	-4.4523637	-4.04E-01	1-Sep
A_33_P3347772	3.73E-02	3.29E-03	3.1486662	-2.02742676	1.81E-01	2-Sep
A_23_P170839	3.18E-01	9.81E-02	-1.69807962	-5.00185758	-2.45E-01	2-Sep
A_24_P43092	6.56E-01	3.70E-01	-0.90745267	-5.9794571	-1.11E-01	2-Sep
A_23_P211572	2.44E-01	6.29E-02	-1.91938748	-4.63626258	-2.84E-01	3-Sep
A_23_P503127	3.07E-01	9.24E-02	-1.72909826	-4.95286652	-2.67E-01	3-Sep
A_23_P207003	6.92E-01	4.14E-01	-0.82568936	-6.04876335	-2.00E-01	4-Sep
A_33_P3329686	9.48E-03	4.27E-04	-3.88033502	-0.13646449	-7.01E-01	5-Sep
A_23_P22614	7.62E-01	5.07E-01	0.66956354	-6.16354092	6.78E-02	6-Sep
A_33_P3243554	8.75E-01	7.02E-01	-0.38554369	-6.31199209	-4.48E-02	6-Sep
A_23_P8482	3.25E-02	2.67E-03	-3.22692415	-1.834584	-4.77E-01	7-Sep
A_24_P291973	5.89E-02	6.60E-03	-2.88329845	-2.6610791	-2.99E-01	7-Sep
A_33_P3287028	6.73E-02	8.11E-03	-2.80298663	-2.84620884	-2.84E-01	7-Sep
A_33_P3402414	3.62E-01	1.22E-01	-1.58200491	-5.17845807	-2.22E-01	7-Sep
A_23_P144807	1.98E-01	4.50E-02	-2.07747798	-4.3530415	-2.93E-01	8-Sep
A_23_P415827	7.98E-01	5.61E-01	-0.58737355	-6.21457514	-6.40E-02	8-Sep
A_33_P3240115	9.62E-01	8.95E-01	0.13334181	-6.37721704	1.47E-02	8-Sep
A_23_P106973	1.74E-01	3.65E-02	-2.17218583	-4.17501739	-2.54E-01	9-Sep
A_33_P3368188	7.66E-01	5.14E-01	-0.65984817	-6.16991317	-7.37E-02	9-Sep
A_23_P43175	6.38E-01	3.50E-01	0.94760726	-5.94313595	2.47E-01	10-Sep
A_33_P3310475	4.69E-02	4.65E-03	-3.0180756	-2.34331221	-3.34E-01	11-Sep
A_23_P89101	8.70E-01	6.91E-01	0.40082507	-6.30601488	3.73E-02	12-Sep
A_33_P3234060	2.67E-01	7.30E-02	-1.84706771	-4.75979314	-4.88E-01	14-Sep
A_23_P83463	2.58E-02	1.89E-03	-3.35411924	-1.51582588	-3.67E-01	15-Sep
A_33_P3423610	4.05E-01	1.48E-01	-1.47681458	-5.32911152	-2.08E-01	15-Sep
A_23_P146486	7.10E-01	4.38E-01	-0.7849896	-6.08091788	-1.14E-01	1-Dec
A_33_P3685216	3.86E-03	1.13E-04	-4.33335604	1.11210761	-2.70E-01	A1BG
A_24_P151121	6.23E-01	3.33E-01	-0.98073831	-5.91204397	-1.32E-01	A1BG
A_24_P721699	1.47E-02	8.15E-04	-3.65467078	-0.73889764	-2.67E-01	A1BG-AS1
A_23_P104224	4.10E-01	1.52E-01	1.46282843	-5.34845622	3.02E-01	A1CF
A_32_P110872	7.74E-01	5.26E-01	-0.64106398	-6.18197585	-1.43E-01	A2LD1
A_23_P116898	8.48E-01	6.48E-01	0.46071013	-6.28037544	1.24E-01	A2M
A_33_P3525263	6.84E-01	4.04E-01	-0.84355182	-6.03415771	-2.17E-01	A2ML1
A_33_P3294002	1.33E-01	2.36E-02	2.36485656	-3.79453637	2.03E-01	A4GALT
A_23_P58046	7.81E-01	5.36E-01	0.62518252	-6.19190896	8.75E-02	A4GNT
A_33_P3232403	6.63E-01	3.79E-01	0.89078351	-5.99409439	2.99E-02	AAA1
A_33_P3338172	8.60E-01	6.71E-01	-0.42807244	-6.29478639	-5.33E-02	AAA1
A_23_P64799	7.30E-01	4.64E-01	0.73989248	-6.11471239	6.50E-02	AAAS
A_23_P204395	3.52E-01	1.16E-01	-1.60855751	-5.1390073	-1.85E-01	AACS
A_33_P3403392	8.28E-01	6.09E-01	-0.5158088	-6.25367684	-5.36E-02	AACS
A_33_P3302290	8.60E-01	6.72E-01	-0.42740352	-6.29507079	-3.28E-02	AACSP1
A_23_P80570	1.06E-01	1.66E-02	2.51322019	-3.48572619	4.22E-01	AADAC
A_23_P91970	8.76E-01	7.03E-01	0.38407535	-6.31255429	8.91E-03	AADACL2
A_33_P3307960	1.59E-05	2.09E-08	7.15078784	9.24544821	6.27E-01	AADACL3
A_33_P3307965	9.13E-03	4.04E-04	3.89965384	-0.08422053	3.67E-01	AADACL3
A_33_P3312601	9.61E-01	8.93E-01	-0.13533956	-6.37694901	-3.26E-02	AADACL4
A_23_P253484	8.40E-01	6.32E-01	-0.48308183	-6.26989346	-5.15E-02	AADAT
A_23_P37545	9.07E-02	1.29E-02	-2.61543151	-3.26543974	-2.28E-01	AAGAB
A_33_P3289207	2.36E-01	5.95E-02	1.94564737	-4.59045712	1.56E-01	AAK1
A_33_P3289204	3.01E-01	8.91E-02	-1.7472369	-4.92387232	-1.57E-01	AAK1
A_33_P3210583	5.97E-01	3.06E-01	-1.03886993	-5.85505222	-2.24E-01	AAK1
A_33_P3289218	9.16E-01	7.86E-01	0.27362288	-6.34873269	2.23E-02	AAK1
A_33_P3210585	9.56E-01	8.79E-01	-0.15288109	-6.37442461	-1.61E-02	AAK1
A_24_P356	9.74E-01	9.27E-01	0.09227668	-6.38184414	1.33E-02	AAK1
A_23_P56529	2.37E-02	1.66E-03	-3.39961505	-1.40028559	-3.16E-01	AAMP
A_33_P3246763	6.98E-01	4.21E-01	0.8135412	-6.05852478	1.63E-01	AANAT
A_24_P172990	2.54E-01	6.74E-02	-1.8858774	-4.69398226	-2.02E-01	AARS
A_23_P383688	1.48E-01	2.81E-02	-2.2876354	-3.9499024	-2.13E-01	AARS2
A_23_P118607	1.70E-01	3.48E-02	-2.19327829	-4.1345444	-1.54E-01	AARSD1
A_24_P383076	5.08E-01	2.24E-01	-1.23795799	-5.63673896	-1.61E-01	AASDH
A_23_P202988	1.75E-01	3.65E-02	-2.17192469	-4.17551661	-5.22E-01	AASDHPPT
A_23_P8754	5.27E-01	2.40E-01	-1.19562176	-5.6861203	-2.18E-01	AASS
A_23_P89460	1.78E-01	3.76E-02	-2.1591997	-4.19978763	-1.77E-01	AATF
A_33_P3335398	4.49E-01	1.78E-01	-1.37233136	-5.46966427	-2.23E-01	AATK
A_23_P10559	7.15E-01	4.44E-01	-0.77457756	-6.08889195	-1.43E-01	AATK
A_33_P3504522	6.86E-01	4.06E-01	-0.84021703	-6.03690727	-1.61E-01	AATK-AS1
A_33_P3366161	2.18E-01	5.22E-02	-2.0080555	-4.47960126	-1.90E-01	ABAT
A_33_P3268487	4.49E-01	1.79E-01	-1.37205788	-5.47002006	-2.16E-01	ABAT
A_24_P235429	5.25E-01	2.38E-01	-1.20086387	-5.68009158	-3.43E-01	ABCA1
A_33_P3422897	8.45E-01	6.41E-01	-0.47068418	-6.27576284	-8.80E-02	ABCA1
A_23_P89422	9.18E-01	7.91E-01	-0.26731901	-6.35043279	-5.97E-02	ABCA10
A_23_P92602	5.94E-01	3.02E-01	-1.04655785	-5.84728382	-2.25E-01	ABCA11P
A_33_P3367984	6.88E-01	4.09E-01	-0.83585676	-6.04048658	-1.64E-01	ABCA12
A_23_P364324	6.64E-01	3.80E-01	-0.88862322	-5.99597239	-1.11E-01	ABCA13
A_33_P3417081	5.31E-01	2.43E-01	-1.18808142	-5.6947495	-2.57E-01	ABCA17P
A_33_P3239052	6.28E-01	3.39E-01	-0.96856751	-5.9235834	-2.31E-01	ABCA17P
A_23_P43504	3.77E-01	1.32E-01	-1.54332323	-5.23490983	-2.58E-01	ABCA2
A_33_P3251672	7.97E-01	5.59E-01	-0.58938759	-6.21340267	-1.11E-01	ABCA2
A_23_P140876	9.65E-02	1.43E-02	-2.57561229	-3.35196799	-2.62E-01	ABCA3
A_23_P160940	8.88E-01	7.27E-01	0.35120527	-6.32458251	7.48E-02	ABCA4
A_23_P78018	3.73E-01	1.29E-01	-1.55374672	-5.2198175	-2.64E-01	ABCA5
A_23_P500400	5.92E-01	3.01E-01	-1.05042573	-5.84335512	-2.40E-01	ABCA6
A_33_P3374623	5.04E-01	2.20E-01	1.24793379	-5.62487383	2.49E-01	ABCA7
A_23_P118615	8.50E-01	6.51E-01	-0.45588999	-6.28256959	-1.66E-01	ABCA8
A_33_P3342305	8.75E-01	7.01E-01	-0.38663898	-6.31157133	-1.36E-01	ABCA8
A_33_P3292179	8.40E-01	6.31E-01	0.48390542	-6.26949821	6.51E-02	ABCA9
A_33_P3332414	7.09E-01	4.36E-01	-0.78775017	-6.07878646	-2.13E-01	ABCB1
A_23_P82523	9.86E-01	9.59E-01	-0.0516832	-6.38476327	-1.19E-02	ABCB1
A_23_P201918	7.76E-01	5.28E-01	-0.63769974	-6.18410035	-1.68E-01	ABCB10
A_32_P23624	9.98E-01	9.94E-01	-0.00694998	-6.38607361	-1.91E-03	ABCB10
A_23_P39703	9.94E-01	9.82E-01	-0.02310252	-6.38583109	-1.29E-03	ABCB11
A_33_P3336760	7.24E-01	4.55E-01	0.7552573	-6.10341565	1.32E-01	ABCB4
A_33_P3337554	6.69E-01	3.86E-01	-0.87805517	-6.00509659	-1.06E-01	ABCB5
A_23_P111662	8.08E-01	5.77E-01	-0.56245363	-6.22875653	-5.29E-02	ABCB5
A_33_P3337549	8.99E-01	7.51E-01	0.32018021	-6.33495565	1.83E-02	ABCB5
A_23_P5441	5.17E-01	2.31E-01	-1.21795092	-5.66027207	-1.59E-01	ABCB6
A_23_P171258	3.69E-01	1.26E-01	-1.56484254	-5.20365456	-1.44E-01	ABCB7
A_23_P82249	7.64E-02	9.88E-03	-2.72446522	-3.02401305	-2.41E-01	ABCB8
A_33_P3336780	8.00E-01	5.65E-01	-0.58113845	-6.21817998	-4.51E-02	ABCB8
A_33_P3376947	8.42E-01	6.36E-01	0.47748696	-6.27256087	6.04E-02	ABCB9
A_23_P128094	9.68E-01	9.11E-01	0.11289691	-6.3797311	1.25E-02	ABCB9
A_24_P227831	2.60E-01	7.01E-02	-1.86643412	-4.7270928	-2.61E-01	ABCC1
A_33_P3372563	2.42E-02	1.72E-03	3.38848462	-1.42862413	2.07E-01	ABCC10
A_33_P3372566	6.07E-01	3.16E-01	-1.01586223	-5.8779787	-6.23E-02	ABCC10
A_23_P219013	9.65E-01	9.04E-01	0.12203797	-6.3786586	9.49E-03	ABCC10
A_23_P141076	8.52E-01	6.55E-01	-0.44989235	-6.28526789	-1.29E-02	ABCC11
A_24_P287766	2.27E-01	5.61E-02	-1.97359316	-4.54116229	-6.46E-01	ABCC12
A_23_P307570	6.23E-01	3.34E-01	0.97992943	-5.91281513	9.28E-02	ABCC13
A_23_P397480	9.78E-01	9.37E-01	0.07901371	-6.38297891	3.97E-03	ABCC13
A_23_P44569	1.42E-01	2.62E-02	2.31806764	-3.88912397	3.59E-01	ABCC2
A_33_P3389518	9.73E-01	9.23E-01	0.09744728	-6.38135417	1.73E-02	ABCC2
A_33_P3298024	6.19E-01	3.29E-01	0.99053823	-5.90265335	2.38E-01	ABCC3
A_23_P207507	6.49E-01	3.63E-01	-0.92169982	-5.96674147	-2.06E-01	ABCC3
A_24_P16913	9.16E-01	7.86E-01	-0.27362243	-6.34873281	-4.90E-02	ABCC4
A_23_P258221	3.12E-01	9.48E-02	-1.71586348	-4.97386122	-3.21E-01	ABCC5
A_33_P3298057	4.83E-01	2.03E-01	-1.2956158	-5.5669618	-1.41E-01	ABCC5
A_33_P3298062	7.21E-01	4.52E-01	-0.76117085	-6.09900792	-2.27E-01	ABCC5
A_23_P15272	9.28E-05	3.79E-07	6.19858213	6.50512976	5.07E-01	ABCC6
A_23_P100539	2.59E-01	6.98E-02	1.86901742	-4.72270977	2.59E-01	ABCC6
A_33_P3298043	6.19E-01	3.29E-01	-0.98854297	-5.90457244	-1.22E-01	ABCC6
A_33_P3385266	9.35E-01	8.30E-01	-0.21612009	-6.3627779	-3.93E-02	ABCC6
A_33_P3316278	7.37E-01	4.73E-01	0.72486972	-6.12554	7.64E-02	ABCC6P1
A_23_P24774	3.26E-01	1.02E-01	-1.67611118	-5.03610002	-2.28E-01	ABCC8
A_23_P368691	8.91E-01	7.34E-01	-0.34181134	-6.32782387	-5.91E-02	ABCC9
A_24_P178503	8.97E-01	7.46E-01	-0.32614229	-6.33303619	-5.22E-02	ABCC9
A_23_P148556	6.42E-01	3.55E-01	0.93736659	-5.9525411	1.31E-01	ABCD1
A_33_P3224660	7.22E-01	4.53E-01	-0.75872605	-6.10083422	-1.31E-01	ABCD1
A_33_P3330236	9.96E-01	9.89E-01	-0.01437446	-6.38599451	-3.36E-03	ABCD1
A_23_P388124	8.14E-01	5.87E-01	-0.54840599	-6.23648466	-1.42E-01	ABCD2
A_33_P3307955	7.26E-05	2.58E-07	6.32424513	6.87024085	8.01E-01	ABCD3
A_33_P3307957	9.89E-01	9.69E-01	0.03883721	-6.38534419	3.87E-03	ABCD3
A_33_P3399598	3.68E-01	1.26E-01	1.56824115	-5.19868392	1.15E-01	ABCD4
A_23_P37327	8.28E-01	6.10E-01	0.51441783	-6.25438739	1.23E-01	ABCD4
A_23_P41380	3.77E-01	1.31E-01	-1.54457875	-5.23309663	-1.93E-01	ABCE1
A_32_P108474	8.81E-01	7.13E-01	-0.37081788	-6.31753402	-5.53E-02	ABCE1
A_23_P251660	1.88E-01	4.13E-02	-2.11641326	-4.28059451	-1.77E-01	ABCF1
A_23_P215175	1.72E-01	3.55E-02	-2.18448414	-4.151455	-1.69E-01	ABCF2
A_24_P251688	6.73E-01	3.91E-01	-0.86742219	-6.0141714	-7.08E-02	ABCF3
A_23_P166297	4.91E-02	5.00E-03	-2.99053263	-2.40895048	-2.87E-01	ABCG1
A_33_P3361067	5.99E-01	3.08E-01	1.03353058	-5.86041577	1.90E-01	ABCG2
A_24_P355626	9.60E-01	8.90E-01	0.13867456	-6.3764927	3.92E-02	ABCG4
A_23_P119763	1.13E-02	5.56E-04	3.78915988	-0.38164868	4.49E-01	ABCG5
A_33_P3361112	6.71E-01	3.88E-01	-0.87298306	-6.00943863	-1.78E-01	ABCG8
A_23_P17242	7.19E-01	4.49E-01	-0.76575239	-6.09557015	-8.25E-02	ABHD1
A_24_P268662	8.55E-01	6.60E-01	0.44305516	-6.28830081	1.17E-02	ABHD10
A_23_P315933	2.14E-02	1.43E-03	-3.45525219	-1.25794692	-3.01E-01	ABHD11
A_23_P8558	6.57E-01	3.72E-01	0.90491069	-5.98170598	7.12E-02	ABHD11
A_23_P362712	7.88E-01	5.45E-01	-0.6109567	-6.20059962	-6.32E-02	ABHD11
A_33_P3333480	4.22E-02	3.96E-03	3.07918043	-2.19645143	3.54E-01	ABHD11-AS1
A_23_P149494	1.94E-01	4.33E-02	-2.0945219	-4.32145622	-2.69E-01	ABHD12
A_23_P366035	5.39E-01	2.50E-01	-1.16942823	-5.71587974	-3.35E-01	ABHD12B
A_33_P3315698	6.69E-01	3.86E-01	0.8771261	-6.00589373	1.20E-01	ABHD12B
A_24_P398691	6.96E-01	4.20E-01	-0.8163672	-6.05626643	-3.59E-02	ABHD13
A_33_P3386765	1.50E-01	2.88E-02	-2.27813232	-3.96876036	-2.72E-01	ABHD14A
A_33_P3283713	2.88E-01	8.31E-02	-1.78241278	-4.86692296	-1.78E-01	ABHD14A
A_23_P155417	9.72E-01	9.20E-01	0.10128796	-6.38097294	1.44E-02	ABHD14B
A_33_P3216913	8.90E-01	7.32E-01	-0.34465459	-6.32685202	-3.59E-02	ABHD15
A_23_P156697	8.95E-02	1.27E-02	-2.62453536	-3.24553169	-2.62E-01	ABHD16A
A_33_P3289461	8.71E-01	6.94E-01	0.39685426	-6.30759017	5.57E-02	ABHD16B
A_23_P395172	1.62E-01	3.22E-02	-2.22831047	-4.0666713	-3.02E-01	ABHD2
A_23_P305759	2.61E-01	7.03E-02	-1.86563327	-4.72845058	-3.84E-01	ABHD3
A_23_P205519	8.69E-02	1.21E-02	2.6434634	-3.20399273	2.51E-01	ABHD4
A_23_P250294	9.75E-01	9.28E-01	0.09082191	-6.38197719	1.21E-02	ABHD5
A_23_P211850	9.55E-01	8.78E-01	0.15453479	-6.37417079	2.14E-02	ABHD6
A_33_P3302165	1.04E-01	1.59E-02	-2.52984533	-3.45030472	-3.23E-01	ABHD8
A_33_P3622802	1.64E-01	3.30E-02	-2.21731314	-4.08806524	-4.96E-01	ABI1
A_24_P933418	1.11E-01	1.78E-02	-2.48439317	-3.5467611	-4.77E-01	ABI2
A_23_P141429	1.62E-01	3.25E-02	2.22401421	-4.0750386	2.79E-01	ABI3
A_33_P3411975	4.02E-01	1.47E-01	1.48240446	-5.32133455	2.57E-01	ABI3BP
A_23_P218858	9.30E-01	8.18E-01	-0.23208454	-6.3592082	-6.65E-02	ABI3BP
A_33_P3411980	9.83E-01	9.51E-01	0.06132469	-6.38421897	2.53E-03	ABI3BP
A_24_P282416	6.94E-02	8.50E-03	-2.78447046	-2.88842638	-2.60E-01	ABL1
A_23_P60180	4.21E-01	1.59E-01	-1.43651626	-5.38440753	-1.46E-01	ABL1
A_33_P3413671	2.89E-01	8.33E-02	-1.78149674	-4.86841802	-2.12E-01	ABL2
A_32_P139894	3.72E-01	1.28E-01	-1.55752718	-5.21432185	-1.74E-01	ABL2
A_33_P3413667	8.73E-01	6.97E-01	0.39302112	-6.30909611	1.08E-01	ABL2
A_33_P3219601	9.48E-01	8.61E-01	-0.17645945	-6.37054805	-1.95E-02	ABL2
A_33_P3388646	4.79E-01	2.01E-01	-1.30365225	-5.55700672	-1.26E-01	ABLIM1
A_23_P202520	8.35E-01	6.23E-01	-0.4958543	-6.26368919	-3.69E-02	ABLIM1
A_33_P3388651	9.00E-01	7.52E-01	-0.31783393	-6.33570136	-2.86E-02	ABLIM1
A_23_P255672	3.71E-01	1.28E-01	-1.5583219	-5.21316509	-2.27E-01	ABLIM2
A_33_P3337134	4.74E-01	1.97E-01	-1.31533128	-5.54243994	-1.94E-01	ABLIM2
A_33_P3381666	8.03E-01	5.68E-01	0.57556619	-6.22136965	1.84E-01	ABLIM2
A_23_P256205	1.49E-02	8.31E-04	-3.64795383	-0.7565946	-2.66E-01	ABLIM3
A_24_P123408	1.70E-02	1.01E-03	-3.57801274	-0.94000374	-2.99E-01	ABLIM3
A_33_P3266550	6.27E-02	7.27E-03	2.84561638	-2.74834542	4.88E-01	ABO
A_23_P59452	1.57E-02	8.98E-04	3.62069579	-0.828263	4.65E-01	ABP1
A_33_P3372297	1.87E-03	3.81E-05	-4.69482687	2.13644933	-4.96E-01	ABR
A_23_P503182	9.55E-03	4.32E-04	-3.87663115	-0.14646943	-6.15E-01	ABR
A_33_P3368208	9.77E-01	9.35E-01	-0.0826616	-6.38268431	-9.90E-03	ABRA
A_23_P30784	9.14E-01	7.81E-01	-0.28022075	-6.34691104	-8.73E-02	ABT1
A_33_P3358295	6.01E-01	3.10E-01	1.02996012	-5.86398791	7.08E-02	ABTB1
A_33_P3297444	7.36E-01	4.72E-01	-0.7271499	-6.12391044	-1.12E-01	ABTB1
A_23_P356616	8.43E-01	6.37E-01	0.4762476	-6.2731476	4.37E-02	ABTB2
A_23_P69339	6.94E-01	4.16E-01	-0.82288571	-6.05102852	-6.47E-02	ACAA1
A_23_P89799	9.46E-01	8.56E-01	-0.18277227	-6.36941612	-3.21E-02	ACAA2
A_33_P3334225	5.92E-01	3.01E-01	-1.0497698	-5.84402232	-1.13E-01	ACACA
A_32_P215318	9.61E-01	8.93E-01	-0.13543532	-6.37693606	-1.01E-02	ACACA
A_23_P87791	7.50E-01	4.91E-01	0.69613405	-6.14565023	1.36E-01	ACACB
A_33_P3255329	8.88E-01	7.27E-01	-0.35179564	-6.32437589	-9.28E-02	ACACB
A_33_P3334220	9.00E-01	7.51E-01	-0.31910725	-6.33529734	-8.76E-02	ACACB
A_24_P227450	6.69E-02	8.03E-03	2.8065339	-2.83810082	1.86E-01	ACAD10
A_23_P25348	6.07E-01	3.16E-01	1.01747892	-5.87638351	1.34E-01	ACAD10
A_23_P212497	9.44E-01	8.49E-01	0.1914108	-6.36780282	2.64E-02	ACAD11
A_23_P47426	2.05E-03	4.34E-05	-4.65169627	2.01321539	-2.40E-01	ACAD8
A_24_P191656	1.99E-02	1.28E-03	-3.49340177	-1.15970228	-3.15E-01	ACAD9
A_23_P132405	1.41E-01	2.59E-02	-2.32399262	-3.87722232	-2.77E-01	ACAD9
A_33_P3303717	5.83E-01	2.91E-01	1.07082485	-5.82241035	1.51E-01	ACADL
A_23_P96761	6.95E-01	4.18E-01	-0.81900747	-6.05414969	-1.01E-01	ACADM
A_23_P65022	5.74E-01	2.83E-01	1.09052767	-5.80182257	1.49E-01	ACADS
A_23_P158570	9.86E-02	1.47E-02	-2.56189242	-3.3815733	-2.93E-01	ACADSB
A_33_P3248992	5.51E-01	2.61E-01	-1.14116324	-5.74730823	-3.27E-01	ACADSB
A_23_P207650	4.35E-01	1.69E-01	-1.40386941	-5.42820713	-1.09E-01	ACADVL
A_23_P307310	7.65E-01	5.13E-01	0.66125095	-6.16899871	1.03E-01	ACAN
A_33_P3500167	8.66E-01	6.83E-01	0.41115533	-6.30184388	5.73E-02	ACAN
A_23_P107336	8.34E-02	1.13E-02	2.66929945	-3.14697447	3.13E-01	ACAP1
A_24_P942002	3.01E-01	8.92E-02	-1.74709454	-4.92410087	-2.25E-01	ACAP2
A_33_P3398564	1.26E-02	6.51E-04	-3.73402149	-0.52877332	-2.39E-01	ACAP3
A_33_P3230290	6.44E-01	3.57E-01	0.9332878	-5.95626005	6.61E-02	ACAP3
A_23_P24515	1.59E-01	3.15E-02	-2.23750184	-4.04872977	-3.30E-01	ACAT1
A_24_P203678	5.63E-01	2.72E-01	-1.1145533	-5.77624375	-1.19E-01	ACAT1
A_33_P3253975	9.14E-01	7.82E-01	-0.2790802	-6.34722903	-3.34E-02	ACAT1
A_23_P31135	4.38E-01	1.71E-01	-1.39723204	-5.43700206	-2.54E-01	ACAT2
A_24_P171182	4.01E-01	1.46E-01	-1.48674072	-5.31528384	-2.12E-01	ACBD3
A_24_P366122	1.01E-01	1.53E-02	2.54644375	-3.41478001	2.69E-01	ACBD4
A_23_P107166	4.50E-01	1.79E-01	-1.3709771	-5.47142555	-1.11E-01	ACBD4
A_23_P97795	9.68E-02	1.43E-02	-2.57358219	-3.35635538	-2.33E-01	ACBD5
A_24_P175563	9.25E-01	8.07E-01	-0.2463046	-6.3558151	-2.48E-02	ACBD5
A_23_P52127	5.03E-04	5.28E-06	-5.3420796	4.00749295	-4.98E-01	ACBD6
A_23_P72584	8.73E-01	6.98E-01	0.39073947	-6.30998563	4.56E-02	ACBD7
A_32_P159612	6.03E-01	3.12E-01	-1.02531291	-5.86861987	-8.36E-02	ACCN1
A_23_P204751	3.13E-02	2.52E-03	-3.24748851	-1.78348698	-4.50E-01	ACCN2
A_23_P93658	5.49E-01	2.59E-01	1.14643789	-5.74149732	1.06E-01	ACCN3
A_33_P3250730	1.52E-01	2.93E-02	2.2694292	-3.98597992	2.76E-01	ACCN4
A_23_P258433	7.32E-01	4.67E-01	0.73516994	-6.11813936	1.52E-01	ACCN5
A_23_P24586	8.49E-01	6.49E-01	-0.45953403	-6.28091291	-5.80E-02	ACCS
A_33_P3255924	4.76E-01	1.99E-01	1.30976164	-5.54940141	2.63E-01	ACCSL
A_33_P3359071	5.67E-01	2.76E-01	-1.10676574	-5.78459168	-1.29E-01	ACD
A_33_P3229288	8.57E-04	1.19E-05	5.0769341	3.23709645	2.95E-01	ACE
A_23_P371777	9.26E-01	8.09E-01	0.24295502	-6.35663246	9.31E-03	ACE
A_23_P252981	9.18E-01	7.89E-01	-0.26940407	-6.34987484	-8.61E-03	ACE2
A_23_P38952	1.75E-01	3.66E-02	2.17091921	-4.17743836	1.87E-01	ACER1
A_33_P3788618	6.99E-01	4.23E-01	0.8102882	-6.06111502	9.36E-02	ACER2
A_33_P3413759	7.31E-01	4.65E-01	0.73916044	-6.115245	6.07E-02	ACER2
A_23_P203665	6.38E-01	3.50E-01	-0.94731659	-5.94340425	-1.24E-01	ACER3
A_24_P60845	4.61E-01	1.87E-01	-1.34480811	-5.50515243	-1.13E-01	ACHE
A_23_P14389	9.23E-01	8.01E-01	-0.25434087	-6.35380863	-1.92E-02	ACIN1
A_33_P3415042	2.04E-01	4.70E-02	-2.0572353	-4.39029309	-2.34E-01	ACLY
A_23_P376727	8.16E-01	5.90E-01	-0.54413009	-6.23879886	-8.69E-02	ACMSD
A_23_P59528	9.89E-01	9.68E-01	0.03983643	-6.38530491	1.07E-02	ACN9
A_23_P9415	6.03E-01	3.13E-01	-1.02434546	-5.86958168	-1.37E-01	ACO1
A_23_P103149	4.68E-02	4.64E-03	-3.01904461	-2.34099653	-3.54E-01	ACO2
A_24_P161036	1.74E-01	3.65E-02	-2.17281566	-4.17381314	-2.81E-01	ACOT1
A_23_P417415	4.60E-01	1.86E-01	1.3472266	-5.50206	1.53E-01	ACOT11
A_23_P325726	9.81E-01	9.46E-01	0.06811526	-6.38377989	7.41E-03	ACOT11
A_23_P44207	8.84E-01	7.19E-01	-0.36296498	-6.32040186	-7.14E-02	ACOT12
A_23_P31116	9.17E-01	7.89E-01	-0.27010411	-6.34968654	-2.59E-02	ACOT13
A_23_P14515	1.75E-01	3.68E-02	-2.16851131	-4.18203778	-3.39E-01	ACOT4
A_33_P3352517	7.59E-01	5.04E-01	0.6756089	-6.15952999	1.51E-01	ACOT6
A_24_P205589	7.44E-02	9.48E-03	-2.74099639	-2.98684859	-4.97E-01	ACOT7
A_33_P3231833	1.98E-01	4.48E-02	-2.07952157	-4.34926499	-2.17E-01	ACOT8
A_33_P3352544	9.50E-01	8.66E-01	0.17049782	-6.37158056	1.50E-02	ACOT8
A_23_P125624	8.28E-01	6.10E-01	0.51409232	-6.2545534	5.21E-02	ACOT9
A_24_P42501	9.69E-01	9.13E-01	0.11021193	-6.38003028	1.28E-02	ACOT9
A_33_P3244803	3.01E-02	2.38E-03	-3.26967306	-1.7281715	-3.51E-01	ACOX1
A_23_P10182	1.26E-01	2.17E-02	2.39920969	-3.72422051	2.59E-01	ACOX2
A_23_P316381	8.51E-01	6.53E-01	-0.45403434	-6.28340821	-3.14E-02	ACOX3
A_33_P3395008	4.29E-01	1.65E-01	-1.41874766	-5.40835744	-3.26E-01	ACOXL
A_33_P3274049	8.95E-01	7.41E-01	-0.3331102	-6.33074831	-4.63E-02	ACOXL
A_23_P56798	5.98E-03	2.15E-04	-4.11566446	0.50635892	-4.02E-01	ACP1
